Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,270.92,282.42,202.34,26.89,105.02,65.34,66.77,28.17,28.44,21.93,16.72,21.33,8.85,428.4,353.56,503.71,362.53,163.69,213.67,246.42,170.76,149.38,236.9,212.07,186.72,165.34,198.91,187.03,214.0,111.67,223.43,176.98,85.58,62.23,67.98,112.35,24.42,24.99,16.25,46.47,30.18,19.68,68.56,139.8,78.07,79.81,170.99,239.14,198.99,278.38
Other Operating Income,--,--,--,--,--,--,--,--,--,--,6.68,6.84,--,--,--,--,--,120.09,84.92,106.71,90.94,78.55,75.44,80.4,79.83,90.03,87.74,89.71,94.32,89.33,96.52,94.66,130.67,268.39,293.28,281.96,270.06,256.2,252.94,128.03,140.91,123.31,92.6,65.6,76.04,83.57,92.41,83.0,82.01,64.09
Total Income From Operations,270.92,282.42,202.34,26.89,105.02,65.34,66.77,28.17,28.44,21.93,23.4,28.17,8.85,428.4,353.56,503.71,362.53,283.78,298.59,353.13,261.7,227.93,312.34,292.47,266.55,255.37,286.65,276.74,308.32,201.0,319.95,271.64,216.25,330.62,361.26,394.31,294.48,281.19,269.19,174.5,171.09,142.99,161.16,205.4,154.11,163.38,263.4,322.14,281.0,342.47
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,186.45,138.28,297.79,154.9,87.11,122.76,95.75,87.69,58.36,118.59,87.55,80.19,80.44,90.13,141.31,103.23,40.17,90.55,58.99,21.09,16.42,12.5,12.12,3.57,6.37,5.51,7.57,11.14,6.64,7.95,3.06,14.18,24.22,50.62,45.12,58.0,71.77
Purchase of Traded Goods,2.53,0.33,0.82,--,--,--,--,--,--,--,0.66,19.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-0.98,0.17,-0.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,15.19,22.13,13.48,9.9,10.36,10.31,8.58,8.26,10.17,6.75,6.3,0.24,0.54,6.87,7.76,7.82,7.91,5.9,7.13,10.04,9.18,10.48,11.01,10.89,13.3,11.67,11.43,11.99,9.69,14.78,15.22,9.88,16.32,12.73,13.18,27.06,4.21,2.67,4.82,4.26,6.22,6.53,8.02,25.43,12.27,15.95,16.07,20.52,17.87,14.76
Depreciation,4.52,4.41,4.22,1.04,1.65,1.53,1.49,0.07,0.09,0.09,0.1,0.24,0.25,4.95,5.05,5.2,5.45,5.37,5.48,5.62,5.89,6.01,6.0,6.25,6.46,6.35,5.43,5.5,4.94,4.35,4.27,3.97,4.01,4.09,4.06,3.86,3.91,3.98,4.02,5.7,4.7,4.45,5.18,2.11,2.13,2.1,2.08,2.06,2.12,2.19
