Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22
Net Sales/Income from operations,470.55,417.48,498.39,427.17,450.89,460.19,426.14,36.03,679.15,386.67,292.95
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,470.55,417.48,498.39,427.17,450.89,460.19,426.14,36.03,679.15,386.67,292.95
EXPENDITURE,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,138.08,170.08,168.37,138.74,127.87,134.7,151.76,10.9,207.08,144.75,120.36
Increase/Decrease in Stocks,5.5,-37.5,-25.8,-8.87,13.95,7.53,-25.47,0.72,5.56,-19.79,-36.14
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,46.67,47.15,44.75,41.12,40.62,38.56,37.71,3.26,63.9,29.23,28.96
Depreciation,10.11,8.35,7.31,7.73,5.91,4.51,4.72,0.46,7.95,3.54,2.83
Excise Duty,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,256.27,267.3,272.96,227.19,234.31,233.78,230.67,20.77,380.06,202.16,188.37
"P/L Before Other Inc. , Int., Excpt. Items & Tax",13.92,-37.9,30.81,21.24,28.24,41.11,26.74,-0.08,14.59,26.79,-11.43
Other Income,18.44,19.48,18.36,18.25,10.96,7.84,11.07,0.68,11.32,4.55,3.88
"P/L Before Int., Excpt. Items & Tax",32.36,-18.42,49.17,39.5,39.2,48.95,37.82,0.61,25.91,31.34,-7.55
Interest,2.67,2.66,2.57,2.65,2.14,1.39,1.02,0.14,2.59,1.51,0.83
P/L Before Exceptional Items & Tax,29.69,-21.08,46.61,36.84,37.07,47.57,36.8,0.47,23.32,29.84,-8.37
Exceptional Items,--,--,--,--,--,--,--,-15.25,-137.28,--,--
P/L Before Tax,29.69,-21.08,46.61,36.84,37.07,47.57,36.8,-14.78,-113.96,29.84,-8.37
Tax,8.12,-6.16,11.82,10.13,8.16,9.83,9.19,0.37,7.22,7.8,-2.11
P/L After Tax from Ordinary Activities,21.58,-14.92,34.79,26.71,28.91,37.74,27.61,-15.15,-121.19,22.04,-6.26
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,21.58,-14.92,34.79,26.71,28.91,37.74,27.61,-15.15,-121.19,22.04,-6.26
Equity Share Capital,324.82,324.82,324.24,324.24,321.75,136.34,136.34,13.63,13.63,136.34,136.34
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,
Basic EPS,0.68,-0.46,1.07,0.85,0.91,1.23,0.9,-4.94,-88.89,0.71,-0.46
Diluted EPS,0.66,-0.46,1.07,0.85,0.9,1.2,0.88,-4.94,--,0.7,--
EPS After Extra Ordinary,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,
Notes,,,,,,,,,,,
