Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20
Net Sales/Income from operations,687.86,566.73,563.22,577.58,616.39,532.01,555.57,514.03,577.29,463.29,497.23,395.87,476.05,314.34,126.15,317.96,293.45
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,687.86,566.73,563.22,577.58,616.39,532.01,555.57,514.03,577.29,463.29,497.23,395.87,476.05,314.34,126.15,317.96,293.45
EXPENDITURE,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,200.14,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,261.52,275.74,201.25,203.24,307.39,28.21,323.51,198.59,274.86,285.57,258.0,202.44,244.03,152.63,84.91,131.07,119.63
Increase/Decrease in Stocks,20.03,-20.65,24.19,42.83,-62.94,--,-101.25,21.4,-41.98,-88.89,-58.94,-33.43,-51.19,-17.8,-32.02,12.18,5.01
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,60.19,56.84,56.7,56.38,55.77,49.97,47.62,46.43,46.04,40.95,37.83,33.85,31.86,27.84,22.49,29.35,21.92
Depreciation,65.3,62.13,59.73,57.64,56.24,53.61,50.34,45.95,49.04,41.32,38.91,34.61,34.26,33.53,31.43,29.89,29.88
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,122.18,105.74,100.58,109.05,106.93,93.02,91.27,95.11,94.45,82.61,79.44,64.64,84.11,60.13,34.62,57.15,53.55
"P/L Before Other Inc. , Int., Excpt. Items & Tax",158.64,86.93,120.77,108.44,153.0,107.06,144.07,106.55,154.88,101.73,141.99,93.76,132.97,58.01,-15.27,58.32,63.46
Other Income,22.56,22.49,22.98,24.7,16.45,18.18,16.14,19.07,14.88,11.64,9.16,13.26,11.93,17.33,15.87,10.03,16.97
"P/L Before Int., Excpt. Items & Tax",181.2,109.42,143.74,133.14,169.45,125.24,160.21,125.62,169.76,113.37,151.15,107.02,144.9,75.34,0.59,68.35,80.43
Interest,23.47,21.78,20.78,20.31,20.33,19.35,17.83,16.81,16.53,14.82,13.44,14.52,12.31,12.24,11.24,12.47,10.21
P/L Before Exceptional Items & Tax,157.73,87.64,122.97,112.83,149.12,105.89,142.38,108.81,153.23,98.55,137.71,92.5,132.58,63.1,-10.65,55.88,70.22
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,157.73,87.64,122.97,112.83,149.12,105.89,142.38,108.81,153.23,98.55,137.71,92.5,132.58,63.1,-10.65,55.88,70.22
Tax,63.61,21.97,30.62,-51.74,37.93,26.43,36.19,27.2,38.6,24.78,34.54,24.96,32.44,12.89,-0.39,11.07,8.61
P/L After Tax from Ordinary Activities,94.12,65.67,92.35,164.57,111.2,79.46,106.2,81.61,114.63,73.77,103.17,67.54,100.15,50.21,-10.26,44.81,61.61
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,94.12,65.67,92.35,164.57,111.2,79.46,106.2,81.61,114.63,73.77,103.17,67.54,100.15,50.21,-10.26,44.81,61.61
Equity Share Capital,136.03,135.97,135.96,135.96,135.93,135.87,135.87,135.87,135.86,135.78,135.75,135.75,135.75,132.77,132.77,132.77,132.77
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,
Basic EPS,3.46,2.41,3.4,6.05,4.09,2.92,3.91,3.0,4.22,2.72,3.8,2.52,3.76,1.89,-0.39,1.69,2.32
Diluted EPS,3.45,2.4,3.38,6.03,4.07,2.91,3.89,2.99,4.2,2.71,3.79,2.52,3.75,1.89,--,1.69,2.32
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
