Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Provisions,Preference Share Capital,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,5.09,5.09,-6.1,-6.1,0.0,-1.01,0.7,0.0,0.0,0.7,7.02,2.59,0.38,0.0,9.99,9.68,4.07,0.0,0.0,0.0,4.07,0.03,0.0,0.0,4.22,0.0,0.85,4.12,0.08,0.4,0.0,5.46,9.68,0.69,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0
2015-06-30,15.11,15.11,74.79,78.52,0.0,93.63,0.88,8.69,0.0,10.39,0.05,38.17,71.36,9.6,119.18,223.21,110.88,0.59,30.26,0.37,142.1,1.44,2.57,0.0,146.11,0.0,12.66,0.02,40.32,22.9,1.2,77.1,223.21,10.2,69.01,4.1,2.13,0.05,220.17,0.0,1.37,0.0,0.0,3.73,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,15.11,15.11,109.29,113.03,0.0,128.14,0.73,11.33,0.0,13.69,0.0,53.01,60.37,7.39,120.77,262.6,142.15,0.6,0.23,0.0,142.98,1.43,3.37,0.0,147.78,0.0,17.9,6.8,64.77,22.88,2.47,114.82,262.6,7.62,59.12,0.57,1.46,0.08,215.81,0.0,1.39,0.0,0.0,3.73,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,15.12,15.12,184.91,184.91,0.09,200.12,0.48,18.97,0.05,19.9,0.0,66.01,29.37,1.67,97.05,317.07,150.45,1.3,3.42,0.0,155.17,14.58,10.59,0.0,180.34,4.2,22.29,3.21,76.66,27.74,2.63,136.73,317.07,0.0,67.73,10.85,7.52,0.0,325.61,12.95,1.63,0.0,4.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,15.12,15.12,277.19,277.19,3.29,295.6,0.32,22.16,5.38,27.86,0.0,72.9,13.86,0.58,87.34,410.8,167.4,1.92,15.29,0.0,184.61,1.87,9.08,2.03,197.59,46.34,28.46,86.35,28.28,23.47,0.31,213.21,410.8,74.22,53.63,10.45,5.86,0.0,409.9,0.04,0.3,46.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,15.13,15.13,410.06,410.06,6.86,432.05,0.29,22.54,1.94,24.77,0.0,59.5,21.76,1.25,82.51,539.33,136.17,1.59,8.62,0.0,146.39,98.62,4.43,1.94,251.37,69.62,23.52,125.39,44.85,24.01,0.56,287.95,539.33,74.63,76.82,13.13,6.43,0.0,521.15,0.04,0.29,69.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,15.13,15.13,575.34,575.34,9.44,599.91,0.02,22.14,5.01,27.16,0.27,51.41,11.71,0.87,64.26,691.33,163.53,3.39,3.77,0.0,170.7,135.54,2.21,2.15,310.59,60.23,22.37,218.98,58.27,20.45,0.43,380.74,691.33,26.56,68.67,9.73,2.34,0.0,494.13,0.0,0.0,60.56,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,15.13,15.13,728.75,728.75,14.8,758.67,0.0,20.97,4.02,25.0,0.01,70.1,7.22,0.0,77.33,861.0,179.08,3.6,1.36,0.0,184.05,138.64,3.49,2.17,328.35,10.54,24.87,98.46,365.5,25.1,8.2,532.65,861.0,44.61,0.0,0.0,33.34,0.0,471.28,0.0,0.0,11.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,15.16,15.16,906.53,906.53,8.96,930.65,0.0,21.79,2.84,24.63,0.0,72.26,25.42,1.2,98.88,1054.16,157.99,4.47,1.73,0.87,165.06,212.73,39.75,30.95,448.49,51.97,42.81,53.73,316.08,0.0,141.08,605.67,1054.16,36.81,0.0,0.0,31.19,0.0,496.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,15.18,15.18,1109.36,1109.36,15.37,1139.91,0.0,14.14,2.28,16.42,0.0,81.42,65.26,0.17,146.85,1303.18,152.91,3.94,42.68,0.0,199.53,274.97,156.0,8.7,639.2,159.17,51.53,88.24,271.38,0.0,93.66,663.98,1303.18,84.6,0.0,0.0,24.3,0.0,480.42,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
