Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,491.17,487.07,423.24,420.51,399.23,398.53,397.01,394.43,344.81,343.79,171.33,171.06,171.06,171.05,171.05
Total Share Capital,491.17,487.07,423.24,420.51,399.23,398.53,397.01,394.43,344.81,343.79,171.33,171.06,171.06,171.05,171.05
Revaluation Reserve,0.0,0.0,0.0,0.0,5.01,5.01,5.01,5.01,5.01,0.0,,,,,
Reserves and Surplus,32929.45,28607.35,21083.0,18373.33,15719.37,14114.07,12871.02,11810.8,8592.56,7747.43,7566.8,6779.53,6193.6,5535.28,4937.61
Total Reserves and Surplus,32929.45,28607.35,21083.0,18373.33,15724.38,14119.08,12876.03,11815.81,8597.57,7747.43,7566.8,6779.53,6193.6,5535.28,4937.61
Total ShareHolders Funds,33420.62,29094.42,21506.24,18793.84,16123.61,14517.61,13273.04,12210.24,8942.38,8091.22,7738.14,6950.59,6364.66,5706.33,5108.66
Deposits,283647.47,252534.02,213386.04,181700.59,172644.48,152290.08,134954.34,111992.49,97664.56,79171.71,70824.99,59731.28,57614.86,48937.12,43014.78
Borrowings,23726.3,18026.41,19319.28,15393.11,9068.5,10372.43,7781.32,11533.5,5897.32,2176.57,2308.24,5687.96,5186.99,4241.03,1888.36
Other Liabilities and Provisions,8210.41,8656.95,6130.27,5058.77,3530.8,3457.93,3331.29,2577.73,2472.67,1990.54,1979.11,2224.32,1883.06,1742.29,1444.56
Total Capital and Liabilities,349004.8,308311.8,260341.83,220946.31,201367.39,180638.05,159339.99,138313.95,114976.93,91430.03,82850.48,74594.15,71049.57,60626.77,51456.36
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,20354.43,11493.57,12590.85,9999.27,7647.04,6174.91,6419.17,5132.76,4576.57,3774.54,3379.54,3104.29,2742.5,2424.15,2935.05
Balances with Banks Money at Call and Short Notice,10504.81,7469.35,5097.83,11011.08,11944.35,6399.67,3647.63,4070.65,2875.61,1645.27,1400.45,1425.09,977.49,1108.4,813.25
Investments,66245.61,60859.53,48983.35,39179.46,37186.21,35892.68,31824.47,30781.07,28196.09,22217.49,24409.19,24117.85,21154.59,17402.49,14537.68
Advances,234836.39,209403.33,174446.88,144928.33,131878.6,122267.91,110222.95,91957.47,73336.27,58090.14,51284.99,43436.1,44096.7,37755.99,31953.23
Fixed Assets,1478.27,1020.06,933.97,633.94,491.13,479.99,472.04,457.37,489.47,519.98,466.63,424.96,397.47,326.14,289.82
Other Assets,15585.29,18065.96,18288.95,15194.23,12220.06,9422.89,6753.73,5914.63,5502.93,5182.61,1909.67,2085.86,1680.81,1609.61,927.34
Total Assets,349004.8,308311.8,260341.83,220946.31,201367.39,180638.05,159339.99,138313.95,114976.93,91430.03,82850.48,74594.15,71049.57,60626.77,51456.36
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,1272.0,1263.0,1251.0,1252.0,1252.0,1252.0,1247.0,1174.0,1103.0,978.0,743.0
Number of Employees,0.0,0.0,0.0,0.0,12592.0,12496.0,12227.0,12112.0,11593.0,11760.0,10981.0,10467.0,10059.0,8745.0,8270.0
Capital Adequacy Ratios (%),16.4,16.13,14.81,15.77,14.62,14.35,14.14,14.7,12.39,13.93,15.46,15.14,14.73,16.64,16.79
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,13.85,13.29,13.38,14.18,11.81,13.36,14.81,14.59,14.09,15.86,15.63
Tier 2 (%),0.0,0.0,0.0,0.0,0.78,1.06,0.76,0.52,0.58,0.57,0.65,0.55,0.64,0.78,1.16
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,4375.54,4528.87,4183.77,4136.74,4602.39,3530.83,3260.68,2795.62,1727.05,1667.77,1057.73,1087.41,1554.01,1300.83,1148.33
Gross NPA (%),1.84,2.13,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
Net NPA,1040.38,1255.33,1205.01,1392.62,1569.28,1607.17,1626.2,1551.96,941.2,950.01,373.27,321.56,431.94,199.0,190.69
Net NPA (%),0.44,0.6,0.69,0.96,1.19,1.31,1.48,1.69,1.28,1.64,0.73,0.74,0.98,0.53,0.6
Net NPA To Advances (%),1.23,1.32,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,36417.34,3767.65,3542.81,3123.36,2568.35,2837.33,2122.07,2425.03,2460.46,2377.8,2474.8
Contingent Liabilities,0.0,0.0,0.0,0.0,36417.34,34460.07,29344.68,0.0,0.0,21770.4,18436.48,24691.53,31472.54,37038.72,23025.27
