Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,24595.87,21870.86,24967.87,23247.02,25328.67,24676.91,19229.65,21173.12,25400.91,26557.44,24608.02,32289.73,24803.82,20623.68,13243.25,11298.05,13575.94,7951.53,6182.32,6408.47,17545.07,16744.59,15261.74,9280.53,15152.47,17860.57,15491.3,13557.8,14990.66,14100.98,9096.53,10262.41,13325.76,11474.43,9966.39,8425.86,9284.8,8816.58,10217.55,11313.11,11092.79,14711.85,15911.34,15741.39,19127.51,18654.73,18762.33,15265.91,18579.51,17992.09
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.1,0.82,2.56,2.96,8.11,2.09,3.52,1.68,179.81,3.57,2.47,2.16,579.3,195.6,2.42,2.76,79.24,10.76
Total Income From Operations,24595.87,21870.86,24967.87,23247.02,25328.67,24676.91,19229.65,21173.12,25400.91,26557.44,24608.02,32289.73,24803.82,20623.68,13243.25,11298.05,13575.94,7951.53,6182.32,6408.47,17545.07,16744.59,15261.74,9280.53,15152.47,17860.57,15491.3,13557.8,14990.66,14100.98,9096.53,10262.41,13334.86,11475.25,9968.95,8428.82,9292.91,8818.67,10221.07,11314.79,11272.6,14715.42,15913.81,15743.55,19706.81,18850.33,18764.75,15268.67,18658.75,18002.85
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,22955.47,20937.77,22539.05,23194.92,22128.39,23357.35,15618.08,19686.76,20532.66,24495.04,25129.28,27226.59,21493.13,18683.84,12665.43,11069.64,12872.65,7365.32,6021.44,3147.85,12040.8,13669.25,11710.26,9203.96,13595.62,17116.86,14450.1,13351.13,12797.34,12427.85,8238.83,9784.14,11037.98,10115.3,8877.46,7458.02,6811.44,8070.54,8653.72,11015.91,9639.25,14624.71,16216.26,15481.29,19060.15,19181.21,18198.84,14412.32,18756.49,17404.86
Purchase of Traded Goods,3.4,3.12,2.54,1.44,1.47,0.89,1.12,1.3,1.6,1.45,1.25,0.97,0.51,--,--,--,--,-0.06,291.67,901.56,2151.18,0.29,871.22,329.39,526.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-303.55,-960.15,2160.38,-1311.96,-68.58,-149.63,411.57,-1293.61,697.87,957.35,489.26,-864.2,-665.35,28.02,161.71,-685.23,-663.0,-176.26,-453.03,89.47,1117.54,-115.46,341.55,3.79,-87.41,1040.46,31.78,-1546.47,755.21,-669.47,-167.21,-685.25,798.74,-312.9,105.39,-879.53,725.75,-415.81,1588.96,-1215.73,139.56,1199.33,345.62,201.62,-502.76,-425.03,-273.87,527.58,-503.61,300.22
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,194.65,169.78,169.27,166.55,300.37,162.55,159.71,149.43,248.12,152.68,121.71,175.26,259.27,132.45,128.98,122.1,176.19,112.42,111.0,111.33,118.55,106.43,107.68,107.46,129.44,105.29,100.09,93.84,128.45,95.13,97.86,95.91,141.76,72.38,68.21,69.69,89.56,68.56,65.29,62.02,69.51,58.54,54.65,58.04,57.29,56.06,51.93,50.19,39.71,45.93
Depreciation,337.92,331.51,342.35,335.24,333.03,334.27,295.97,294.02,296.2,297.98,296.94,295.58,220.49,212.87,212.37,213.1,218.0,225.1,209.8,200.1,196.04,195.75,200.85,190.57,224.91,179.07,182.37,170.4,161.69,171.96,170.06,163.73,170.3,170.16,168.11,170.69,244.75,159.56,159.27,148.21,148.9,142.88,112.27,94.56,177.05,184.5,176.08,168.79,166.31,155.03
