Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23
Net Sales/Income from operations,2119.54,1522.35,2022.91,1845.73,925.85,277.41,--,--
Other Operating Income,--,--,--,--,--,--,--,--
Total Income From Operations,2119.54,1522.35,2022.91,1845.73,925.85,277.41,--,--
EXPENDITURE,,,,,,,,
Consumption of Raw Materials,1830.9,1700.84,1859.64,2047.97,1415.14,383.04,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,214.57,-425.56,51.33,181.54,-605.61,-202.34,--,--
Power & Fuel,--,--,--,--,--,--,--,--
Employees Cost,30.92,15.63,21.24,25.06,25.87,6.35,--,--
Depreciation,253.48,240.39,238.66,252.29,225.98,74.53,--,--
Excise Duty,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--
Other Expenses,699.16,672.05,491.8,546.74,499.54,162.6,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-909.49,-681.0,-639.76,-1207.87,-635.07,-146.77,--,--
Other Income,18.34,13.11,20.83,90.21,16.22,12.86,--,--
"P/L Before Int., Excpt. Items & Tax",-891.15,-667.89,-618.93,-1117.66,-618.85,-133.91,--,--
Interest,165.32,161.04,153.08,155.44,134.41,40.75,--,--
P/L Before Exceptional Items & Tax,-1056.47,-828.93,-772.01,-1273.1,-753.26,-174.66,--,--
Exceptional Items,--,--,--,--,--,--,--,--
P/L Before Tax,-1056.47,-828.93,-772.01,-1273.1,-753.26,-174.66,--,--
Tax,-298.69,-233.56,-224.76,-412.27,-184.87,-43.56,--,--
P/L After Tax from Ordinary Activities,-757.78,-595.37,-547.25,-860.83,-568.39,-131.1,--,--
Prior Year Adjustments,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-757.78,-595.37,-547.25,-860.83,-568.39,-131.1,--,--
Equity Share Capital,2930.61,2930.61,2930.61,2930.61,2930.61,2930.61,2930.61,2930.61
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,
Basic EPS,-2.59,-2.03,-1.87,-2.94,-1.94,-0.45,--,--
Diluted EPS,-2.59,-2.03,-1.87,-2.94,-1.94,-0.45,--,--
EPS After Extra Ordinary,,,,,,,,
Public Share Holding,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,
a) Pledged/Encumbered,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,
Notes,,,,,,,,
