Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Equity Share Application Money
2011-03-31,48.49,48.49,0.0,3430.19,3430.19,3478.69,44675.94,1104.65,1248.88,50508.15,2974.96,573.85,19695.77,26193.64,393.77,676.17,50508.15,548.0,7620.0,13.72,11.33,2.39,518.83,8.0,53.24,1.33,1.0,8790.08,26979.34,0.0
2012-03-31,48.49,48.49,0.0,4044.69,4044.69,4093.18,53346.9,1240.96,1588.18,60269.22,2783.65,1670.21,21624.32,33077.42,420.27,693.34,60269.22,603.0,0.0,13.36,11.12,2.24,516.6,6.0,49.34,1.0,1.0,4904.93,15986.41,0.0
2013-03-31,48.49,48.49,0.0,4816.2,4816.2,4864.69,64220.62,1075.0,1583.0,71743.32,2695.15,2709.18,25741.07,39200.41,456.18,941.33,71743.32,685.0,0.0,12.83,10.86,1.97,643.77,2.0,55.27,0.14,0.0,11439.85,33178.79,0.0
2014-03-31,48.49,48.49,0.0,5675.12,5675.12,5723.61,69335.86,1765.0,1795.25,78619.73,3045.59,1168.31,26195.07,46384.6,533.81,1292.35,78619.73,777.0,0.0,12.69,11.22,1.47,783.42,2.0,101.99,0.22,0.0,5230.82,17376.61,0.0
2015-03-31,48.49,48.49,0.0,6061.56,6061.56,6110.05,65756.19,2339.67,1879.54,76085.45,2373.06,1360.71,25124.3,44585.82,688.91,1952.66,76085.45,817.0,960.0,12.57,11.26,1.31,2464.08,6.0,1236.32,2.77,3.0,6047.98,22870.33,0.0
2016-03-31,48.49,48.49,0.0,6375.48,6375.48,6423.98,69390.25,2240.0,2213.84,80268.07,3126.74,76.27,20353.62,50193.29,763.72,5754.44,80268.07,857.0,984.0,11.81,10.6,1.21,4368.61,8.0,2163.95,4.31,4.0,5607.64,18072.94,0.0
2017-03-31,52.15,52.15,0.0,5624.35,5624.35,5676.49,72463.09,1276.05,2603.04,82018.67,3590.97,1794.96,21290.89,49816.11,1543.31,3982.42,82018.67,865.0,10022.0,10.8,8.7,2.1,6000.01,11.0,24253.7,4.87,5.0,1190.86,7299.85,0.0
2018-03-31,55.7,55.7,620.18,5485.33,6105.51,6161.21,80006.5,1628.34,1891.57,89687.62,4328.36,3924.52,18880.03,56912.74,1614.59,4027.37,89687.62,904.0,10072.0,11.42,9.24,2.18,6006.7,10.0,2791.12,4.9,5.0,1193.53,6988.66,0.0
2019-03-31,55.7,55.7,605.75,5964.65,6570.4,6626.1,89638.9,2623.96,2517.34,101406.29,4874.97,986.91,23160.5,66271.51,1674.69,4437.71,101406.29,938.0,10508.0,12.46,10.6,1.86,6221.35,9.0,3239.61,4.89,5.0,1443.66,6392.54,0.0
2020-03-31,71.36,71.36,996.0,5326.12,6322.12,6393.48,97788.23,2019.58,2670.81,108872.1,2947.48,6835.35,23052.24,64399.07,2070.52,9567.44,108872.1,955.0,11740.0,11.4,9.88,1.53,7671.63,11.0,2243.82,3.48,3.0,1160.77,5756.78,0.0
2021-03-31,71.36,71.36,972.62,5781.63,6754.25,6825.61,108061.15,2015.2,3389.99,120291.95,3685.33,5812.26,30814.24,66841.73,2012.41,11125.97,120291.95,955.0,12307.0,12.2,10.28,1.92,6954.75,10.0,1969.33,2.95,3.0,1439.6,4866.94,0.0
2022-03-31,9.33,9.33,0.0,792.04,792.04,801.37,11471.04,237.08,550.76,13060.24,139.52,738.98,3383.5,7040.07,195.37,1562.8,13060.24,0.0,0.0,13.23,0.0,0.0,6520.54,9.0,1750.1,2.49,0.0,0.0,0.0,0.0
2023-03-31,103.16,103.16,0.0,9840.08,9840.08,9943.24,122037.74,2892.31,11088.97,145962.26,7794.06,1084.6,34829.15,82285.45,2271.54,17697.46,145962.26,0.0,0.0,15.38,0.0,0.0,5204.43,6.0,1334.24,1.62,1.0,0.0,0.0,0.0
2024-03-31,110.13,110.13,0.0,12125.55,12125.55,12235.68,134774.89,2885.0,4631.02,154526.59,7250.08,927.4,34986.71,93762.51,2257.48,15342.41,154526.59,0.0,0.0,15.33,0.0,0.0,3956.19,4.08,736.85,0.79,1.22,0.0,0.0,0.0
2025-03-31,110.13,110.13,0.0,14141.81,14141.81,14251.94,148569.46,2382.84,4264.23,169468.47,7385.48,2374.37,41212.66,104198.72,2191.22,12106.02,169468.47,0.0,0.0,16.29,0.0,0.0,3604.84,3.37,818.07,0.79,1.32,0.0,0.0,0.0
