Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Long Term Loans And Advances,Raw Materials,Money Received Against Share Warrants,Deferred Tax Assets [Net],Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,1.4,1.4,1.55,2.99,4.39,2.26,0.06,0.0,0.0,2.32,1.85,3.92,0.46,0.11,6.34,13.06,3.95,0.0,0.0,0.0,3.95,0.0,0.0,3.95,0.0,3.99,3.86,0.57,0.68,0.0,9.11,13.06,0.0,0.14,0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,1.67,1.67,7.54,8.99,10.66,0.4,0.07,0.0,0.0,0.47,2.17,6.21,0.63,2.47,11.48,22.62,4.36,0.0,0.0,0.0,4.36,0.0,0.0,4.36,0.0,6.58,8.91,0.8,1.96,0.0,18.26,22.62,0.0,0.22,0.58,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,13.38,13.38,26.1,27.54,40.92,0.48,0.0,0.0,0.0,0.48,1.03,13.25,5.49,9.61,29.38,70.78,12.46,0.0,0.24,0.0,12.69,0.0,0.33,13.05,0.0,12.29,21.06,6.66,17.72,0.0,57.73,70.78,0.07,0.21,4.29,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,6.25,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,17.98,17.98,91.12,92.57,110.55,0.35,0.31,0.0,0.0,0.65,7.72,37.02,6.95,21.08,72.77,183.97,28.14,0.0,0.53,0.0,28.67,0.01,0.0,28.68,0.0,25.01,39.26,39.84,51.18,0.0,155.29,183.97,2.36,0.47,4.62,0.0,0.0,0.01,0.0,0.0,0.0,1.45,0.0,25.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,17.98,17.98,118.99,120.44,138.42,0.54,1.0,0.0,0.0,1.53,9.91,53.23,13.46,27.67,104.29,244.24,63.17,0.0,4.07,0.0,67.24,0.42,0.09,67.75,0.0,33.5,52.68,20.76,69.54,0.0,176.48,244.24,0.71,0.49,9.7,0.0,0.0,0.42,0.0,0.0,0.0,1.45,0.0,64.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,17.98,17.98,137.52,138.97,156.95,1.08,0.0,0.0,0.0,1.08,38.84,49.84,8.3,28.2,125.18,283.21,69.12,0.0,0.05,0.0,69.17,1.09,0.08,70.34,0.0,50.86,52.58,17.77,91.66,0.0,212.87,283.21,1.77,0.68,13.16,0.0,0.0,1.09,0.0,0.0,0.0,1.45,0.0,140.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,17.98,17.98,151.48,152.93,170.91,0.15,0.75,0.0,0.0,0.9,30.03,59.04,17.82,42.83,149.72,321.53,71.61,0.49,1.95,0.0,74.05,2.0,0.07,76.12,0.0,56.33,51.17,18.88,119.03,0.0,245.41,321.53,2.93,1.43,4.21,0.0,0.0,2.0,0.0,0.0,0.0,1.45,0.0,72.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,18.58,18.58,185.3,243.7,267.46,0.0,1.08,1.41,1.16,3.64,71.52,110.3,29.42,13.2,224.43,495.54,149.06,2.92,3.37,0.0,155.36,2.65,0.06,216.44,5.0,120.94,83.14,23.98,46.03,0.0,279.1,495.54,48.83,4.76,10.2,2.01,0.0,2.65,0.0,5.0,0.0,58.41,58.37,157.3,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,19.79,19.79,220.44,277.84,297.63,24.51,2.92,1.74,1.68,30.85,116.56,106.64,29.62,2.3,255.12,583.6,223.8,2.83,5.3,0.0,231.93,2.88,0.05,294.24,7.55,135.76,85.55,21.34,39.15,0.0,289.35,583.6,70.94,8.17,22.04,3.07,0.0,2.88,0.0,7.55,0.0,57.4,59.38,152.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,19.79,19.79,226.26,283.62,303.41,23.24,4.5,2.37,1.35,31.45,126.18,99.65,56.08,4.56,286.47,621.33,248.64,2.5,9.53,0.0,260.66,2.98,0.55,335.53,13.39,143.35,83.34,16.56,29.16,0.0,285.8,621.33,80.92,4.61,10.59,0.43,0.0,2.98,0.0,13.39,0.0,57.36,71.35,127.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
