Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20
Net Sales/Income from operations,231.56,228.06,217.31,225.48,194.73,181.12,188.11,216.86,237.36,247.51,234.07,204.6,180.81,153.16,146.31,128.39,125.43
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.49,--
Total Income From Operations,231.56,228.06,217.31,225.48,194.73,181.12,188.11,216.86,237.36,247.51,234.07,204.6,180.81,153.16,146.31,133.88,125.43
EXPENDITURE,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,81.03,83.39,79.82,75.37,71.01,67.29,63.93,68.94,73.99,94.48,100.98,80.92,60.49,48.99,54.71,38.5,31.95
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,0.54,-1.05,-6.8,1.03,-6.37,-5.5,8.7,-4.86,3.8,-1.75,-9.63,-9.76,2.79,-0.97,-12.51,-9.9,-1.68
Power & Fuel,19.1,--,18.69,17.61,17.24,17.01,12.41,18.07,--,--,--,--,--,--,--,--,--
Employees Cost,12.35,12.4,11.78,11.84,11.74,11.46,11.47,12.68,11.73,10.6,10.0,9.28,8.68,8.8,7.78,11.16,10.88
Depreciation,11.19,11.22,11.1,11.0,11.16,10.97,10.66,9.79,8.88,8.69,8.46,7.02,6.0,6.11,5.79,4.34,4.67
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,16.33,38.72,16.04,20.91,14.71,15.28,15.06,16.66,39.44,46.64,41.39,40.34,32.74,27.6,24.98,24.02,21.77
"P/L Before Other Inc. , Int., Excpt. Items & Tax",91.01,83.39,86.69,87.73,75.24,64.61,65.89,95.57,99.51,88.85,82.87,76.81,70.13,62.63,65.55,65.76,57.84
Other Income,4.6,10.37,9.64,13.4,7.51,5.08,12.36,12.41,12.39,3.07,10.93,7.36,7.45,8.61,6.53,5.73,7.07
"P/L Before Int., Excpt. Items & Tax",95.61,93.76,96.32,101.13,82.76,69.68,78.24,107.98,111.9,91.93,93.8,84.16,77.58,71.24,72.07,71.49,64.9
Interest,0.11,0.02,0.09,0.54,0.03,0.24,0.03,0.09,0.06,0.0,--,0.13,0.0,0.01,0.01,0.0,0.09
P/L Before Exceptional Items & Tax,95.5,93.74,96.24,100.59,82.73,69.45,78.22,107.89,111.84,91.93,93.8,84.03,77.58,71.23,72.07,71.49,64.82
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,95.5,93.74,96.24,100.59,82.73,69.45,78.22,107.89,111.84,91.93,93.8,84.03,77.58,71.23,72.07,71.49,64.82
Tax,21.39,26.3,24.08,25.78,20.31,17.53,19.67,26.97,27.94,23.67,23.35,21.54,19.59,17.71,17.46,18.36,15.76
P/L After Tax from Ordinary Activities,74.11,67.44,72.16,74.81,62.42,51.92,58.54,80.91,83.9,68.25,70.44,62.49,57.98,53.52,54.61,53.12,49.06
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,74.11,67.44,72.16,74.81,62.42,51.92,58.54,80.91,83.9,68.25,70.44,62.49,57.98,53.52,54.61,53.12,49.06
Equity Share Capital,10.63,10.63,10.63,10.63,10.63,10.63,10.62,10.62,10.62,10.62,10.62,10.62,10.62,10.62,10.62,10.62,10.62
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,529.39,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,
Basic EPS,6.97,6.35,6.79,7.04,5.87,4.89,5.51,7.62,7.9,6.43,6.63,5.88,5.46,5.04,5.14,5.0,4.62
Diluted EPS,6.97,6.34,6.79,7.04,5.87,4.89,5.51,7.61,7.89,6.42,6.63,5.88,5.46,5.04,5.14,--,4.62
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
