Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23
Net Sales/Income from operations,291.34,249.83,259.95,260.77,263.96,245.14,246.31
Other Operating Income,--,--,--,--,--,--,--
Total Income From Operations,291.34,249.83,259.95,260.77,263.96,245.14,246.31
EXPENDITURE,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,216.69,199.81,227.4,193.42,193.84,180.59,176.03
Increase/Decrease in Stocks,-1.48,-7.75,-32.46,0.26,3.19,5.96,17.36
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,12.26,11.86,11.84,9.56,10.75,10.08,9.51
Depreciation,0.85,0.83,0.73,1.07,1.05,0.97,0.93
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,31.45,28.57,28.02,34.54,33.56,29.02,24.33
"P/L Before Other Inc. , Int., Excpt. Items & Tax",31.58,16.51,24.43,21.93,21.58,18.52,18.15
Other Income,4.95,11.69,0.96,1.0,0.66,6.24,0.96
"P/L Before Int., Excpt. Items & Tax",36.53,28.2,25.4,22.93,22.24,24.76,19.11
Interest,0.09,0.27,2.67,2.6,2.37,1.29,1.16
P/L Before Exceptional Items & Tax,36.44,27.93,22.73,20.33,19.87,23.47,17.95
Exceptional Items,--,--,--,--,--,--,--
P/L Before Tax,36.44,27.93,22.73,20.33,19.87,23.47,17.95
Tax,9.82,4.92,5.97,1.72,5.13,5.77,6.94
P/L After Tax from Ordinary Activities,26.61,23.01,16.76,18.62,14.74,17.7,11.02
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,26.61,23.01,16.76,18.62,14.74,17.7,11.02
Equity Share Capital,110.44,110.44,106.12,106.12,106.12,97.5,97.5
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,
Basic EPS,1.23,1.04,0.79,0.88,0.69,0.83,0.52
Diluted EPS,1.23,1.04,0.79,0.88,0.69,0.83,0.52
EPS After Extra Ordinary,,,,,,,
Public Share Holding,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,
a) Pledged/Encumbered,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,
Notes,,,,,,,
