Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20
Net Sales/Income from operations,345.9,347.5,363.3,327.4,304.85,302.06,316.25,298.9,293.35,283.51,292.21,262.95,254.5,273.19,284.17,331.51,256.63,236.72,282.38,139.56
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.4,--,--
Total Income From Operations,345.9,347.5,363.3,327.4,304.85,302.06,316.25,298.9,293.35,283.51,292.21,262.95,254.5,273.19,284.17,331.51,256.63,254.12,282.38,139.56
EXPENDITURE,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,70.7,75.2,69.1,64.5,59.43,61.29,67.2,65.66,57.45,60.3,56.49,56.59,53.35,57.78,61.82,86.48,54.12,-146.72,62.59,30.01
Increase/Decrease in Stocks,0.6,-5.7,1.9,-1.0,1.29,1.26,-1.1,-4.32,1.17,-0.28,6.28,-0.42,-2.24,-0.23,-1.46,-5.59,-0.28,1.18,3.62,0.71
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,58.2,57.1,59.6,61.5,56.12,54.15,55.86,53.44,47.64,45.03,47.2,47.39,42.92,40.56,41.32,49.22,37.92,42.86,35.6,30.66
Depreciation,15.1,14.9,14.0,13.7,20.41,12.78,12.79,12.12,11.16,11.35,11.38,11.41,11.35,11.41,11.42,10.74,10.55,12.87,10.84,10.34
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,107.7,118.0,121.6,108.6,101.72,97.89,95.99,91.78,82.77,88.5,94.38,81.27,72.2,76.32,84.4,90.31,80.45,278.12,73.41,44.4
"P/L Before Other Inc. , Int., Excpt. Items & Tax",93.6,88.0,97.1,80.1,65.88,74.7,85.5,80.22,93.17,78.62,76.48,66.72,76.92,87.36,86.67,100.36,73.86,65.81,96.32,23.43
Other Income,24.2,20.6,6.6,5.3,3.9,4.23,3.57,3.84,4.97,7.18,7.63,3.71,7.72,3.1,9.34,4.02,3.62,0.31,1.87,3.81
"P/L Before Int., Excpt. Items & Tax",117.8,108.6,103.7,85.4,69.78,78.92,89.07,84.06,98.14,85.81,84.11,70.43,84.63,90.46,96.0,104.38,77.48,66.13,98.2,27.24
Interest,8.1,6.7,4.6,3.8,2.31,1.22,0.05,0.08,0.18,0.24,0.33,0.41,0.53,0.62,1.08,2.25,3.11,4.33,2.81,4.54
P/L Before Exceptional Items & Tax,109.7,101.9,99.1,81.6,67.47,77.71,89.02,83.98,97.97,85.56,83.79,70.02,84.11,89.84,94.93,102.13,74.37,61.8,95.38,22.71
Exceptional Items,10.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,120.5,101.9,99.1,81.6,67.47,77.71,89.02,83.98,97.97,85.56,83.79,70.02,84.11,89.84,94.93,102.13,74.37,61.8,95.38,22.71
