Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15
Net Sales/Income from operations,9423.1,9286.4,9104.6,8868.4,8603.9,8701.0,8569.7,8378.8,8362.5,8325.9,7949.4,7337.7,3963.5,6586.0,3426.7,3173.4,3033.1,2965.5,2799.4,2764.6,2825.1,2634.5,2406.1,2318.5,2333.3,2330.5,2210.1,2033.3,1883.1,1778.2,1656.2,1588.9,1592.9,1593.7,1524.6,1471.7,1475.8,1416.7,1401.9,1274.1
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44.8,38.2,77.5,-203.0,71.3,54.2
Total Income From Operations,9423.1,9286.4,9104.6,8868.4,8603.9,8701.0,8569.7,8378.8,8362.5,8325.9,7949.4,7337.7,3963.5,6586.0,3426.7,3173.4,3033.1,2965.5,2799.4,2764.6,2825.1,2634.5,2406.1,2318.5,2333.3,2330.5,2210.1,2033.3,1883.1,1778.2,1656.2,1588.9,1592.9,1593.7,1569.4,1509.9,1553.3,1213.7,1473.2,1328.3
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,5926.3,5738.8,5466.9,5464.1,5394.5,5215.3,5249.9,5189.3,5187.2,5096.5,4771.1,4372.6,2304.7,3873.3,2093.4,1956.9,1801.8,1702.3,1630.4,1669.3,1610.7,1549.2,1467.3,1355.6,1330.8,1331.7,1271.9,1194.3,1096.0,1050.1,1036.7,952.0,905.1,930.0,902.8,874.7,867.8,825.6,873.0,819.9
Depreciation,228.7,242.4,219.3,213.9,211.6,184.2,194.0,170.6,167.9,160.9,164.1,151.0,84.2,134.0,68.1,65.1,69.9,64.3,72.0,60.7,57.7,54.3,50.7,45.7,23.0,21.8,21.6,21.7,20.3,23.7,24.0,23.3,24.8,29.9,29.0,25.1,26.6,26.3,25.8,24.7
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1977.8,2056.0,2017.3,1865.4,1723.8,1974.4,1750.6,1618.6,1636.3,1925.0,1602.0,1514.7,889.9,1342.6,681.0,634.9,566.4,591.8,544.9,550.9,679.5,593.5,516.5,546.2,569.1,534.5,499.5,452.3,519.7,446.6,366.1,391.1,406.9,392.0,353.3,320.9,355.0,336.0,311.0,261.6
"P/L Before Other Inc. , Int., Excpt. Items & Tax",1290.3,1249.2,1401.1,1325.0,1274.0,1327.1,1375.2,1400.3,1371.1,1143.5,1412.2,1299.4,684.7,1236.1,584.2,516.5,595.0,607.1,552.1,483.7,477.2,437.5,371.6,371.0,410.4,442.5,417.1,365.0,247.1,257.8,229.4,222.5,256.1,241.8,284.3,289.2,303.9,25.8,263.4,222.1
