Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Mar '12,Dec '11
Net Sales/Income from operations,2029.94,1922.76,1867.53,1812.53,1800.72,1748.05,1766.14,1698.83,1626.81,1787.22,1672.18,1404.34,1414.16,1482.23,1569.35,1675.35,1813.4,1872.77,2012.68,1866.35,1919.91,2069.55,2187.29,2301.57,2135.12,1999.5,1730.41,1615.83,1569.97,1438.49,1315.78,1192.15,1075.93,937.62,913.04,817.2,873.99,675.25,614.41,535.89,495.66,458.55,315.05,281.77,252.93,227.14,183.95,165.17,120.55,331.68
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61.13,57.13,45.65,-87.19,33.85,28.8,24.54,21.48,16.45,11.0,--,--,--,5.03,--,--,--
Total Income From Operations,2029.94,1922.76,1867.53,1812.53,1800.72,1748.05,1766.14,1698.83,1626.81,1787.22,1672.18,1404.34,1414.16,1482.23,1569.35,1675.35,1813.4,1872.77,2012.68,1866.35,1919.91,2069.55,2187.29,2301.57,2135.12,1999.5,1730.41,1615.83,1569.97,1438.49,1315.78,1192.15,1075.93,998.75,970.17,862.85,786.8,709.1,643.21,560.43,517.14,475.0,326.05,281.77,252.93,227.14,188.98,165.17,120.55,331.68
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,83.76,80.07,81.68,83.87,69.54,63.1,67.23,64.26,62.99,46.05,55.96,49.34,43.76,41.41,47.32,47.56,44.34,35.06,47.88,49.09,28.69,50.91,55.89,59.79,64.0,50.87,51.61,44.85,39.62,34.86,33.08,28.92,27.59,24.97,26.58,22.12,15.88,20.21,20.93,18.26,18.58,17.4,10.59,10.49,8.7,7.17,7.79,6.78,6.73,9.04
Depreciation,14.28,14.34,13.82,13.31,14.13,13.02,11.27,12.56,12.57,12.55,13.14,12.97,13.96,13.08,13.38,12.76,14.29,13.99,14.56,15.94,14.47,18.09,16.74,16.34,9.11,7.57,7.89,6.72,7.01,6.77,5.25,5.08,4.83,4.77,4.56,4.47,4.17,4.3,3.43,3.14,0.19,1.86,1.38,1.5,1.07,0.94,0.91,0.45,--,0.37
