Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2018-06-30,163.07,163.07,69.55,3.39,0.0,30.55,59.59,12.25,71.84,3.03,68.8,0.0,68.8,22.14,46.66,0.0,46.66,16.54,5.78,5.6
2018-09-30,170.69,170.69,53.16,3.7,0.0,43.6,70.23,96.73,166.96,5.35,161.61,0.0,161.61,32.1,129.5,0.0,129.5,16.9,15.28,14.8
2018-12-31,67.46,67.46,46.5,4.7,0.0,40.34,-24.08,2.05,-22.04,0.94,-22.98,0.0,-22.98,-7.46,-15.52,0.0,-15.52,16.9,-1.82,-1.77
2019-03-31,81.05,81.05,32.35,5.5,-0.36,50.46,-6.9,1.64,-5.26,5.16,-10.42,0.0,-10.42,-1.33,-9.09,0.0,-9.09,16.9,-1.07,-0.04
2019-06-30,55.93,55.93,46.79,7.11,0.0,40.48,-38.45,4.38,-34.08,13.51,-47.59,0.0,-47.59,-16.62,-30.96,0.0,-30.96,17.03,-3.64,-3.54
2019-09-30,110.01,110.01,48.31,7.56,0.0,32.45,21.69,179.01,200.7,16.0,184.7,0.0,184.7,8.95,175.75,0.0,175.75,17.37,20.24,19.96
2019-12-31,45.03,45.03,9.32,2.92,0.0,13.38,19.41,7.02,26.43,8.67,17.77,0.0,17.77,6.85,10.92,-13.54,-2.62,17.42,-0.3,-0.32
2020-03-31,92.79,92.79,14.17,2.87,0.0,12.3,63.44,4.09,67.54,11.08,56.45,0.0,56.45,13.56,42.89,0.0,42.89,17.44,4.92,4.83
2020-06-30,34.5,34.5,10.61,2.89,0.0,6.57,14.43,12.16,26.59,3.77,22.82,0.0,22.82,6.05,16.76,0.0,16.76,17.44,1.92,1.9
2020-09-30,8.36,8.36,9.34,2.87,1.0,3.47,-8.31,360.32,352.0,6.99,345.01,0.0,345.01,-0.52,345.53,0.0,345.53,17.47,39.6,39.11
2020-12-31,40.11,40.11,10.3,2.93,-0.16,8.27,18.77,12.35,31.12,4.67,26.46,0.0,26.46,6.65,19.81,0.0,19.81,17.53,2.26,2.24
2021-03-31,54.8,54.8,7.55,2.88,1.1,6.39,36.88,244.15,281.03,9.7,271.34,0.0,271.34,13.07,258.27,0.0,258.27,17.58,29.42,29.08
2021-06-30,40.07,40.07,14.36,2.83,-1.87,7.07,17.68,48.35,66.03,7.85,58.17,0.0,58.17,10.53,47.64,0.0,47.64,17.59,5.42,5.35
2021-09-30,26.38,26.38,10.85,2.83,0.05,7.27,5.39,116.87,122.27,12.43,109.84,0.0,109.84,4.71,105.13,0.0,105.13,17.69,11.92,11.66
2021-12-31,8.4,8.4,15.18,2.79,0.08,5.4,-15.04,43.21,28.17,12.98,15.2,0.0,15.2,-2.75,17.95,0.0,17.95,17.73,2.03,1.99
2022-03-31,14.06,14.06,14.62,2.82,3.14,8.87,-15.4,297.43,282.03,10.93,271.1,0.0,271.1,32.98,238.12,0.0,238.12,17.74,26.85,26.32
2022-06-30,14.82,14.82,12.95,2.9,-0.03,4.2,-5.2,49.18,43.98,11.73,32.25,0.0,32.25,0.36,31.89,0.0,31.89,17.75,3.59,3.55
2022-09-30,47.78,47.78,12.39,3.11,-0.03,5.09,27.22,258.06,285.28,14.64,270.64,0.0,270.64,6.29,264.35,0.0,264.35,17.77,29.77,29.16
2022-12-31,39.22,39.22,10.2,3.19,0.07,10.02,15.74,110.48,126.22,15.8,110.42,0.0,110.42,4.17,106.25,0.0,106.25,17.8,11.95,11.68
2023-03-31,10.15,10.15,10.02,3.54,0.2,9.1,-12.71,133.95,121.24,17.48,103.76,0.0,103.76,9.35,94.41,0.0,94.41,35.61,2.65,2.59
2023-06-30,23.16,23.16,11.93,3.34,0.01,9.71,-1.83,135.5,133.67,17.68,115.99,0.0,115.99,0.22,115.77,0.0,115.77,35.7,3.25,3.18
2023-09-30,67.59,67.59,8.92,3.72,3.31,11.71,39.93,217.19,257.12,17.7,239.42,0.0,239.42,20.06,219.36,0.0,219.36,35.8,6.14,5.99
2023-12-31,74.4,74.4,12.29,3.44,0.01,17.81,40.85,134.32,175.17,22.11,153.06,0.0,153.06,9.84,143.22,0.0,143.22,35.84,4.0,3.88
2024-03-31,12.43,12.43,13.73,4.47,-0.09,42.74,-48.42,304.29,255.87,28.71,227.16,0.0,227.16,26.48,200.68,0.0,200.68,35.89,5.6,5.39
2024-06-30,12.43,12.43,14.32,4.17,0.04,21.48,-27.58,171.14,143.56,25.09,118.47,-87.63,30.84,4.14,26.7,0.0,26.7,36.29,0.74,0.71
2024-09-30,127.83,127.83,18.56,4.66,0.4,34.09,70.12,143.75,213.87,33.42,180.45,0.0,180.45,21.78,158.67,0.0,158.67,36.47,4.36,4.18
2024-12-31,25.28,25.28,14.47,4.39,0.05,13.08,-6.71,139.92,133.21,29.85,103.36,0.0,103.36,24.61,78.75,0.0,78.75,38.83,2.07,1.98
2025-03-31,66.51,66.51,12.63,4.29,0.03,24.72,24.84,56.16,81.0,22.14,58.86,0.0,58.86,-11.55,70.41,0.0,70.41,39.31,1.8,1.74
