Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,875.77,859.84,634.08,1513.65,1046.97,916.79,576.91,1387.94,1036.97,804.86,669.18,1683.59,1133.09,1000.42,451.0,1773.81,728.21,663.95,391.24,1066.42,693.59,687.74,581.07,1368.48,923.85,734.05,454.68,1252.6,731.51,689.65,627.03,1315.95,711.49,450.79,291.93,1001.53,756.99,617.08,581.02,1268.28,563.15,447.04,498.08,773.51,772.2,743.21,590.47,1106.76,670.4,580.92
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.63,--,7.99,2.73,3.34,7.22,6.53,4.12,9.23,11.05,13.74,4.24,3.61,6.11,11.1,7.85,7.06,15.28,6.12,6.04
Total Income From Operations,875.77,859.84,634.08,1513.65,1046.97,916.79,576.91,1387.94,1036.97,804.86,669.18,1683.59,1133.09,1000.42,451.0,1773.81,728.21,663.95,391.24,1066.42,693.59,687.74,581.07,1368.48,923.85,734.05,454.68,1252.6,731.51,689.65,631.66,1315.95,719.48,453.52,295.27,1008.75,763.52,621.2,590.25,1279.33,576.89,451.28,501.69,779.62,783.3,751.06,597.53,1122.04,676.52,586.96
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,394.99,473.6,376.6,844.39,556.38,472.72,273.98,651.72,465.38,587.6,394.16,866.18,605.72,520.33,277.34,755.25,577.99,454.62,250.39,665.06,378.5,490.93,356.02,735.46,561.64,408.29,265.23,604.34,383.47,389.88,347.75,623.82,310.1,247.74,165.92,424.41,434.4,342.45,275.47,594.65,302.14,288.41,188.16,416.75,415.47,420.91,361.09,646.97,386.38,372.28
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.51,--,--,--,--,0.32,--,--,--,1.96,--,1.16,1.9,--,--
Increase/Decrease in Stocks,70.65,-45.95,-65.56,-79.52,-21.39,22.3,26.19,86.15,124.26,-160.23,-12.5,92.93,58.15,55.41,-56.45,415.69,-225.77,-149.38,-39.67,-137.92,-27.96,-126.07,0.01,16.34,-16.6,-12.77,27.26,56.88,-4.89,-25.93,-7.4,25.99,28.85,-132.9,-47.03,108.78,43.32,-5.65,97.26,167.78,-11.86,-73.44,126.78,87.96,27.24,26.3,-44.44,60.0,51.73,-29.43
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,206.71,201.25,213.55,196.74,210.82,205.59,209.08,202.06,214.3,210.83,212.57,210.96,219.6,217.38,209.69,207.12,211.21,211.83,218.49,229.28,207.43,205.16,202.0,221.86,192.95,190.2,196.92,218.59,197.11,193.09,199.71,233.65,188.12,177.61,181.34,185.93,193.22,192.71,196.03,204.53,186.77,187.12,190.7,149.72,187.92,191.32,187.8,206.71,179.2,173.21
Depreciation,18.57,17.29,16.82,16.63,15.75,15.73,15.62,16.02,15.89,16.0,16.09,16.21,16.61,16.59,16.65,18.72,16.4,17.59,17.97,17.6,17.89,17.83,17.98,17.31,17.48,17.8,16.99,16.52,16.41,15.86,15.45,14.38,17.72,15.07,14.81,14.72,13.07,12.56,12.86,13.4,13.02,13.25,12.47,14.22,13.14,13.1,13.1,13.59,12.78,12.24
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,143.02,157.92,159.5,181.62,245.24,154.68,118.11,160.96,141.35,124.79,130.5,283.04,175.02,177.9,101.91,218.68,120.96,108.15,79.21,166.33,109.47,124.01,99.26,141.09,110.61,103.52,102.25,133.32,114.26,98.88,155.14,232.94,158.5,161.15,82.8,109.56,73.88,105.05,78.9,149.42,94.16,80.28,63.36,75.6,111.08,112.59,87.26,172.78,86.07,107.45
"P/L Before Other Inc. , Int., Excpt. Items & Tax",41.83,55.73,-66.83,353.8,40.17,45.77,-66.07,271.03,75.79,25.87,-71.64,214.28,57.98,12.81,-98.14,158.35,27.42,21.14,-135.15,126.07,8.26,-24.12,-94.2,236.42,57.77,27.01,-153.97,222.95,25.15,17.87,-78.99,185.17,16.19,-15.15,-102.57,164.84,5.63,-25.92,-70.27,149.55,-7.66,-44.34,-79.78,35.37,26.49,-13.16,-8.44,20.09,-39.64,-48.79
