Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2018-06-30,25.68,0.0,25.68,0.0,4.53,0.98,17.43,2.75,0.76,3.51,0.1,3.41,3.41,1.09,2.32,2.32,24.29,0.0,0.0,0.0
2018-09-30,27.53,0.0,27.53,0.0,4.2,1.01,17.55,4.77,0.73,5.5,0.19,5.31,5.31,1.38,3.93,3.93,24.29,0.0,1.62,1.62
2018-12-31,34.74,0.0,34.74,0.0,5.38,1.01,20.46,7.89,1.0,8.89,0.09,8.8,8.8,2.62,6.18,6.18,24.29,0.0,2.55,2.55
2019-03-31,29.84,0.0,29.84,0.06,5.43,1.42,18.01,4.92,1.16,6.09,0.06,6.02,6.02,1.78,4.25,4.25,24.29,21.98,0.0,0.0
2019-06-30,30.41,0.0,30.41,0.0,5.82,1.08,16.92,6.59,1.72,8.31,0.04,8.27,8.27,2.05,6.22,6.22,24.29,0.0,0.0,2.56
2019-09-30,49.23,0.0,49.23,0.0,6.71,1.11,31.88,9.54,2.32,11.85,0.1,11.76,11.76,2.95,8.81,8.81,25.5,0.0,3.57,3.57
2019-12-31,53.04,0.0,53.04,0.0,5.87,1.5,34.08,11.6,3.31,14.91,0.1,14.81,14.81,3.73,11.08,11.08,25.5,0.0,4.44,4.44
2020-03-31,43.39,1.31,44.7,0.0,5.79,1.73,30.56,6.63,2.63,9.26,0.08,9.18,9.18,2.4,6.78,6.78,25.5,0.0,2.7,2.7
2020-06-30,42.26,0.0,42.26,0.0,6.32,1.82,32.05,2.08,2.79,4.87,0.07,4.8,4.8,1.24,3.56,3.56,25.5,0.0,1.4,1.4
2020-09-30,72.65,0.0,72.65,0.0,7.59,1.59,54.57,8.9,1.03,9.93,0.15,9.78,9.78,2.5,7.29,7.29,25.5,0.0,2.86,2.86
2020-12-31,78.32,0.0,78.32,0.0,9.24,1.58,58.7,8.81,0.26,9.07,0.07,9.0,9.0,2.31,6.69,6.69,25.5,0.0,2.62,2.62
2021-03-31,72.23,0.0,72.23,0.0,8.64,1.58,49.59,12.41,3.64,16.05,0.07,15.98,15.98,5.29,10.69,10.69,25.5,0.0,4.19,4.19
2021-06-30,81.85,0.0,81.85,0.0,9.91,1.48,57.86,12.6,6.61,19.21,0.12,19.1,19.1,4.18,14.91,14.91,26.65,0.0,5.68,5.68
2021-09-30,95.97,0.0,95.97,0.0,10.25,2.03,73.03,10.66,10.39,21.05,0.12,20.93,20.93,5.1,15.83,15.83,26.65,0.0,5.99,5.99
2021-12-31,111.27,0.0,111.27,0.0,12.27,1.96,86.0,11.03,6.44,17.47,0.08,17.4,17.4,4.93,12.47,12.47,26.65,0.0,0.94,0.94
2022-03-31,108.44,0.0,108.44,0.0,11.74,1.81,83.89,11.0,7.74,18.74,0.34,18.4,18.4,5.06,13.34,13.34,26.65,0.0,1.01,1.01
2022-06-30,105.16,0.0,105.16,0.0,11.74,1.7,81.16,10.57,3.6,14.17,0.07,14.09,14.09,3.81,10.29,10.29,26.64,0.0,0.77,0.77
2022-09-30,115.86,0.0,115.86,0.0,11.19,1.93,87.72,15.03,5.03,20.06,0.07,19.99,19.99,5.18,14.81,14.81,26.64,0.0,1.11,1.11
2022-12-31,137.27,0.0,137.27,0.0,12.13,2.01,101.28,21.86,6.88,28.74,0.01,28.73,28.73,7.25,21.48,21.48,26.64,0.0,1.61,1.61
2023-03-31,136.5,0.0,136.5,0.0,11.88,1.8,102.6,20.22,7.06,27.28,0.05,27.23,27.23,6.92,20.31,20.31,26.64,0.0,1.52,1.52
2023-06-30,137.13,0.0,137.13,0.0,12.51,2.02,107.0,15.61,5.39,20.99,0.06,20.93,20.93,5.35,15.58,15.58,26.64,0.0,1.17,1.17
2023-09-30,133.83,0.0,133.83,0.0,11.58,2.05,101.03,19.17,5.4,24.58,0.19,24.39,24.39,6.22,18.17,18.17,26.64,0.0,1.36,1.36
2023-12-31,139.32,0.0,139.32,0.0,13.44,1.93,109.0,14.95,10.1,25.04,0.19,24.86,24.86,6.35,18.51,18.51,28.02,0.0,1.38,1.38
2024-03-31,155.72,0.0,155.72,0.0,13.52,2.12,123.8,16.28,15.43,31.71,0.24,31.48,31.48,7.78,23.69,23.69,28.02,0.0,1.75,1.75
2024-06-30,163.15,0.0,163.15,0.0,14.12,1.78,123.54,23.72,14.49,38.2,0.26,37.95,37.95,9.78,28.17,28.17,28.03,0.0,2.01,2.01
2024-09-30,176.1,0.0,176.1,0.0,12.65,2.06,139.25,22.14,14.51,36.64,0.25,36.39,36.39,9.16,27.23,27.23,28.04,0.0,1.94,1.94
2024-12-31,187.6,0.0,187.6,0.0,13.8,2.09,149.18,22.53,17.04,39.57,0.27,39.3,39.3,10.04,29.26,29.26,28.07,0.0,2.09,2.08
2025-03-31,187.54,0.0,187.54,0.0,13.92,2.07,146.32,25.24,16.61,41.85,0.36,41.49,41.49,10.66,30.84,30.84,28.07,0.0,2.2,2.2
