Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Employees Stock Options,Long Term Borrowings,Short Term Borrowings,Capital Work-In-Progress,Deferred Tax Assets [Net]
2015-03-31,15.82,15.82,-7.67,-7.67,8.16,0.0,0.0,0.38,0.38,16.85,3.13,0.35,20.34,28.87,0.13,0.51,0.0,0.64,0.0,0.16,0.0,1.19,22.35,1.92,2.15,1.27,27.68,28.87,0.67,14.4,6.29,0.0,0.0,0.0,0.0,0.0,0.4
2016-03-31,15.82,15.82,-2.66,-2.66,13.17,0.0,0.0,0.55,4.83,19.07,5.09,0.28,24.44,42.44,0.17,1.11,4.13,5.54,0.0,3.21,0.0,9.2,14.79,6.83,4.76,6.86,33.24,42.44,1.4,26.59,16.88,0.0,0.0,4.28,0.0,0.13,0.46
2017-03-31,24.29,24.29,-3.76,-3.76,21.03,0.0,0.0,0.91,1.44,16.01,7.23,0.15,26.22,48.69,0.36,13.94,0.31,14.61,0.02,0.63,0.03,17.19,13.53,8.75,0.04,9.19,31.5,48.69,3.43,0.0,0.0,0.02,0.51,0.53,2.83,0.0,1.9
2018-03-31,24.29,24.29,5.06,5.06,30.17,0.0,0.0,1.14,1.14,22.02,4.59,0.11,26.72,58.03,0.37,14.74,0.0,15.11,0.03,0.58,0.01,16.22,15.82,14.49,0.16,11.34,41.81,58.03,2.6,0.0,0.0,0.03,0.82,0.0,0.0,0.0,0.49
2019-03-31,24.29,24.29,21.98,21.98,46.27,0.27,0.0,1.54,1.81,32.37,13.0,0.14,45.51,93.59,0.66,22.91,1.8,25.36,13.85,0.01,0.0,39.21,26.93,9.94,0.76,16.74,54.37,93.59,3.54,0.0,0.0,13.85,0.0,0.0,0.0,0.0,0.0
2020-03-31,25.5,25.5,139.54,139.54,165.03,0.19,1.46,1.28,2.93,45.07,39.77,0.5,85.34,253.3,2.9,24.13,4.8,31.83,44.0,0.33,1.91,78.08,36.97,114.16,3.33,20.77,175.22,253.3,8.32,62.26,34.48,44.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,25.5,25.5,167.69,167.69,193.19,2.36,17.96,1.55,21.87,72.7,14.4,0.61,87.72,302.77,2.34,22.43,8.72,33.49,103.53,0.33,24.74,162.1,69.5,34.3,1.31,35.57,140.68,302.77,77.31,69.16,48.93,103.53,0.0,0.0,0.0,0.0,0.0
2022-03-31,26.65,26.65,817.11,817.11,843.76,3.67,0.0,1.84,5.51,149.35,18.6,0.64,168.59,1017.86,1.43,26.03,3.52,30.97,351.17,0.0,4.98,387.12,87.45,484.84,0.3,58.16,630.74,1017.86,55.22,238.13,78.2,216.14,0.0,0.0,0.0,0.0,0.0
2023-03-31,26.64,26.64,882.44,882.44,909.07,3.06,0.21,1.92,5.19,173.87,16.47,0.85,191.2,1105.45,1.8,28.33,0.52,30.64,284.81,0.57,9.09,325.11,98.41,483.05,0.86,198.01,780.34,1105.45,120.87,286.02,126.21,284.81,0.0,0.0,0.0,0.0,0.0
2024-03-31,28.02,28.02,1703.11,1703.11,1731.13,2.59,2.84,2.26,7.69,258.48,28.99,0.91,288.38,2027.2,5.73,21.81,6.86,34.41,698.34,0.0,16.05,748.8,165.12,659.28,193.16,260.84,1278.4,2027.2,121.29,414.81,51.51,698.34,0.0,0.0,0.0,0.0,0.0
