Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Equity Share Application Money,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,152.14,0.0,152.14,529.37,529.37,681.52,0.0,1420.57,101.82,2.02,3.68,1528.09,133.71,58.93,634.29,119.09,946.01,3155.62,1122.83,4.28,572.02,159.64,1858.76,11.57,40.76,7.15,37.33,1955.58,0.0,405.41,15.7,102.31,192.35,484.28,1200.04,3155.62,178.7,0.0,0.0,45.0,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,152.14,0.0,152.14,510.96,510.96,663.1,0.0,1538.69,120.16,2.66,5.12,1666.64,173.14,59.66,779.67,117.12,1129.59,3459.33,1947.9,7.75,48.76,350.3,2354.71,12.87,44.9,11.08,41.53,2465.09,0.0,432.33,10.08,31.29,107.47,413.06,994.24,3459.33,68.27,0.0,0.0,45.0,12.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,152.14,0.0,152.14,395.37,395.37,547.52,0.0,1902.28,107.87,5.3,5.57,2021.03,238.83,65.19,565.21,121.93,991.16,3559.7,1941.19,7.45,31.61,452.5,2432.75,47.43,83.45,11.72,32.63,2607.99,0.0,433.07,18.14,34.18,137.81,328.51,951.71,3559.7,36.16,0.0,0.0,45.0,47.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,152.14,16.0,168.14,452.04,452.04,620.18,0.0,2034.58,70.31,5.36,5.76,2116.01,300.57,84.67,427.51,27.44,840.18,3595.32,2180.38,25.59,22.36,642.42,2870.75,0.32,51.75,10.55,44.38,2977.75,0.0,320.7,40.47,32.77,179.35,44.28,617.57,3595.32,21.93,0.0,0.0,45.0,0.33,18.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,171.1,16.0,187.1,351.21,351.21,538.3,0.0,2199.15,63.6,17.99,3.81,2284.55,137.78,85.9,574.58,95.86,894.12,3716.97,2121.05,24.46,21.92,673.67,2841.09,4.32,94.78,11.07,58.38,3009.63,0.0,311.58,55.17,31.58,236.49,72.53,707.35,3716.97,20.95,0.0,0.0,45.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,205.02,51.82,256.84,1241.86,1241.86,1498.71,0.0,1287.43,29.05,35.28,5.76,1357.51,69.4,121.53,435.0,96.67,722.6,3578.82,2049.22,23.24,28.48,680.96,2781.89,29.72,73.24,12.18,82.5,2979.53,0.0,395.46,47.68,82.55,1.81,71.78,599.29,3578.82,107.46,126.25,496.81,45.0,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,205.02,110.8,315.82,1344.2,1344.2,1660.02,0.0,1466.47,22.21,33.08,7.42,1529.18,37.72,101.8,466.63,88.85,695.0,3884.2,1979.74,25.84,87.51,713.82,2806.9,131.01,85.28,10.08,144.83,3178.1,0.0,392.06,39.35,115.14,69.14,90.41,706.1,3884.2,463.32,89.64,425.34,45.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,205.02,119.46,324.49,1227.91,1227.91,1552.4,0.0,1583.32,13.75,30.06,7.42,1634.54,80.82,78.8,475.35,90.82,725.79,3912.72,1771.95,25.04,35.85,995.07,2827.91,130.99,179.67,9.83,120.77,3269.16,0.0,390.95,21.24,34.48,109.1,87.8,643.57,3912.72,357.58,37.73,16.63,45.0,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,205.02,174.67,379.69,1120.53,1120.53,1500.22,43.83,1939.96,1.19,89.09,7.94,2038.18,356.38,83.15,296.41,85.03,820.97,4403.2,1752.3,24.21,32.2,1356.04,3164.75,132.35,235.27,0.0,110.51,3642.88,0.0,393.2,42.47,84.77,136.67,103.21,760.32,4403.2,377.7,52.58,38.02,45.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,205.02,185.89,390.92,1291.18,1291.18,1682.1,53.4,2021.82,0.0,95.61,8.29,2125.71,582.36,148.33,327.68,10.84,1069.21,4930.42,2048.77,23.44,92.28,1647.39,3811.87,165.55,144.85,0.0,109.52,4231.8,0.0,412.72,58.29,81.87,35.46,110.29,698.63,4930.42,267.56,91.5,346.5,45.0,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,205.47,200.35,405.82,1598.49,1598.49,2004.31,55.08,1458.32,0.0,118.99,11.54,1588.85,1082.34,200.11,605.55,7.74,1895.73,5543.98,2104.11,24.91,14.24,1844.67,3987.92,210.63,155.08,0.0,201.26,4554.89,0.83,541.35,53.49,79.0,159.7,154.72,989.08,5543.98,0.0,0.0,0.0,45.0,201.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
