Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21
Net Sales/Income from operations,2500.31,2282.25,2325.64,2184.84,2232.67,2117.28,2104.62,1853.04,1864.42,1686.8,1827.01,1661.68,1656.3,1444.92,2522.67,1098.6,1500.98
Other Operating Income,9.21,18.03,--,--,--,--,--,5.75,--,--,8.2,9.26,5.22,14.71,-19.98,10.73,9.4
Total Income From Operations,2509.52,2300.28,2325.64,2184.84,2232.67,2117.28,2104.62,1858.79,1864.42,1686.8,1835.21,1670.94,1661.52,1459.63,2502.7,1109.33,1510.38
EXPENDITURE,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1592.7,1531.31,1523.29,1429.14,1419.1,1420.06,1414.02,1206.46,1254.6,1115.55,1223.44,1107.02,1068.5,919.18,1712.7,780.38,991.84
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,56.62,-37.66,-12.91,-6.01,35.1,-34.17,-21.17,14.32,-6.88,-31.16,-8.35,-22.49,-9.08,15.86,-104.97,-66.91,-14.79
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,414.14,412.25,401.21,375.64,344.17,340.01,343.8,327.14,291.39,300.06,317.53,274.08,258.1,239.43,446.73,214.1,233.32
Depreciation,47.6,46.96,44.4,39.93,39.37,37.69,36.35,33.84,34.75,31.68,29.53,27.7,19.22,3.98,82.16,12.81,2.69
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,174.84,156.8,164.5,147.29,142.97,129.38,119.84,116.77,116.04,123.4,121.77,109.53,125.06,76.52,146.71,69.67,71.25
"P/L Before Other Inc. , Int., Excpt. Items & Tax",223.62,190.62,205.15,198.85,251.96,224.31,211.78,160.26,174.52,147.27,151.29,175.1,199.72,204.66,219.37,99.28,226.07
Other Income,1.61,0.58,4.75,4.98,4.33,1.07,5.59,13.55,12.72,0.72,10.72,7.69,9.29,7.88,12.8,4.56,16.18
"P/L Before Int., Excpt. Items & Tax",225.23,191.2,209.9,203.83,256.29,225.38,217.37,173.81,187.24,147.99,162.01,182.79,209.01,212.54,232.17,103.84,242.25
Interest,5.54,6.56,7.18,5.47,5.83,6.39,7.36,7.72,8.6,6.51,5.85,6.86,67.33,12.29,-51.13,2.52,12.69
P/L Before Exceptional Items & Tax,219.69,184.64,202.72,198.36,250.46,218.99,210.01,166.09,178.64,141.48,156.16,175.93,141.68,200.25,283.3,101.32,229.56
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,-65.41,--,--,--,--
P/L Before Tax,219.69,184.64,202.72,198.36,250.46,218.99,210.01,166.09,178.64,141.48,156.16,175.93,76.27,200.25,283.3,101.32,229.56
Tax,54.76,44.66,50.64,49.49,59.02,51.13,54.13,42.96,40.17,35.32,39.71,49.97,29.85,48.36,71.72,27.03,59.4
P/L After Tax from Ordinary Activities,164.93,139.98,152.08,148.87,191.44,167.86,155.88,123.13,138.47,106.16,116.45,125.96,46.42,151.89,211.58,74.29,170.16
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,164.93,139.98,152.08,148.87,191.44,167.86,155.88,123.13,138.47,106.16,116.45,125.96,46.42,151.89,211.58,74.29,170.16
Equity Share Capital,442.11,442.11,442.11,442.11,442.11,442.11,442.11,442.11,442.11,315.79,315.79,315.79,315.79,315.79,315.79,315.79,0.05
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,
Basic EPS,0.37,0.32,0.34,0.34,0.43,0.38,0.35,0.28,0.31,0.24,0.37,0.4,0.15,0.48,0.67,0.24,3403.2
Diluted EPS,0.37,0.32,0.34,0.34,0.43,0.38,0.35,0.28,0.31,0.24,0.37,0.4,0.15,0.48,--,0.25,0.54
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
