Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Int. /Disc. on Adv/Bills,2080.45,2055.46,1976.13,1888.04,1822.4,1793.73,1656.67,1569.03,1460.92,1395.8,1286.11,1184.12,1138.13,1133.13,1136.19,1118.03,1096.48,1104.65,1140.3,1112.11,1143.95,1152.36,1193.24,1175.5,1161.28,1141.74,1159.09,1134.27,1104.93,1116.54,1110.79,1088.55,1103.99,1083.22,1108.09,1106.39,1087.28,1075.67,1083.88,1082.54,1044.46,1067.15,1051.99,1047.71,1002.64,992.08,956.56,920.72,871.87,831.26
(b) Income on Investment,421.4,422.76,393.22,385.09,353.65,339.3,333.42,304.64,292.39,281.33,271.06,254.35,241.38,234.78,230.06,218.56,219.7,234.55,246.19,241.35,275.52,291.81,300.21,282.13,281.62,292.23,287.22,289.52,293.92,281.24,273.62,274.15,291.83,285.59,262.53,266.09,280.09,272.03,275.37,268.29,282.49,292.87,306.08,296.11,300.86,304.48,311.5,280.54,249.72,238.2
(c) Int. on balances With RBI,9.82,2.32,3.71,4.27,3.64,4.31,5.98,8.12,10.86,16.51,21.24,33.99,28.85,35.71,31.39,38.38,32.45,8.43,6.53,20.88,29.35,37.32,41.63,32.46,15.08,5.49,7.28,15.05,21.83,21.31,15.32,18.75,34.31,33.97,15.89,3.6,0.89,0.2,0.47,0.68,0.54,4.46,0.57,0.67,7.63,0.87,1.24,1.18,3.63,2.6
(d) Others,4.26,5.47,10.94,7.13,4.88,2.04,1.01,1.12,4.15,1.58,1.07,1.07,0.91,0.89,0.31,0.97,0.68,2.68,1.68,1.76,7.34,22.29,2.43,2.44,15.61,3.3,3.35,3.69,70.2,3.23,2.64,2.63,3.11,8.38,6.41,8.95,1.9,4.46,4.81,4.83,0.33,0.18,0.26,--,11.61,0.57,3.39,20.09,0.93,0.04
Other Income,509.33,467.43,472.01,388.35,628.85,357.79,338.89,333.16,400.81,317.49,241.57,199.07,205.48,195.61,163.1,219.99,216.47,251.49,271.56,317.13,346.99,260.06,277.73,269.84,272.45,259.89,175.56,254.87,208.65,224.85,230.13,236.3,231.99,170.1,217.85,162.28,166.14,172.78,205.74,162.16,179.79,147.14,135.96,117.95,145.71,105.61,106.2,206.93,157.8,105.49
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expended,1426.67,1407.22,1324.05,1260.18,1189.11,1138.09,1081.7,985.84,875.74,806.22,758.13,727.65,699.34,717.28,717.64,738.04,736.71,766.73,793.21,814.26,865.68,926.57,941.23,908.56,854.36,861.93,877.8,858.91,847.99,860.68,847.36,845.51,853.25,893.53,897.96,903.91,897.52,904.16,927.11,933.24,930.44,973.59,1021.48,1004.46,974.41,992.89,974.31,890.65,815.83,763.66
Employees Cost,384.93,373.82,357.0,333.46,439.75,374.73,327.64,318.91,280.65,255.71,233.87,235.73,223.17,243.36,251.15,227.35,351.21,368.28,220.55,213.64,214.42,225.49,212.99,203.75,212.28,197.67,172.66,178.56,179.2,153.36,155.07,151.45,137.99,175.62,154.39,139.96,139.27,126.55,133.04,148.52,157.76,139.79,126.75,122.75,147.96,140.65,131.54,107.77,100.2,86.06
Other Expenses,378.69,357.13,358.72,333.39,317.65,308.45,288.72,262.9,273.69,261.83,256.73,233.75,250.93,237.89,218.42,201.95,228.08,209.88,203.74,191.45,223.22,227.05,229.86,204.93,214.63,218.04,220.65,200.31,192.63,211.94,203.06,174.01,166.93,240.29,238.92,220.42,240.63,168.86,154.88,141.01,159.41,135.73,139.52,121.74,136.79,117.1,116.23,112.32,128.06,115.88
