Item,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,
Equity Share Capital,160.88,160.41,160.0,159.86,159.86,159.86,145.33,121.86,121.86,121.63,107.18,107.18,107.18,94.49
Total Share Capital,160.88,160.41,160.0,159.86,159.86,159.86,145.33,121.86,121.86,121.63,107.18,107.18,107.18,94.49
Reserves and Surplus,9879.2,8423.64,7436.2,6799.88,6440.41,6262.94,6118.86,4913.83,4451.09,4124.4,3219.16,2978.01,2601.04,2020.05
Total Reserves and Surplus,9879.2,8423.64,7436.2,6799.88,6440.41,6262.94,6118.86,4913.83,4451.09,4124.4,3219.16,2978.01,2601.04,2020.05
Total ShareHolders Funds,10040.08,8584.05,7596.2,6959.74,6600.28,6422.8,6264.19,5035.7,4572.95,4246.03,3326.34,3085.19,2708.22,2114.53
Deposits,89112.72,76637.58,68676.16,63278.43,59075.08,59867.95,56890.09,53699.81,50078.9,44690.27,43757.68,38652.98,32111.59,24721.85
Borrowings,2478.35,1432.01,1339.09,2528.29,1184.18,1565.34,2381.67,1695.65,1573.24,2900.75,3293.31,3999.34,1972.56,529.89
Other Liabilities and Provisions,3954.05,3525.78,2432.27,1856.73,1418.64,1484.02,1393.17,1376.46,1438.63,1315.42,1165.82,995.82,842.52,858.56
Total Capital and Liabilities,105585.2,90179.42,80043.72,74623.19,68278.17,69340.11,66929.12,61807.62,57663.72,53152.48,51543.15,46733.34,37634.89,28224.84
ASSETS,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,5587.93,4279.48,3594.26,3124.05,2732.67,2934.68,2960.07,2790.47,2529.06,2692.92,2546.2,1628.64,1920.87,1679.84
Balances with Banks Money at Call and Short Notice,70.64,415.65,1331.91,3196.28,1659.88,762.36,1336.83,1554.62,262.54,56.17,132.03,167.38,114.58,94.62
Investments,22343.52,18808.32,17216.06,16018.93,15762.45,14881.59,15803.21,14857.48,13221.67,12773.01,13247.0,13837.26,10506.1,7731.76
Advances,73667.48,63134.14,55334.62,50363.51,46098.11,48580.81,44800.15,40907.72,39084.38,36108.94,33992.13,29480.13,23949.19,17814.46
Fixed Assets,432.88,435.04,478.49,539.06,586.64,582.99,528.19,418.61,420.12,411.17,384.7,322.11,244.85,210.57
Other Assets,3482.75,3106.79,2088.38,1381.36,1438.43,1597.68,1500.67,1278.71,2145.95,1110.28,1241.09,1297.83,899.31,693.59
Total Assets,105585.2,90179.42,80043.72,74623.19,68278.17,69340.11,66929.12,61807.62,57663.72,53152.48,51543.15,46733.34,37634.89,28224.84
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,811.0,795.0,789.0,790.0,711.0,667.0,629.0,572.0,551.0,451.0,369.0
Number of Employees,0.0,0.0,0.0,7746.0,7935.0,7368.0,7956.0,7400.0,7211.0,7197.0,7340.0,6730.0,5673.0,4574.0
Capital Adequacy Ratios (%),16.67,18.56,19.46,18.98,17.17,16.0,14.43,12.54,12.17,14.62,12.6,14.41,14.33,14.41
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,16.95,15.27,14.28,13.92,11.85,11.26,13.56,11.62,13.1,13.12,13.07
Tier 2 (%),0.0,0.0,0.0,2.03,1.9,1.72,0.51,0.69,0.91,1.06,0.97,1.31,1.21,1.34
ASSETS QUALITY,,,,,,,,,,,,,,
Gross NPA,1041.64,1458.15,3431.04,4142.87,4212.77,4449.57,3015.76,1483.81,511.18,677.78,279.18,285.86,320.99,228.15
Gross NPA (%),1.4,2.0,6.0,8.0,9.0,9.0,7.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0
Net NPA,297.97,468.15,1260.79,1719.39,1808.65,2420.34,1862.83,1033.46,216.17,280.97,139.91,108.74,78.78,13.87
Net NPA (%),0.4,0.74,2.28,3.41,3.92,4.98,4.16,2.53,0.55,0.78,0.41,0.37,0.33,0.07
Net NPA To Advances (%),1.63,1.0,1.0,3.0,4.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,2162.37,2232.37,2341.84,2316.05,2921.43,2720.22,4360.48,3760.86,3067.83,2648.23,2147.82
Contingent Liabilities,0.0,0.0,0.0,10124.45,8437.98,10137.07,0.0,14879.02,13078.55,15105.24,0.0,11389.23,9135.69,7070.81
Preference Share Capital,,,,,,,,,,,,0.0,0.0,0.0
Revaluation Reserve,,,,,,,,,,,,0.0,0.0,0.0
Money Against Share Warrants,,,,,,,,,,,,0.0,0.0,0.0
Employees Stock Options,,,,,,,,,,,,0.0,0.0,0.0
Equity Share Application Money,,,,,,,,,,,,0.0,0.0,0.0
Preference Share Application Money,,,,,,,,,,,,0.0,0.0,0.0
Share Capital Suspense,,,,,,,,,,,,0.0,0.0,0.0
