Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17
EQUITIES AND LIABILITIES,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,
Equity Share Capital,1139.86,1134.89,1110.56,1252.03,1139.28,1053.4,1005.94,1005.94,1005.94
Total Share Capital,1139.86,1134.89,1110.56,1252.03,1139.28,1053.4,1005.94,1005.94,1005.94
Reserves and Surplus,4932.66,4833.81,4047.39,2994.14,2257.06,1690.75,1248.38,1037.81,1005.98
Total Reserves and Surplus,4932.66,4833.81,4047.39,2994.14,2257.06,1690.75,1248.38,1037.81,1005.98
Total ShareHolders Funds,6072.52,5968.7,5157.95,4246.17,3396.34,2744.15,2254.32,2043.75,2011.92
Deposits,43106.72,36129.2,25380.56,18950.8,16391.97,10788.41,9006.74,5603.93,1921.29
Borrowings,2136.99,1787.53,2973.76,2616.4,4165.32,5134.87,3973.03,5177.21,4778.9
Other Liabilities and Provisions,1519.4,1418.44,1445.87,1138.53,761.59,647.12,528.61,485.07,533.24
Total Capital and Liabilities,52835.63,45303.87,34958.13,26951.9,24715.22,19314.55,15762.69,13309.96,9245.34
ASSETS,,,,,,,,,
Cash and Balances with Reserve Bank of India,4954.11,3500.35,1173.91,956.99,514.81,380.86,402.7,386.08,247.93
Balances with Banks Money at Call and Short Notice,582.19,78.6,70.35,1175.52,2863.9,2155.98,857.91,825.08,866.14
Investments,9288.69,9065.27,6664.56,4449.85,3705.17,2342.51,2344.45,3856.84,1890.5
Advances,36208.89,30964.3,25798.56,19374.21,16847.95,13747.24,11595.0,7706.69,5701.83
Fixed Assets,695.7,604.73,379.13,200.44,185.05,212.77,237.34,280.88,288.35
Other Assets,1106.06,1090.62,871.62,794.88,598.35,475.19,325.28,254.38,250.59
Total Assets,52835.63,45303.87,34958.13,26951.9,24715.22,19314.55,15762.69,13309.96,9245.34
OTHER ADDITIONAL INFORMATION,,,,,,,,,
Number of Branches,0.0,0.0,875.0,861.0,861.0,854.0,987.0,392.0,375.0
Number of Employees,0.0,0.0,20563.0,17607.0,16556.0,16106.0,14608.0,13490.0,13320.0
Capital Adequacy Ratios (%),0.0,21.7,23.8,25.16,24.18,23.61,22.44,29.63,35.51
KEY PERFORMANCE INDICATORS,,,,,,,,,
Tier 1 (%),0.0,20.71,23.08,24.53,23.23,22.44,20.92,27.09,32.3
Tier 2 (%),0.0,0.99,0.72,0.63,0.95,1.17,1.52,2.54,3.21
ASSETS QUALITY,,,,,,,,,
Gross NPA,1067.73,821.28,723.96,837.18,642.78,417.32,295.71,212.53,206.48
Gross NPA (%),2.89,2.61,2.76,4.24,4.0,3.0,3.0,3.0,4.0
Net NPA,354.2,360.9,312.01,4794.7,266.17,247.62,186.42,131.5,104.95
Net NPA (%),0.98,1.17,1.21,2.47,1.58,1.66,1.44,1.46,1.51
Net NPA To Advances (%),0.3,1.17,1.21,2.47,2.0,2.0,1.0,1.0,2.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,
Contingent Liabilities,0.0,409.69,122.67,18.3,12.51,26.98,32.72,33.15,49.31
Preference Share Capital,,,,,,,0.0,0.0,0.0
Revaluation Reserve,,,,,,,0.0,0.0,0.0
Money Against Share Warrants,,,,,,,0.0,0.0,0.0
Employees Stock Options,,,,,,,0.0,0.0,0.0
Equity Share Application Money,,,,,,,0.0,0.0,0.0
Preference Share Application Money,,,,,,,0.0,0.0,0.0
Share Capital Suspense,,,,,,,0.0,0.0,0.0
Bills for Collection,,,,,,,0.0,0.0,0.0
