Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,
(a) Int. /Disc. on Adv/Bills,1447.69,1425.0,1365.98,1324.66,1279.43,1274.49,1225.22,1141.83,1046.6,959.31,904.33,854.49,811.28,819.18,766.51,742.15,736.38,772.85,730.0,661.61,668.42,620.74,580.83,550.01
(b) Income on Investment,159.43,163.74,169.97,154.25,156.56,148.54,126.14,108.51,100.68,80.61,72.66,61.66,65.68,63.64,59.64,56.78,58.6,60.24,56.69,43.87,37.09,40.69,40.78,39.08
(c) Int. on balances With RBI,36.86,23.19,18.92,22.05,8.67,5.77,7.64,3.61,8.45,23.47,25.38,24.25,18.86,18.07,17.43,20.04,23.36,24.14,10.86,15.84,20.36,15.28,17.86,14.29
(d) Others,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Income,225.45,238.41,238.93,208.7,240.45,205.48,181.37,171.37,238.69,152.64,145.03,133.22,148.15,134.12,147.82,103.62,178.4,146.31,63.69,29.66,73.6,85.67,63.92,59.16
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expended,814.55,793.54,752.56,699.47,658.76,643.65,593.41,510.82,448.77,415.89,392.68,359.82,343.37,360.08,359.75,357.93,369.76,373.37,336.29,317.03,301.87,293.11,288.94,266.22
Employees Cost,418.43,425.48,402.42,374.67,363.4,346.05,331.51,327.97,303.92,292.0,275.1,225.65,208.58,240.43,227.54,221.65,204.24,204.94,187.79,194.48,186.95,183.88,169.59,169.37
Other Expenses,325.14,298.46,289.1,295.12,288.2,284.26,285.26,274.42,255.34,229.03,237.3,219.96,208.12,209.78,209.47,178.57,172.89,150.19,117.46,97.44,122.26,126.96,113.68,107.39
Depreciation,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Operating Profit before Provisions and contingencies,311.3,332.85,349.72,340.4,374.75,360.31,330.19,312.12,386.39,279.11,242.32,268.19,283.91,224.71,194.64,164.44,249.85,275.04,219.68,142.02,188.4,158.44,131.18,119.57
Provisions And Contingencies,258.01,243.11,329.66,304.64,106.6,84.38,63.2,60.07,125.6,49.9,90.1,141.6,123.17,78.4,137.81,150.19,96.98,126.09,83.91,68.34,129.96,40.49,45.37,30.81
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,53.29,89.74,20.06,35.76,268.15,275.93,266.99,252.05,260.79,229.21,152.22,126.59,160.73,146.31,56.82,14.25,152.86,148.95,135.78,73.68,58.43,117.94,85.81,88.75
Tax,11.18,23.44,7.18,10.0,60.53,73.93,68.86,60.85,70.75,59.08,35.8,29.58,41.22,38.2,15.63,2.32,39.99,38.26,32.79,16.01,15.42,23.87,36.33,31.69
P/L After Tax from Ordinary Activities,42.11,66.3,12.88,25.76,207.62,202.0,198.14,191.2,190.04,170.13,116.42,97.01,119.51,108.11,41.19,11.93,112.87,110.7,102.99,57.67,43.01,94.08,49.48,57.06
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
