Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,17.5,17.5,10.73,5.4,-3.97,0.53,1.48,0.41,1.22,1.71,0.61,2.33,1.88,0.44,0.0,0.44,0.14,0.3,0.3,14.43,0.09,0.09,1.78,49.25,1.78,97.27,49.36
2012-12-31,17.16,17.16,10.13,0.0,1.57,0.6,1.54,0.46,1.78,1.07,0.94,2.01,1.5,0.51,-0.01,0.5,0.05,0.45,0.45,14.43,0.13,0.13,1.77,49.14,1.78,97.27,49.47
2013-03-31,23.06,23.06,8.3,8.31,-1.35,0.51,1.88,1.06,1.73,2.61,0.38,2.99,1.25,1.75,-0.01,1.74,0.78,0.96,0.96,14.43,0.27,0.27,1.77,49.15,1.78,97.07,49.36
2013-06-30,16.05,16.05,10.08,0.0,-0.01,0.65,1.37,0.58,1.65,1.73,0.19,1.92,1.45,0.47,-0.08,0.4,0.12,0.27,0.27,14.43,0.08,0.08,1.77,49.15,1.78,97.27,49.46
2013-09-30,18.01,18.01,11.33,0.0,-0.03,0.74,1.56,0.58,2.29,1.54,0.27,1.81,1.39,0.42,0.0,0.42,0.12,0.3,0.3,14.43,0.08,0.08,1.77,49.15,1.78,97.27,49.46
2013-12-31,20.04,20.04,13.12,0.0,0.95,0.5,1.61,0.63,1.9,1.33,0.81,2.14,1.49,0.65,0.0,0.65,0.17,0.48,0.48,14.43,0.13,0.13,1.77,49.15,1.78,97.27,49.46
2014-03-31,26.23,26.23,15.42,4.0,-1.84,0.63,1.87,0.62,2.41,3.12,0.3,3.43,1.46,1.96,-0.37,1.6,0.53,1.06,1.06,14.43,0.3,0.3,1.77,49.15,1.78,97.27,49.46
2014-06-30,20.57,20.57,14.04,0.0,0.01,0.66,1.72,0.62,1.52,2.0,0.24,2.24,1.14,1.1,0.02,1.12,0.37,0.75,0.75,14.43,0.21,0.21,1.77,49.15,1.78,97.27,49.46
2014-09-30,23.26,23.26,15.29,0.0,-0.08,0.67,2.11,1.68,1.25,2.34,0.26,2.59,1.34,1.25,0.0,1.25,0.13,1.13,1.13,14.43,0.31,0.31,1.77,49.15,1.78,97.27,49.46
2014-12-31,23.41,23.41,14.08,0.0,-0.3,0.65,2.16,1.94,1.98,2.9,0.39,3.29,1.6,1.69,0.0,1.69,0.51,1.18,1.18,14.43,0.33,0.33,1.77,49.15,1.78,97.27,49.46
2015-03-31,24.91,24.91,14.93,0.0,0.15,0.62,2.33,1.41,1.67,3.81,0.46,4.26,1.7,2.56,-0.18,2.37,0.51,1.86,1.86,14.43,0.52,0.52,1.77,49.15,1.78,97.27,49.46
2015-06-30,22.32,22.32,13.75,0.0,-0.2,0.59,2.13,1.37,1.49,3.18,0.18,3.36,1.48,1.88,0.0,1.88,0.34,1.55,1.55,14.43,0.43,0.43,1.77,49.15,1.78,97.27,49.46
2015-09-30,20.0,20.0,11.52,0.0,0.3,0.5,2.08,1.39,1.25,2.96,0.16,3.12,1.57,1.55,-0.19,1.36,0.34,1.02,1.02,14.43,0.28,0.28,1.77,49.15,1.83,100.0,50.85
2015-12-31,18.01,18.01,10.71,0.0,-0.02,0.48,2.06,1.34,1.19,2.25,0.42,2.67,1.45,1.21,0.0,1.21,0.34,0.87,0.87,14.43,0.24,0.24,0.0,0.0,0.0,0.0,0.0
2016-03-31,32.63,32.63,20.09,0.0,0.94,0.59,2.88,1.36,2.2,4.56,0.94,5.51,1.24,4.26,-0.54,3.73,1.37,2.36,2.36,14.43,0.65,0.65,0.0,0.0,0.0,0.0,0.0
2016-06-30,20.63,20.63,14.56,0.0,-1.37,0.69,2.33,1.33,1.29,1.78,0.14,1.93,1.2,0.73,-0.06,0.67,-0.03,0.7,0.7,14.43,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2016-09-30,26.92,26.92,17.29,0.0,-0.17,0.76,2.73,1.35,1.25,3.71,0.4,4.11,1.13,2.99,-0.96,2.03,0.73,1.3,1.3,14.43,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2016-12-31,23.35,23.35,16.74,0.0,-2.1,0.71,2.52,1.36,1.73,2.39,0.35,2.73,1.28,1.45,-0.02,1.43,0.25,1.18,1.18,14.43,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2017-03-31,33.99,33.99,18.21,0.0,2.75,0.74,2.53,1.35,1.51,6.89,0.31,7.21,1.77,5.44,0.03,5.47,2.64,2.83,2.83,14.43,0.78,0.78,0.0,0.0,0.0,0.0,0.0
