Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities
2011-03-31,618.75,618.75,1159.99,7546.19,8706.18,9324.93,145228.75,19355.4,4875.19,178784.28,10010.89,2007.76,48610.45,111832.98,1681.11,4641.08,178784.28,2184.0,25626.0,14.55,8.16,6.39,3089.59,3.0,1328.42,1.19,1.0,15838.45,49329.09
2012-03-31,797.0,797.0,114125.82,-102995.17,11130.65,11927.65,178434.18,23613.85,5661.45,219637.13,10198.91,6062.19,55565.88,140724.43,1744.05,5341.67,219637.13,2629.0,27366.0,13.32,8.35,4.97,3920.07,3.0,1907.44,1.35,1.0,249.27,675.29
2013-03-31,924.1,924.1,114793.66,-102260.4,12533.26,13457.36,202135.35,23322.86,5740.46,244656.03,9837.82,5420.59,61417.35,160364.12,1847.04,5769.11,244656.03,2902.0,28280.0,11.85,7.8,4.05,6607.96,4.0,4027.21,2.5,3.0,30900.63,31428.09
2014-03-31,1235.35,1235.35,1813.91,13120.92,14934.82,16170.17,227976.09,24456.04,6302.55,274904.84,11735.1,7273.68,70236.8,175887.77,2604.38,7167.12,274904.84,3265.0,29716.0,10.78,7.47,3.31,9020.48,5.0,5658.12,3.2,3.0,34581.7,84280.17
2015-03-31,1235.35,1235.35,1706.53,12699.14,14405.67,15641.02,246048.72,18232.41,5714.83,285636.98,12637.77,12260.77,81310.35,171756.02,2507.06,5165.0,285636.98,3381.0,31947.0,10.11,7.3,2.81,14922.45,8.0,9813.33,5.68,6.0,39815.09,98479.07
2016-03-31,1807.27,1807.27,2411.61,11446.94,13858.55,15665.82,224514.24,27183.31,7073.4,274436.76,14033.49,8212.74,79189.55,160860.67,3270.46,8869.84,274436.76,3397.0,31846.0,9.66,7.75,1.92,30048.62,17.0,19212.57,11.89,12.0,34982.22,94982.07
2017-03-31,2454.73,2454.73,2165.44,9124.38,11289.82,13744.55,211342.63,16097.67,5982.64,247167.49,11499.97,11723.07,71549.19,140458.62,3054.33,8882.31,247167.49,3373.0,29806.0,10.5,8.21,2.28,35098.26,22.0,19749.0,13.99,14.0,14109.56,82436.55
2018-03-31,4890.77,4890.77,0.0,8383.21,8383.21,13273.98,216831.81,9228.08,8634.24,247968.11,11579.45,14965.54,68645.94,132488.82,2893.43,17394.93,247968.11,3332.0,27936.0,9.25,7.17,2.09,38180.15,25.0,20399.66,15.33,15.0,15239.38,58366.45
2019-03-31,9141.65,9141.65,0.0,7218.23,7218.23,16359.88,222534.08,6146.04,4968.36,250008.36,10292.53,20598.97,66932.27,132597.63,3336.9,16250.05,250008.36,3280.0,26354.0,10.21,7.85,2.36,333.98,22.0,143.68,10.81,11.0,15203.63,56648.72
2020-03-31,16436.99,16436.99,0.0,-282.01,-282.01,16154.98,222951.88,5419.73,16200.24,260726.83,3155.22,20905.43,79416.08,121333.41,3127.34,32789.35,260726.83,3270.0,24857.0,10.72,8.21,2.51,19912.7,15.0,6602.8,5.44,5.0,15348.25,71030.57
2021-03-31,16436.99,16436.99,0.0,507.82,507.82,16944.81,240288.3,3671.58,13105.67,274010.35,12188.25,18588.08,95494.22,127720.65,2918.78,17100.36,274010.35,3217.0,23579.0,15.32,12.91,2.41,16323.18,12.0,4577.59,3.58,4.0,15547.89,68276.45
2022-03-31,18902.41,18902.41,0.0,4097.98,4097.98,23000.39,262158.92,3070.64,11147.21,299377.16,16705.99,20067.2,98179.31,144243.52,3364.9,16816.24,299377.16,0.0,0.0,13.83,0.0,0.0,15298.62,10.0,3824.62,2.65,1.0,0.0,0.0
2023-03-31,18902.41,18902.41,0.0,6360.53,6360.53,25262.94,260883.29,20803.77,6795.82,313745.82,17148.36,3458.73,94170.41,178052.57,3709.98,17205.77,313745.82,0.0,0.0,16.1,0.0,0.0,14071.55,7.0,3266.01,1.83,1.0,0.0,0.0
2024-03-31,18902.41,18902.41,0.0,9039.89,9039.89,27942.3,285905.38,30387.17,7798.77,352033.62,16904.57,1649.85,99632.08,213318.81,3739.75,16788.56,352033.62,0.0,0.0,17.28,0.0,0.0,6794.43,3.1,1216.86,0.57,0.81,0.0,0.0
2025-03-31,19256.59,19256.59,0.0,13284.33,13284.33,32540.92,311938.82,42227.66,8307.54,395014.94,18115.55,2954.72,111044.84,245555.17,4654.82,12689.84,395014.94,0.0,0.0,19.74,0.0,0.0,5347.72,2.14,911.86,0.37,0.92,0.0,0.0
