Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,4.22,4.22,2.0,8.87,0.88,15.67,-23.2,0.34,-22.86,1.23,-24.09,0.0,-24.09,0.0,-24.09,-24.09,22.49,-1.07,-1.07,7.78,32.87,15.82,99.58,66.84
2013-03-31,71.83,71.83,2.27,9.93,0.88,13.91,44.84,1.07,45.91,1.87,44.04,0.0,44.04,0.0,44.04,44.04,23.66,1.95,1.95,7.78,32.87,15.82,99.58,66.84
2013-06-30,35.67,35.67,2.51,10.44,0.88,12.12,9.72,2.2,11.92,2.41,9.51,0.0,9.51,0.0,9.51,9.51,23.67,0.4,0.4,7.78,32.87,15.82,99.58,68.84
2013-09-30,25.84,25.84,1.45,10.82,0.9,21.29,-8.62,3.04,-5.58,2.07,-7.65,0.0,-7.65,0.0,-7.65,-7.65,23.67,-0.32,-0.32,7.78,32.87,15.82,99.58,66.84
2013-12-31,62.95,62.95,2.65,10.77,0.9,14.22,34.41,2.12,36.53,0.92,35.61,0.0,35.61,4.64,30.97,30.97,23.67,1.31,1.31,7.78,32.87,15.82,99.58,66.84
2014-03-31,42.57,42.57,1.4,8.37,0.89,37.5,-5.59,2.64,-2.95,0.2,-3.15,0.0,-3.15,-0.64,-2.51,-2.51,23.67,-0.11,-0.11,7.78,32.87,15.82,99.58,66.84
2014-06-30,35.85,35.85,1.84,11.13,1.6,32.38,-11.1,1.42,-9.68,0.06,-9.74,0.0,-9.74,0.0,-9.74,-9.74,23.67,-0.41,-0.41,7.78,32.87,15.82,99.58,66.84
2014-09-30,45.91,45.91,1.95,11.26,2.06,32.74,-2.1,0.68,-1.42,0.05,-1.47,0.0,-1.47,0.0,-1.47,-1.47,23.67,-0.06,-0.06,7.78,32.87,15.82,99.58,66.84
2014-12-31,31.28,31.28,3.25,11.5,1.8,34.51,-19.78,0.93,-18.85,0.06,-18.91,0.0,-18.91,0.0,-18.91,-18.91,23.67,-0.8,-0.8,7.78,32.87,15.82,99.58,66.84
2015-03-31,42.7,42.7,3.06,11.9,1.78,35.74,-9.78,0.43,-9.35,0.05,-9.4,0.0,-9.4,0.0,-9.4,-9.4,23.67,-0.4,-0.4,7.78,32.87,15.77,99.27,66.64
2015-06-30,43.44,43.44,2.96,13.65,1.82,26.82,-1.81,0.21,-1.6,0.05,-1.65,0.0,-1.65,0.0,-1.65,-1.65,23.67,-0.07,-0.07,77.81,32.87,15.77,99.27,66.64
2015-09-30,43.12,43.12,6.24,13.62,1.89,39.16,-17.79,0.21,-17.58,0.16,-17.74,0.0,-17.74,0.0,-17.74,-17.74,23.67,-0.75,-0.75,7.78,32.87,15.77,99.27,66.64
2015-12-31,33.55,33.55,5.07,13.42,1.91,54.07,-40.92,0.55,-40.37,0.65,-41.02,0.0,-41.02,0.0,-41.02,-41.02,23.67,-1.73,-1.73,0.0,0.0,0.0,0.0,0.0
2016-03-31,41.17,41.17,4.6,15.91,1.96,29.3,-10.6,2.32,-8.28,1.3,-9.58,0.0,-9.58,0.0,-9.58,-9.58,23.67,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0
2016-06-30,21.48,21.48,4.22,20.37,1.96,33.0,-38.07,2.99,-35.08,1.33,-36.41,0.0,-36.41,0.0,-36.41,-36.41,24.69,-1.47,-1.47,0.0,0.0,0.0,0.0,0.0
2016-09-30,94.89,94.89,9.27,22.41,2.11,49.97,11.13,4.04,15.17,0.43,14.74,0.0,14.74,0.0,14.74,14.74,24.69,0.6,0.6,0.0,0.0,0.0,0.0,0.0
2016-12-31,23.05,23.05,8.68,21.89,2.09,59.55,-69.16,2.86,-66.3,0.03,-66.33,0.0,-66.33,0.0,-66.33,-66.33,24.69,-2.69,-2.69,0.0,0.0,0.0,0.0,0.0
2017-03-31,41.6,41.6,3.01,19.76,2.08,52.73,-35.98,3.74,-32.24,0.03,-32.27,0.0,-32.27,0.0,-32.27,-32.27,24.69,-1.31,-1.31,0.0,0.0,0.0,0.0,0.0
2017-06-30,23.39,23.39,15.39,24.8,2.06,61.14,-80.0,1.23,-78.77,0.07,-78.84,0.0,-78.84,0.0,-78.84,-78.84,24.69,-3.19,-3.19,0.0,0.0,0.0,0.0,0.0
