Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Liabilities [Net],Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Trade/Other Goods
2006-03-31,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,19.34,19.34,30.36,30.36,0.0,49.7,0.0,0.0,0.0,3.15,0.0,0.22,1.44,0.75,2.41,55.26,29.97,0.0,0.0,0.0,29.97,0.0,0.0,0.0,29.97,0.0,0.0,0.01,25.27,0.0,25.29,55.26,957.78,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,20.71,20.71,24.11,24.11,0.0,44.82,0.0,0.0,0.0,3.8,0.43,8.49,3.22,1.14,13.28,61.9,32.56,0.0,0.62,0.0,33.19,0.0,0.0,0.0,33.57,0.0,24.48,0.11,3.73,0.0,28.32,61.9,2.21,10.99,36.38,0.0,0.0,0.0,1.84,0.0,1.98,3.8,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,20.71,20.71,14.97,14.97,0.0,35.68,0.0,0.0,0.0,13.59,1.72,7.21,15.9,1.04,25.88,75.14,52.84,0.0,4.44,0.0,57.28,0.0,0.0,0.0,70.87,0.0,0.51,0.52,3.24,0.0,4.28,75.14,0.61,9.78,32.3,0.0,0.0,0.0,4.29,0.0,12.32,13.59,13.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,20.71,20.71,-6.59,-6.59,0.0,14.12,2.13,0.0,0.0,17.18,0.0,7.52,46.34,2.12,55.98,87.28,60.89,0.0,2.03,0.0,62.91,0.0,0.0,0.0,77.96,0.0,0.67,5.35,3.3,0.0,9.32,87.28,0.45,12.59,31.56,0.0,0.0,0.0,3.43,0.0,3.58,15.05,15.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,20.71,20.71,-15.09,-15.09,0.0,5.62,6.3,0.12,1.06,7.48,0.29,10.32,53.17,0.89,64.66,77.76,62.93,0.0,1.26,0.0,64.19,0.0,1.0,0.08,65.27,2.47,2.63,5.15,2.16,0.08,12.5,77.76,4.74,19.32,42.15,0.0,2.47,0.0,2.28,0.5,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,20.71,20.71,-87.32,-87.32,0.0,-66.61,5.74,0.25,1.24,7.23,61.94,16.21,66.06,0.79,145.0,85.63,63.93,0.0,1.14,0.0,65.07,0.0,1.82,0.52,67.41,0.0,4.26,6.51,7.34,0.11,18.22,85.63,5.77,43.62,16.04,0.0,0.0,0.0,2.13,0.78,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,23.66,23.66,84.77,84.77,0.0,108.43,4.36,0.24,1.73,6.32,75.97,12.79,3.79,1.69,94.24,208.99,65.55,0.0,0.16,0.0,65.71,0.0,3.42,0.85,69.98,96.91,25.06,6.72,10.05,0.28,139.01,208.99,5.37,37.24,74.11,0.0,96.91,0.0,2.08,0.71,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,23.67,23.67,115.63,115.63,0.0,139.3,3.82,0.16,1.48,5.45,0.82,29.75,7.58,0.64,38.79,183.54,64.49,0.0,0.76,0.0,65.25,0.0,7.6,0.57,73.42,6.5,28.0,6.56,64.94,4.12,110.12,183.54,5.35,63.76,129.5,0.0,6.5,0.0,2.39,2.21,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,23.67,23.67,76.13,76.13,0.0,99.8,3.27,0.08,2.37,5.72,0.4,27.01,8.98,0.77,37.15,142.67,66.79,0.0,0.02,0.0,66.82,0.0,12.62,0.3,79.74,0.0,19.89,17.34,25.43,0.28,62.93,142.67,21.88,95.76,124.74,0.0,0.0,0.0,2.78,1.15,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
