Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,61.41,61.41,0.0,0.0,6.49,0.43,45.89,8.6,13.28,21.88,1.91,19.97,0.0,19.97,6.41,13.56,13.56,40.84,3.32,3.32,2.0,48.95,2.08,100.0,51.05
2013-03-31,102.15,102.15,0.0,0.0,6.42,0.48,78.58,16.67,13.98,30.65,1.47,29.18,0.0,29.18,5.97,23.21,23.21,40.84,5.68,5.68,2.0,48.96,2.08,100.0,51.04
2013-06-30,67.02,67.02,0.0,0.0,7.39,0.53,50.32,8.78,23.65,32.43,10.67,21.76,0.0,21.76,6.0,15.76,15.76,40.84,3.86,3.86,2.0,48.96,2.08,100.0,51.04
2013-09-30,96.34,96.34,0.0,0.0,7.51,0.54,76.54,11.75,38.19,49.94,9.73,40.21,0.0,40.21,14.05,26.16,26.16,40.84,6.41,6.41,2.0,48.96,2.08,100.0,51.04
2013-12-31,57.53,57.53,0.0,0.0,7.62,0.59,47.65,1.67,23.97,25.64,8.66,16.98,0.0,16.98,0.32,16.66,16.66,40.84,4.08,4.08,2.0,48.96,2.08,100.0,51.04
2014-03-31,86.18,86.18,0.0,0.0,7.87,0.66,73.37,4.28,28.45,32.73,10.29,22.44,0.0,22.44,3.29,19.15,19.15,40.85,4.68,4.68,2.0,48.97,2.08,100.0,51.03
2014-06-30,303.13,303.13,0.0,0.0,9.66,0.78,87.81,204.88,39.92,244.8,7.94,236.86,0.0,236.86,77.03,159.83,159.83,40.99,39.12,39.12,2.01,49.14,2.08,100.0,50.86
2014-09-30,105.71,105.71,0.0,0.0,10.34,0.74,81.54,13.09,47.35,60.44,4.62,55.82,0.0,55.82,15.96,39.86,39.86,41.0,9.68,9.68,2.02,49.15,2.08,100.0,50.85
2014-12-31,83.68,83.68,0.0,0.0,10.99,0.76,78.25,-6.32,24.63,18.31,4.64,13.67,0.0,13.67,2.82,10.85,10.85,41.01,2.62,2.62,2.02,49.16,2.08,100.0,50.84
2015-03-31,131.49,131.49,0.0,0.0,14.19,0.46,104.98,11.86,24.12,35.98,4.62,31.36,0.0,31.36,8.6,22.76,22.76,41.01,5.53,5.29,2.02,49.17,2.08,100.0,50.83
2015-06-30,104.62,104.62,0.0,0.0,13.23,1.04,84.82,5.53,24.14,29.67,5.95,23.72,0.0,23.72,5.91,17.81,17.81,41.02,4.33,4.32,2.02,49.17,2.08,100.0,50.83
2015-09-30,121.99,121.99,0.0,0.0,14.91,1.02,86.61,19.45,30.94,50.39,4.04,46.35,0.0,46.35,12.9,33.45,33.45,41.02,8.16,8.14,2.02,49.18,2.08,100.0,50.82
2015-12-31,166.81,166.81,0.0,0.0,15.39,0.99,122.54,27.89,21.33,49.22,6.29,42.93,0.0,42.93,12.33,30.6,30.6,41.03,7.46,7.43,0.0,0.0,0.0,0.0,0.0
2016-03-31,109.55,109.55,0.0,0.0,10.21,1.09,83.97,14.28,20.77,35.05,6.31,28.74,0.0,28.74,6.11,22.63,22.63,41.03,5.52,5.49,0.0,0.0,0.0,0.0,0.0
2016-06-30,88.86,88.86,0.0,0.0,14.21,1.07,62.22,11.36,17.98,29.34,8.23,21.11,0.0,21.11,5.81,15.3,15.3,41.03,3.73,3.72,0.0,0.0,0.0,0.0,0.0
2016-09-30,95.03,95.03,0.0,0.0,15.79,1.1,73.44,4.7,19.86,24.56,8.05,16.51,0.0,16.51,3.77,12.74,12.74,41.04,3.1,3.08,0.0,0.0,0.0,0.0,0.0
2016-12-31,197.21,197.21,0.0,0.0,15.82,1.08,166.01,14.3,19.11,33.41,8.15,25.26,0.0,25.26,9.45,15.81,15.81,41.04,3.86,3.84,0.0,0.0,0.0,0.0,0.0
2017-03-31,299.45,299.45,0.0,0.0,16.42,1.09,282.43,-0.49,15.7,15.21,7.54,7.67,0.0,7.67,2.58,5.09,5.09,41.05,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2017-06-30,109.25,109.25,0.0,0.0,15.59,1.05,82.03,10.58,14.5,25.08,10.14,14.94,0.0,14.94,4.28,10.66,10.66,51.32,2.25,2.24,0.0,0.0,0.0,0.0,0.0
2017-09-30,75.76,75.76,0.0,0.0,15.35,1.01,67.3,-7.9,34.75,26.85,7.87,18.98,0.0,18.98,6.19,12.79,12.79,51.32,2.49,2.49,0.0,0.0,0.0,0.0,0.0
2017-12-31,144.7,144.7,0.0,0.0,14.48,0.98,114.12,15.12,14.03,29.15,8.98,20.17,0.0,20.17,6.98,13.19,13.19,51.32,2.57,2.57,0.0,0.0,0.0,0.0,0.0
2018-03-31,145.29,145.29,0.0,0.0,14.16,0.92,115.89,14.32,18.94,33.26,8.42,24.84,0.0,24.84,8.36,16.48,16.48,51.33,3.23,3.22,0.0,0.0,0.0,0.0,0.0
