Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency
2005-03-31,4.34,4.34,21.69,21.69,26.03,0.0,1.72,0.0,0.0,1.72,0.92,4.04,9.96,0.46,15.39,43.13,10.68,0.0,0.0,10.68,0.0,0.0,0.0,0.0,10.68,0.0,22.54,6.88,1.5,1.54,0.0,32.45,43.13,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,4.34,4.34,30.04,30.04,34.38,1.29,1.76,0.0,0.0,3.05,0.0,2.9,15.02,0.54,18.46,55.88,11.21,0.0,0.0,11.21,0.07,0.0,0.0,0.0,11.28,0.0,29.62,8.17,3.05,3.77,0.0,44.61,55.88,0.28,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,9.08,9.08,41.23,41.23,50.3,8.05,3.98,0.0,0.0,12.04,0.0,8.73,25.85,0.64,35.22,97.56,30.4,0.0,1.24,31.64,0.09,0.0,0.0,0.0,31.73,0.0,47.57,12.03,1.5,4.74,0.0,65.83,97.56,0.28,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,9.08,9.08,60.7,60.7,69.78,21.9,6.21,0.0,0.0,28.1,0.0,0.0,50.74,1.41,52.15,150.03,50.84,0.0,0.68,51.52,0.07,0.0,0.0,0.08,51.67,0.0,69.55,18.97,0.06,9.78,0.0,98.36,150.03,2.84,68.26,2.84,0.05,0.02,0.0,0.0,0.0,55.77,0.0,0.54,2.87
2009-03-31,9.08,9.08,85.6,85.6,94.68,38.81,6.78,0.0,0.0,45.59,0.0,0.0,36.38,1.65,38.03,178.3,53.42,0.0,0.17,53.59,0.06,0.0,0.0,0.06,53.7,0.0,75.33,21.42,0.76,27.08,0.0,124.59,178.3,4.43,90.78,19.04,0.01,0.0,0.0,0.0,0.0,60.11,0.0,0.49,6.1
2010-03-31,9.08,9.08,128.12,128.12,137.19,118.97,7.84,0.0,0.0,126.81,0.0,0.0,35.0,1.85,36.85,300.86,57.39,0.0,0.77,58.17,119.75,0.0,0.0,0.04,177.95,0.0,50.5,40.92,6.76,24.72,0.0,122.91,300.86,2.32,84.86,3.99,0.03,119.69,0.0,0.0,0.0,37.72,0.0,2.72,124.21
2011-03-31,9.08,9.08,165.09,165.09,174.17,77.05,8.35,0.0,0.34,85.74,9.12,15.7,51.89,2.44,79.14,339.05,62.81,0.72,0.23,63.76,119.7,0.0,14.64,0.0,198.11,0.05,63.05,71.21,0.18,6.41,0.05,140.94,339.05,47.61,80.82,3.4,0.02,119.65,0.0,0.05,0.0,49.14,0.58,1.0,11.17
2012-03-31,9.08,9.08,179.63,179.63,188.7,92.81,8.32,0.0,0.52,101.65,55.86,22.32,69.74,7.85,155.77,446.12,81.29,0.76,1.01,83.06,149.12,0.0,15.45,0.0,247.63,0.0,110.9,78.17,0.38,9.03,0.01,198.49,446.12,88.89,129.66,5.81,0.02,149.07,0.0,0.0,0.0,87.24,1.46,1.17,50.51
2013-03-31,10.75,10.75,413.15,413.15,423.91,82.57,9.89,0.0,0.88,93.33,89.08,18.28,64.47,7.53,179.36,696.6,101.56,0.75,0.0,104.57,211.12,0.0,28.35,0.0,344.04,0.0,116.57,106.27,118.07,10.38,1.28,352.56,696.6,0.0,168.07,8.06,62.27,149.07,0.0,0.0,0.0,77.78,1.7,6.99,48.97
2014-03-31,9.08,9.91,333.62,333.62,343.53,45.46,10.01,1.57,1.48,58.52,139.85,33.17,92.26,11.16,276.44,679.33,99.23,0.75,0.0,99.98,163.19,0.0,37.44,6.55,307.15,84.0,113.3,74.94,80.59,17.96,1.38,372.18,679.33,0.0,143.72,5.6,5.11,158.13,91.08,0.0,0.84,55.01,0.3,0.15,16.75
