Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,671.43,752.89,783.7,897.77,612.21,681.98,717.58,802.52,609.4,695.4,699.2,667.4,510.0,557.94,467.85,475.36,383.57,392.23,160.23,405.53,373.3,401.17,437.75,447.96,384.85,413.84,417.78,345.39,278.58,310.16,299.89,260.46,228.3,278.57,278.87,271.88,253.5,260.46,262.02,231.89,226.22,231.65,226.21,193.82,172.26,175.82,168.32,170.45,173.27,164.88
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.34,2.67,4.03,3.28,3.93,3.22,3.37,3.53,6.31,1.91,2.34,1.96,2.49,2.2,3.29,1.94,4.07,1.54,3.4
Total Income From Operations,671.43,752.89,783.7,897.77,612.21,681.98,717.58,802.52,609.4,695.4,699.2,667.4,510.0,557.94,467.85,475.36,383.57,392.23,160.23,405.53,373.3,401.17,437.75,447.96,384.85,413.84,417.78,345.39,278.58,310.16,299.89,264.8,230.97,282.6,282.15,275.81,256.72,263.83,265.55,238.2,228.13,233.99,228.17,196.31,174.46,179.11,170.26,174.52,174.81,168.28
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,215.78,235.46,234.12,250.86,207.91,202.4,243.99,241.73,215.6,296.7,224.7,197.3,193.8,183.41,159.88,144.41,130.91,138.04,51.78,116.13,103.81,119.66,123.98,166.51,127.06,182.84,158.1,152.4,127.19,135.9,121.97,97.94,63.82,77.57,95.42,82.64,89.52,103.73,96.6,87.88,81.93,82.68,69.95,65.43,53.7,59.53,60.46,59.38,69.41,72.99
Purchase of Traded Goods,212.16,245.81,207.57,238.7,228.75,224.9,204.85,178.33,205.1,136.5,166.7,164.0,128.9,147.93,144.8,137.21,124.26,74.19,65.57,89.1,91.2,87.73,104.14,56.96,105.7,79.02,103.32,58.28,65.6,51.32,57.22,49.23,79.03,85.85,68.24,72.03,77.41,71.01,63.38,59.65,62.62,63.36,64.76,57.54,50.77,52.92,44.73,26.5,42.59,31.97
Increase/Decrease in Stocks,-19.82,-24.27,33.25,42.69,-72.54,-28.85,-27.04,73.67,-52.2,-14.6,-12.5,-12.4,-47.8,-20.55,-45.12,-9.41,-40.37,2.84,-33.63,10.43,0.7,4.9,7.7,18.14,-23.53,-32.18,-13.31,-4.06,-16.9,-13.55,-7.1,3.05,3.66,1.02,-0.87,4.63,-8.32,-14.74,-2.19,-0.41,-3.29,-6.13,-7.06,-5.11,12.35,-2.81,-3.83,14.86,-6.49,-1.98
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,43.09,42.18,41.72,42.39,38.44,41.21,41.92,39.19,41.8,38.4,39.7,36.4,34.5,34.95,34.71,32.91,29.87,30.33,26.22,31.73,29.79,31.24,31.03,31.06,31.55,30.74,29.33,23.88,23.56,21.44,21.62,19.39,17.12,18.3,18.9,17.26,15.22,17.87,17.59,16.4,18.0,16.39,16.0,10.66,13.07,14.72,14.45,13.45,13.73,12.17
Depreciation,21.1,20.9,21.9,21.78,20.98,21.08,21.33,21.31,22.4,21.7,21.8,22.4,21.6,20.45,19.88,19.47,18.76,17.66,17.93,18.52,18.48,19.08,20.79,22.19,20.43,19.76,16.96,10.99,9.34,11.63,11.17,7.98,6.94,6.98,6.99,7.17,5.23,5.33,4.73,4.25,4.1,4.15,4.26,4.22,4.2,3.73,3.67,3.45,3.48,3.53
