Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Employees Stock Options,Long Term Borrowings,Short Term Borrowings,Capital Work-In-Progress,Deferred Tax Assets [Net],Trade Receivables,Preference Share Capital,Equity Share Application Money,Long Term Provisions,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2008-03-31,0.86,1.11,36.12,36.12,37.22,0.0,0.0,0.03,2.79,42.07,2.6,47.46,84.71,11.55,0.79,0.0,12.33,42.07,0.0,0.0,65.73,0.0,13.69,3.8,0.72,18.98,84.71,0.24,0.33,0.0,0.0,42.07,0.0,0.0,0.0,0.03,0.0,0.0,11.32,0.77,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,0.86,1.11,43.91,43.91,45.02,0.0,0.0,0.0,1.91,46.58,3.02,51.5,96.52,13.69,0.5,0.0,14.19,41.62,0.0,0.0,68.49,0.0,20.34,7.59,0.03,28.03,96.52,0.71,0.05,0.0,0.0,41.62,0.0,0.0,0.0,0.0,0.0,0.0,12.69,0.07,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,0.86,1.11,64.64,64.64,65.74,0.0,0.0,0.32,2.98,54.87,1.32,59.16,125.22,18.19,0.63,0.0,18.83,80.76,0.0,0.0,102.38,0.0,11.4,11.38,0.03,22.84,125.22,1.66,0.25,0.0,0.0,80.76,0.0,0.0,0.0,0.32,0.0,0.0,2.79,0.04,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,69.5,69.5,355.63,355.63,425.13,0.95,2.96,3.91,6.71,169.07,1.82,177.6,607.41,53.55,7.22,1.56,62.33,0.0,20.58,0.0,82.91,485.79,23.93,11.21,2.68,524.5,607.41,10.08,0.35,0.0,0.0,0.0,0.0,485.79,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,70.15,70.15,464.3,464.3,534.45,1.82,3.13,4.94,7.2,199.96,18.41,225.57,764.97,46.05,6.75,0.0,52.8,154.71,32.39,0.0,239.9,470.99,36.96,13.6,3.52,525.07,764.97,41.81,1.07,0.0,0.0,0.0,0.0,470.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,70.49,70.49,602.82,602.82,673.32,0.0,4.0,4.13,13.76,253.18,20.17,287.12,964.56,86.99,5.16,0.0,92.15,0.45,37.05,0.06,132.06,772.17,42.0,17.66,0.66,832.5,964.56,45.59,3.89,0.0,0.0,0.45,0.0,772.17,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,69.47,69.47,602.01,602.01,671.48,0.0,4.56,4.56,19.63,256.83,5.05,281.52,957.56,134.33,4.49,0.0,138.82,0.45,62.69,0.0,202.69,703.06,33.62,15.76,2.29,754.87,957.56,22.22,7.53,0.11,0.0,0.45,220.36,487.8,0.0,0.0,0.0,0.0,0.73,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,69.54,69.54,835.64,835.64,905.18,0.0,10.04,10.04,13.71,336.72,0.0,350.43,1265.65,152.21,3.86,0.0,164.66,909.97,12.13,14.94,1125.64,54.73,52.52,3.44,29.32,140.01,1265.65,129.07,5.79,0.0,0.0,590.18,0.0,54.73,0.0,0.0,0.0,8.59,23.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,67.39,67.39,911.81,911.81,979.2,0.0,18.68,18.68,21.56,390.92,0.0,412.48,1410.36,146.02,2.88,0.0,148.9,1120.9,11.84,11.85,1305.91,22.19,57.5,2.44,22.32,104.45,1410.36,4.86,2.53,0.0,318.06,801.94,0.0,22.19,0.0,0.0,0.0,0.0,12.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,64.76,64.76,887.96,887.96,998.63,17.28,33.26,53.3,30.13,465.59,0.0,497.16,1549.09,124.11,2.04,0.0,132.09,1269.65,12.69,9.76,1424.19,21.43,40.44,1.54,61.49,124.9,1549.09,11.22,2.3,0.0,0.0,957.8,0.0,21.43,45.91,2.76,1.44,5.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
