Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,110.13,110.13,103.16,9.33,71.36,71.36,55.7,55.7,52.15,48.49,48.49,48.49,48.49,48.49,48.49
Total Share Capital,110.13,110.13,103.16,9.33,71.36,71.36,55.7,55.7,52.15,48.49,48.49,48.49,48.49,48.49,48.49
Revaluation Reserve,0.0,0.0,0.0,0.0,972.62,996.0,605.75,620.18,0.0,0.0,,,,,
Reserves and Surplus,14141.81,12125.55,9840.08,792.04,5781.63,5326.12,5964.65,5485.33,5624.35,6375.48,6061.56,5675.12,4816.2,4044.69,3430.19
Total Reserves and Surplus,14141.81,12125.55,9840.08,792.04,6754.25,6322.12,6570.4,6105.51,5624.35,6375.48,6061.56,5675.12,4816.2,4044.69,3430.19
Total ShareHolders Funds,14251.94,12235.68,9943.24,801.37,6825.61,6393.48,6626.1,6161.21,5676.49,6423.98,6110.05,5723.61,4864.69,4093.18,3478.69
Deposits,148569.46,134774.89,122037.74,11471.04,108061.15,97788.23,89638.9,80006.5,72463.09,69390.25,65756.19,69335.86,64220.62,53346.9,44675.94
Borrowings,2382.84,2885.0,2892.31,237.08,2015.2,2019.58,2623.96,1628.34,1276.05,2240.0,2339.67,1765.0,1075.0,1240.96,1104.65
Other Liabilities and Provisions,4264.23,4631.02,11088.97,550.76,3389.99,2670.81,2517.34,1891.57,2603.04,2213.84,1879.54,1795.25,1583.0,1588.18,1248.88
Total Capital and Liabilities,169468.47,154526.59,145962.26,13060.24,120291.95,108872.1,101406.29,89687.62,82018.67,80268.07,76085.45,78619.73,71743.32,60269.22,50508.15
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,7385.48,7250.08,7794.06,139.52,3685.33,2947.48,4874.97,4328.36,3590.97,3126.74,2373.06,3045.59,2695.15,2783.65,2974.96
Balances with Banks Money at Call and Short Notice,2374.37,927.4,1084.6,738.98,5812.26,6835.35,986.91,3924.52,1794.96,76.27,1360.71,1168.31,2709.18,1670.21,573.85
Investments,41212.66,34986.71,34829.15,3383.5,30814.24,23052.24,23160.5,18880.03,21290.89,20353.62,25124.3,26195.07,25741.07,21624.32,19695.77
Advances,104198.72,93762.51,82285.45,7040.07,66841.73,64399.07,66271.51,56912.74,49816.11,50193.29,44585.82,46384.6,39200.41,33077.42,26193.64
Fixed Assets,2191.22,2257.48,2271.54,195.37,2012.41,2070.52,1674.69,1614.59,1543.31,763.72,688.91,533.81,456.18,420.27,393.77
Other Assets,12106.02,15342.41,17697.46,1562.8,11125.97,9567.44,4437.71,4027.37,3982.42,5754.44,1952.66,1292.35,941.33,693.34,676.17
Total Assets,169468.47,154526.59,145962.26,13060.24,120291.95,108872.1,101406.29,89687.62,82018.67,80268.07,76085.45,78619.73,71743.32,60269.22,50508.15
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,955.0,955.0,938.0,904.0,865.0,857.0,817.0,777.0,685.0,603.0,548.0
Number of Employees,0.0,0.0,0.0,0.0,12307.0,11740.0,10508.0,10072.0,10022.0,984.0,960.0,0.0,0.0,0.0,7620.0
Capital Adequacy Ratios (%),16.29,15.33,15.38,13.23,12.2,11.4,12.46,11.42,10.8,11.81,12.57,12.69,12.83,13.36,13.72
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,10.28,9.88,10.6,9.24,8.7,10.6,11.26,11.22,10.86,11.12,11.33
Tier 2 (%),0.0,0.0,0.0,0.0,1.92,1.53,1.86,2.18,2.1,1.21,1.31,1.47,1.97,2.24,2.39
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,3604.84,3956.19,5204.43,6520.54,6954.75,7671.63,6221.35,6006.7,6000.01,4368.61,2464.08,783.42,643.77,516.6,518.83
Gross NPA (%),3.37,4.08,6.0,9.0,10.0,11.0,9.0,10.0,11.0,8.0,6.0,2.0,2.0,6.0,8.0
Net NPA,818.07,736.85,1334.24,1750.1,1969.33,2243.82,3239.61,2791.12,24253.7,2163.95,1236.32,101.99,55.27,49.34,53.24
Net NPA (%),0.79,0.79,1.62,2.49,2.95,3.48,4.89,4.9,4.87,4.31,2.77,0.22,0.14,1.0,1.33
Net NPA To Advances (%),1.32,1.22,1.0,0.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,1.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,1439.6,1160.77,1443.66,1193.53,1190.86,5607.64,6047.98,5230.82,11439.85,4904.93,8790.08
Contingent Liabilities,0.0,0.0,0.0,0.0,4866.94,5756.78,6392.54,6988.66,7299.85,18072.94,22870.33,17376.61,33178.79,15986.41,26979.34
Equity Share Application Money,,,,0.0,0.0,0.0,,,,,,,,,
