Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21
Net Sales/Income from operations,514.8,333.29,339.16,363.86,472.01,258.66,353.76,347.75,465.62,333.17,368.96,392.41,462.57,304.14,155.54,309.26
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,514.8,333.29,339.16,363.86,472.01,258.66,353.76,347.75,465.62,333.17,368.96,392.41,462.57,304.14,155.54,309.26
EXPENDITURE,,,,,,,,,,,,,,,,
Consumption of Raw Materials,195.44,185.58,140.06,168.91,170.89,157.41,167.45,187.93,199.06,254.27,170.43,176.94,164.32,138.83,81.63,141.5
Purchase of Traded Goods,11.71,7.83,3.72,5.14,5.1,4.21,5.5,4.49,2.09,4.06,116.76,131.72,131.11,118.68,57.53,103.42
Increase/Decrease in Stocks,45.92,-34.6,15.72,8.36,53.99,-43.54,-7.96,-23.4,37.95,-84.6,-46.99,-43.91,15.59,-46.61,-40.04,-25.25
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,30.57,29.23,28.68,27.15,26.66,23.95,23.74,13.88,22.74,21.94,20.57,19.07,15.4,14.74,12.91,12.28
Depreciation,18.93,17.55,16.24,18.6,18.36,18.08,17.07,19.98,19.56,16.97,14.01,14.82,13.16,12.16,10.42,10.11
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,148.99,107.08,99.24,90.42,159.12,92.16,98.83,108.31,111.88,94.05,71.74,62.65,87.47,49.07,36.98,38.22
"P/L Before Other Inc. , Int., Excpt. Items & Tax",63.24,20.62,35.5,45.28,37.89,6.39,49.13,36.56,72.36,26.47,22.47,31.11,35.51,17.26,-3.9,28.98
Other Income,3.7,3.43,2.27,2.53,1.36,0.44,0.21,0.58,0.88,0.74,0.56,0.29,1.28,-0.33,1.16,0.31
"P/L Before Int., Excpt. Items & Tax",66.94,24.05,37.77,47.81,39.25,6.83,49.34,37.14,73.23,27.21,23.02,31.41,36.79,16.93,-2.74,29.29
Interest,4.3,4.45,3.68,4.02,5.78,6.46,6.94,7.23,8.23,7.65,5.48,4.94,4.63,4.62,3.99,3.54
P/L Before Exceptional Items & Tax,62.64,19.6,34.09,43.79,33.47,0.37,42.4,29.91,65.0,19.56,17.54,26.47,32.17,12.31,-6.74,25.75
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,62.64,19.6,34.09,43.79,33.47,0.37,42.4,29.91,65.0,19.56,17.54,26.47,32.17,12.31,-6.74,25.75
Tax,16.17,5.3,8.71,11.04,8.58,0.05,10.92,6.96,16.68,5.02,6.46,10.39,8.64,4.2,-2.37,34.42
P/L After Tax from Ordinary Activities,46.47,14.3,25.38,32.75,24.89,0.32,31.48,22.95,48.31,14.54,11.09,16.08,23.53,8.11,-4.37,-8.67
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,46.47,14.3,25.38,32.75,24.89,0.32,31.48,22.95,48.31,14.54,11.09,16.08,23.53,8.11,-4.37,-8.67
Equity Share Capital,152.7,152.65,152.65,152.63,152.63,152.61,152.4,152.34,152.33,152.31,152.16,152.16,152.16,152.16,151.87,151.87
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,166.32,148.23,--,--,116.95
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,
Basic EPS,1.52,0.47,0.83,1.07,0.82,0.01,1.03,0.75,1.59,0.48,0.36,0.53,0.77,0.27,-0.14,-0.29
Diluted EPS,1.52,0.47,0.83,1.07,0.81,0.01,1.03,0.75,1.58,0.48,0.36,0.53,0.77,--,-0.14,-0.29
EPS After Extra Ordinary,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
