Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,506.83,514.07,304.18,278.13,331.95,297.87,206.02,368.4,248.64,212.7,304.67,268.1,207.13,69.06,41.15,144.75,60.13,50.19,22.14,66.61,105.49,110.56,112.87,96.82,89.46,70.74,33.29,47.71,51.26,40.3,22.22,33.99,23.35,26.92,20.63,32.63,18.01,20.0,22.32,24.91,23.41,23.26,20.57,26.23,20.04,18.01,16.05,23.06,17.16,17.5
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,506.83,514.07,304.18,278.13,331.95,297.87,206.02,368.4,248.64,212.7,304.67,268.1,207.13,69.06,41.15,144.75,60.13,50.19,22.14,66.61,105.49,110.56,112.87,96.82,89.46,70.74,33.29,47.71,51.26,40.3,22.22,33.99,23.35,26.92,20.63,32.63,18.01,20.0,22.32,24.91,23.41,23.26,20.57,26.23,20.04,18.01,16.05,23.06,17.16,17.5
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,365.12,410.36,223.67,204.88,276.87,213.58,153.01,281.8,184.68,199.06,239.19,200.34,161.64,17.74,35.53,61.31,56.34,26.74,12.28,62.04,56.94,86.25,94.72,26.11,73.19,72.13,52.13,28.58,39.51,29.2,14.61,18.21,16.74,17.29,14.56,20.09,10.71,11.52,13.75,14.93,14.08,15.29,14.04,15.42,13.12,11.33,10.08,8.3,10.13,10.73
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.0,--,--,--,8.31,--,5.4
Increase/Decrease in Stocks,21.24,-24.77,5.77,-2.87,-28.69,9.87,-8.87,3.12,4.22,-35.85,1.46,11.1,-10.3,22.27,-15.2,39.56,-21.84,1.07,3.53,-20.87,13.82,1.84,-7.02,53.25,3.03,-14.69,-28.23,2.74,-2.72,-0.21,-0.86,2.75,-2.1,-0.17,-1.37,0.94,-0.02,0.3,-0.2,0.15,-0.3,-0.08,0.01,-1.84,0.95,-0.03,-0.01,-1.35,1.57,-3.97
Power & Fuel,3.72,3.75,--,--,2.98,1.07,--,1.42,1.03,1.09,1.21,--,--,--,--,1.04,--,1.01,0.53,--,1.02,1.03,1.32,1.52,1.04,0.85,1.02,0.76,0.77,0.81,0.72,0.74,0.71,0.76,0.69,0.59,0.48,0.5,0.59,0.62,0.65,0.67,0.66,0.63,0.5,0.74,0.65,0.51,0.6,0.53
Employees Cost,22.05,23.79,17.53,18.5,17.33,15.71,14.15,14.0,12.6,12.6,10.92,9.04,8.61,6.36,6.77,6.89,6.18,7.04,8.05,10.65,10.65,11.13,10.26,9.6,8.63,7.07,5.61,5.87,4.57,2.86,2.43,2.53,2.52,2.73,2.33,2.88,2.06,2.08,2.13,2.33,2.16,2.11,1.72,1.87,1.61,1.56,1.37,1.88,1.54,1.48
Depreciation,7.14,7.1,6.86,6.82,6.85,6.77,6.64,6.68,6.58,6.6,6.49,6.47,6.33,6.02,6.04,3.42,1.66,1.9,1.91,1.78,2.48,2.37,2.2,1.68,1.69,1.39,1.46,-1.17,1.47,1.54,1.39,1.35,1.36,1.35,1.33,1.36,1.34,1.39,1.37,1.41,1.94,1.68,0.62,0.62,0.63,0.58,0.58,1.06,0.46,0.41
