Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,6270.82,6701.97,5750.96,5010.99,5010.98,2510.09,463.01,460.59,456.49,420.53,417.74,360.63,358.62,352.99,347.15
Total Share Capital,6270.82,6701.97,5750.96,5010.99,5010.98,2510.09,463.01,460.59,456.49,420.53,417.74,360.63,358.62,352.99,347.15
Reserves and Surplus,41509.23,35443.42,34043.11,28730.89,28185.35,19216.2,26441.19,25297.69,21597.57,13366.07,11262.25,6761.11,5449.05,4323.65,3446.93
Total Reserves and Surplus,41509.23,35443.42,34043.11,28730.89,28185.35,19216.2,26441.19,25297.69,21597.57,13366.07,11262.25,6761.11,5449.05,4323.65,3446.93
Money Against Share Warrants,0.0,0.0,948.39,,,,,,,,,,,,
Total ShareHolders Funds,47780.05,42145.39,40742.46,33741.88,33196.33,21726.29,26904.2,25758.28,22054.06,13786.6,11679.98,7121.74,5807.67,4676.64,3794.08
Deposits,284525.13,266372.17,217501.86,197191.73,162946.64,105363.94,227610.18,200738.15,142873.86,111719.53,91175.85,74192.02,66955.59,49151.71,45938.93
Borrowings,71602.97,79940.88,77451.99,72204.58,63949.08,113790.5,108424.11,74893.58,38606.67,31658.98,26220.4,21314.29,20922.15,14156.49,6690.91
Other Liabilities and Provisions,19514.15,17034.55,19089.82,15082.04,13450.71,16946.18,17887.68,11055.6,11525.33,8098.3,7094.18,6387.75,5418.72,5677.28,2583.07
Total Capital and Liabilities,423422.3,405492.99,354786.13,318220.23,273542.77,257826.92,380826.17,312445.6,215059.92,165263.41,136170.41,109015.79,99104.13,73662.11,59006.99
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,15260.13,18139.24,12864.09,9067.27,6812.79,5943.66,10797.74,11425.75,6952.07,5776.16,5240.65,4541.57,3338.76,2332.54,3076.02
Balances with Banks Money at Call and Short Notice,12798.9,790.4,6410.35,37572.32,22495.94,2439.35,16091.77,13308.62,12597.37,2442.26,2316.5,1350.1,727.0,1253.0,419.96
Investments,85104.48,90235.13,76888.3,51895.56,43319.15,43914.83,89522.03,68398.94,50031.8,48838.47,46605.24,40950.36,42976.04,27757.35,18828.84
Advances,246188.47,227799.47,203269.44,181051.99,166892.99,171443.29,241499.6,203533.86,132262.68,98209.93,75549.82,55632.96,46999.57,37988.64,34363.64
Fixed Assets,3065.43,2856.52,2444.77,2133.13,2148.53,1009.09,817.0,832.39,683.54,470.72,318.97,293.47,229.55,177.1,132.43
Other Assets,61004.89,65672.23,52909.18,36499.97,31873.36,33076.71,22098.02,14946.04,12532.46,9525.88,6139.24,6247.33,4833.21,4153.48,2186.11
Total Assets,423422.3,405492.99,354786.13,318220.23,273542.77,257826.92,380826.17,312445.6,215059.92,165263.41,136170.41,109015.79,99104.13,73662.11,59006.99
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,1192.0,0.0,1070.0,1135.0,1120.0,1100.0,1000.0,860.0,631.0,560.0,430.0,356.0,214.0
Number of Employees,0.0,0.0,27517.0,0.0,22270.0,22973.0,21136.0,18238.0,20125.0,15000.0,10810.0,8800.0,7024.0,5642.0,3929.0
Capital Adequacy Ratios (%),15.6,15.4,18.0,17.4,17.5,8.5,16.5,18.0,17.0,16.5,15.6,14.4,18.0,18.0,17.0
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,13.3,0.0,11.3,6.5,11.3,13.0,13.3,10.7,11.5,9.8,10.0,10.0,10.0
Tier 2 (%),0.0,0.0,4.7,0.0,6.2,2.0,5.2,5.0,3.7,5.8,4.1,4.6,9.0,8.0,7.0
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,3935.61,3982.56,4394.57,27975.98,28609.53,32877.59,7882.56,2626.8,2018.56,748.98,313.4,174.93,94.32,83.86,80.52
Gross NPA (%),1.6,1.7,2.17,14.0,15.0,17.0,3.0,1.0,2.0,1.0,0.0,0.0,,,
Net NPA,800.14,1329.73,1658.09,8204.53,9813.36,8623.78,4484.85,1312.75,1072.27,284.47,87.72,26.07,6.99,17.46,9.15
Net NPA (%),0.3,0.6,0.83,4.53,5.88,5.03,1.86,1.0,0.81,0.29,0.12,0.05,0.0,0.0,0.0
Net NPA To Advances (%),0.6,0.3,0.8,0.0,6.0,5.0,2.0,1.0,1.0,,,,,,
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,17413.26,0.0,2214.05,5120.19,5059.24,1935.56,1390.0,27308.95,1373.94,997.06,248481.75,10851.42,8135.54
Contingent Liabilities,0.0,0.0,661385.48,0.0,459642.22,458526.09,654158.02,581829.64,379564.16,332798.07,338673.2,202013.89,232541.45,150977.7,128259.99
