Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,12539.56,11955.96,11955.96,11955.96,9918.34,9918.34,5423.4,2308.16,1559.73,1075.59,1075.59,1014.71,752.63,664.71,627.52
Total Share Capital,12539.56,11955.96,11955.96,11955.96,9918.34,9918.34,5423.4,2308.16,1559.73,1075.59,1075.59,1014.71,2575.63,2487.71,2450.52
Revaluation Reserve,0.0,0.0,0.0,0.0,2691.44,2348.37,2349.76,2351.78,2325.17,2365.66,609.73,712.97,671.21,608.0,576.8
Reserves and Surplus,18465.32,15400.83,13808.55,11637.54,7396.63,6942.91,6021.22,5165.25,7718.57,8145.71,10863.64,9498.61,6435.57,5517.72,4391.91
Total Reserves and Surplus,18465.32,15400.83,13808.55,11637.54,10088.07,9291.28,8370.97,7517.02,10043.74,10511.36,11473.36,10211.58,7106.79,6125.72,4968.7
Total ShareHolders Funds,31004.88,27356.79,25764.51,23593.5,20006.41,19209.62,13794.37,9825.18,11603.47,11586.95,12548.96,11226.29,9682.41,8613.43,7419.22
Deposits,293542.18,263129.77,249337.74,224072.9,205919.39,193203.44,197906.78,181849.28,201284.51,207118.24,214336.71,199533.55,173431.05,154003.49,145277.6
Borrowings,28687.49,25331.44,20501.08,13508.14,15382.63,15695.06,8323.68,12449.26,9534.96,17240.44,10252.54,20718.24,9492.43,12901.42,5474.77
Other Liabilities and Provisions,9246.54,7873.45,5259.66,6609.48,9427.67,7800.02,6862.57,6800.45,7766.76,8001.9,8778.71,7646.68,6045.51,4980.05,5226.86
Total Capital and Liabilities,362481.09,323691.45,300862.99,267784.02,253336.11,235908.15,230484.08,216056.18,231339.71,244882.53,245916.91,239124.75,198651.4,180498.4,163398.45
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,10358.92,10197.17,10300.01,10287.55,9445.41,6776.73,8823.01,8125.08,8790.25,7949.96,8267.52,8049.21,5705.36,7811.53,10404.03
Balances with Banks Money at Call and Short Notice,25768.0,18828.19,18428.09,15860.44,14154.83,11029.43,15609.09,6622.96,9309.63,10609.28,13901.45,6962.8,6638.75,5792.16,6576.41
Investments,94272.49,92904.4,95169.35,96873.8,93782.95,90998.81,82231.69,70962.15,74019.12,83974.2,68859.43,67451.69,52244.9,45771.5,42927.28
Advances,215134.58,182021.87,155870.18,122784.41,111354.54,101174.25,99313.84,107470.02,119724.45,125905.37,147350.87,149584.21,128282.86,115540.01,99070.81
Fixed Assets,3851.95,3781.47,3509.51,3334.92,3218.23,2840.37,2822.31,2875.1,2849.48,2884.64,1114.0,1061.76,889.59,804.75,738.87
Other Assets,13095.15,15958.35,17585.85,18642.9,21380.14,23088.55,21684.13,20000.87,16646.77,13559.09,6423.64,6015.08,4889.93,4778.46,3681.05
Total Assets,362481.09,323691.45,300862.99,267784.02,253336.11,235908.15,230484.08,216056.18,231339.71,244882.53,245916.91,239124.75,198651.4,180498.4,163398.45
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,3087.0,3088.0,3088.0,3104.0,3100.0,3073.0,3020.0,2894.0,2614.0,2394.0,2206.0
Number of Employees,0.0,0.0,0.0,0.0,22012.0,22436.0,23133.0,23943.0,24620.0,24724.0,25236.0,24557.0,24201.0,23259.0,23148.0
Capital Adequacy Ratios (%),18.49,16.98,16.51,13.74,13.74,11.7,10.7,10.94,10.93,9.63,12.17,13.4,14.15,12.35,13.71
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,11.14,8.98,8.64,8.94,8.27,7.63,9.05,8.9,9.06,8.09,8.52
Tier 2 (%),0.0,0.0,0.0,0.0,2.6,2.72,2.06,2.0,2.66,2.0,3.12,4.5,5.09,4.26,5.19
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,5918.54,6463.3,7726.46,10237.43,11351.97,19281.95,22540.95,30549.92,22540.95,20907.73,10265.05,6621.37,7130.09,4086.2,3150.36
Gross NPA (%),2.69,3.46,5.0,8.0,10.0,17.0,17.0,25.0,17.0,15.0,7.0,4.0,5.0,3.0,3.0
Net NPA,1068.31,162.64,2018.02,3315.78,4389.51,5510.66,10703.39,14082.07,10703.39,11443.59,6330.58,3556.43,4069.31,2263.94,1824.55
Net NPA (%),0.5,0.89,1.29,2.7,3.94,5.45,8.94,13.1,8.94,9.09,4.3,2.38,3.17,1.96,1.84
Net NPA To Advances (%),0.76,0.56,1.0,0.0,4.0,5.0,9.0,13.0,9.0,9.0,4.0,2.0,3.0,2.0,2.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,7109.67,7822.35,8538.84,8837.8,6644.41,18543.36,21238.81,16925.51,10725.44,10128.61,8770.25
Contingent Liabilities,0.0,0.0,0.0,0.0,73353.47,39082.16,87384.98,0.0,0.0,66248.6,80491.6,79564.93,70026.51,52074.69,54012.16
Equity Share Application Money,,,,0.0,2600.0,0.0,3596.68,5132.0,1150.0,935.0,,,,,
Preference Share Capital,,,,,,,,,,,0.0,0.0,1823.0,1823.0,1823.0
