Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Borrowings,Raw Materials,Capital Goods,Preference Share Capital,Share Capital Suspense,Deferred Tax Assets [Net],"Stores, Spares And Loose Tools",Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,0.3,0.3,-0.11,-0.11,0.19,0.67,0.0,0.0,0.0,0.67,0.0,1.48,0.03,1.5,2.36,0.0,0.21,0.0,0.0,0.21,0.0,0.0,0.0,0.27,0.0,0.36,1.46,0.24,0.03,0.0,2.09,2.36,0.02,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,0.3,0.3,-0.11,-0.11,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.01,0.99,1.19,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.19,0.0,0.19,0.71,0.05,0.04,0.0,1.0,1.19,0.02,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,0.3,0.3,-0.01,-0.01,0.29,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.08,2.48,2.77,0.3,0.12,0.0,0.0,0.42,0.0,0.0,0.0,0.42,0.0,1.17,0.33,0.52,0.32,0.0,2.34,2.77,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,10.0,10.0,-18.2,-18.2,-8.2,15.6,0.0,0.0,0.0,15.6,0.0,2.04,0.16,2.19,9.59,3.27,0.07,0.46,0.0,3.8,0.0,0.0,0.0,3.92,0.0,3.64,0.51,0.72,0.79,0.0,5.68,9.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,10.0,10.0,-25.79,-25.79,-15.79,17.54,0.0,0.0,0.0,17.54,0.22,0.0,0.21,0.43,2.19,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.71,0.0,0.24,0.15,0.25,0.47,0.36,1.48,2.19,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,10.0,10.0,-33.05,-33.05,-23.05,46.22,5.82,0.0,7.88,59.92,90.71,154.82,24.26,282.32,344.97,117.46,3.31,0.17,0.04,120.97,1.0,6.85,0.0,128.82,0.0,95.96,106.47,1.04,12.18,0.5,216.15,344.97,10.48,1.53,0.0,33.25,1.92,1.0,0.0,12.52,12.65,3.36,0.0,25.79,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,32.99,35.79,32.85,32.85,68.63,16.7,7.09,0.0,7.99,31.78,72.07,107.96,37.5,217.97,318.39,120.59,3.04,0.11,0.0,123.74,5.5,8.59,0.0,137.84,10.0,79.11,64.62,11.81,14.27,0.75,180.55,318.39,3.68,4.55,0.0,79.97,3.56,5.5,10.0,0.45,21.22,9.04,2.8,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,32.99,35.79,108.4,108.4,144.19,0.5,7.78,0.0,5.38,13.66,113.66,73.03,51.79,238.48,396.33,111.06,3.74,0.13,0.0,114.93,8.0,10.41,5.9,139.25,5.0,66.51,117.18,28.52,25.18,14.7,257.08,396.33,8.72,5.57,1.68,168.41,6.16,8.0,5.0,0.0,29.6,0.68,2.8,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,32.99,32.99,148.18,148.18,181.18,0.52,9.64,0.81,3.37,14.34,128.8,91.47,40.05,267.24,462.75,101.75,5.89,0.26,0.0,107.9,8.0,51.15,11.48,178.53,0.0,111.39,105.74,0.65,21.33,45.12,284.22,462.75,8.09,10.11,3.48,125.87,15.61,8.0,0.0,6.92,18.37,2.38,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,33.0,33.0,202.61,202.61,235.6,0.51,9.13,0.0,4.44,14.07,112.05,107.22,40.46,260.39,510.07,129.17,4.46,6.1,0.0,139.73,8.47,10.69,16.94,175.83,6.0,118.73,153.39,4.03,38.94,13.16,334.24,510.07,9.14,13.12,4.98,252.36,7.29,8.47,6.0,0.66,36.11,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,33.0,33.0,265.7,265.7,298.69,0.42,9.62,0.0,4.43,14.47,88.13,165.19,7.76,261.08,574.25,126.37,5.26,32.88,0.0,164.51,9.85,0.02,17.79,192.17,11.15,156.75,132.27,26.91,0.21,54.79,382.08,574.25,51.3,51.17,11.37,331.81,0.0,9.85,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,33.0,33.0,362.71,362.71,395.7,0.24,10.88,0.0,4.99,16.11,92.16,115.93,9.43,217.52,629.34,226.58,5.29,10.3,0.0,242.17,9.85,0.04,22.13,274.18,4.01,145.87,148.94,8.84,0.24,47.26,355.16,629.34,30.94,63.87,0.0,319.25,0.0,9.85,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
