Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17
Net Sales/Income from operations,799.29,535.46,187.78,848.57,601.62,615.81,297.72,796.79,456.66,534.78,694.8,1381.08,803.91,503.83,128.59,1136.86,459.32,240.03,9.77,1416.7,495.42,641.63,431.54,859.47,983.17,527.78,460.98,2002.77,781.56,880.28,653.43,1598.11
Other Operating Income,32.85,9.31,3.39,5.55,--,--,--,1.47,4.89,--,--,--,--,--,--,--,--,36.78,21.68,18.69,13.34,17.85,60.03,17.52,54.79,78.19,87.45,18.63,40.94,-0.3,210.3,53.35
Total Income From Operations,832.14,544.77,191.17,854.12,601.62,615.81,297.72,798.26,461.55,534.78,694.8,1381.08,803.91,503.83,128.59,1136.86,459.32,276.81,31.45,1435.39,508.76,659.48,491.57,876.99,1037.96,605.97,548.43,2021.4,822.5,879.98,863.73,1651.46
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,324.7,210.03,175.11,626.7,136.31,179.54,177.41,243.16,151.41,210.28,605.49,384.64,316.6,304.34,257.79,477.94,269.31,177.03,69.23,377.67,181.56,207.72,269.12,505.34,555.44,332.71,425.48,976.3,670.08,444.64,816.56,974.64
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,45.06,13.7,-142.86,-342.03,80.6,91.92,-53.13,129.94,-11.96,28.09,-165.11,273.13,-24.02,-72.27,-261.19,116.19,-32.69,-118.03,-94.38,434.32,62.59,74.68,-67.92,36.68,-17.14,-0.7,-184.72,421.21,-154.0,21.4,-342.3,41.29
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,121.9,141.92,147.09,153.72,181.76,129.19,135.34,134.32,117.45,144.84,135.87,150.31,152.71,141.45,126.2,129.98,122.55,112.86,135.7,131.33,139.25,139.45,124.0,148.72,125.92,141.14,118.42,183.05,123.87,124.95,97.47,180.3
Depreciation,17.7,17.67,15.67,16.25,16.47,17.43,16.89,13.94,18.61,21.32,23.39,20.58,24.79,23.75,21.24,30.82,24.83,21.43,17.46,35.51,22.84,20.79,17.3,30.12,17.18,19.01,16.19,18.17,14.95,14.44,15.91,22.51
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,213.6,80.28,64.15,99.33,84.2,81.13,70.73,107.42,115.75,57.72,76.54,168.9,69.1,64.18,39.48,68.44,60.42,52.77,39.48,87.32,71.95,79.91,54.69,65.89,61.5,66.82,65.73,55.36,138.08,167.29,175.62,280.88
"P/L Before Other Inc. , Int., Excpt. Items & Tax",109.17,81.17,-67.99,300.15,102.28,116.6,-49.53,169.49,70.29,72.54,18.63,383.52,264.73,42.39,-54.93,313.49,14.91,30.75,-136.04,369.24,30.57,136.94,94.38,90.24,295.05,47.0,107.33,367.31,29.51,107.25,100.47,151.84
Other Income,84.42,86.03,80.38,88.49,87.6,78.3,107.45,37.17,36.47,45.0,36.76,28.7,34.66,20.25,27.6,25.22,54.52,10.76,31.18,32.37,32.99,25.13,25.49,56.87,33.12,23.91,22.09,30.16,52.4,48.3,41.7,61.59
"P/L Before Int., Excpt. Items & Tax",193.59,167.2,12.39,388.64,189.88,194.9,57.92,206.66,106.75,117.54,55.39,412.22,299.39,62.65,-27.33,338.71,69.43,41.51,-104.86,401.61,63.56,162.07,119.87,147.11,328.17,70.9,129.41,397.47,81.91,155.56,142.17,213.43
Interest,0.71,0.73,1.16,0.77,0.77,0.78,0.78,0.85,0.83,0.81,2.05,0.85,0.85,0.87,0.86,0.95,0.89,0.91,1.17,1.17,0.96,0.94,1.58,1.41,0.96,0.84,1.02,0.99,0.74,0.81,0.74,1.43
P/L Before Exceptional Items & Tax,192.88,166.47,11.23,387.87,189.1,194.12,57.14,205.81,105.93,116.73,53.34,411.37,298.54,61.77,-28.19,337.76,68.55,40.6,-106.02,400.43,62.6,161.13,118.29,145.7,327.21,70.06,128.4,396.48,81.18,154.74,141.42,212.0
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,-33.59,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,192.88,166.47,11.23,387.87,189.1,194.12,57.14,205.81,105.93,116.73,53.34,377.78,298.54,61.77,-28.19,337.76,68.55,40.6,-106.02,400.43,62.6,161.13,118.29,145.7,327.21,70.06,128.4,396.48,81.18,154.74,141.42,212.0
Tax,45.76,43.94,4.02,99.1,54.07,47.02,15.32,53.05,22.18,40.91,13.48,113.42,85.28,18.52,-7.24,77.39,19.36,14.35,-27.99,90.71,9.42,54.68,52.74,21.57,138.91,41.72,46.58,59.82,75.0,70.86,40.0,127.26
P/L After Tax from Ordinary Activities,147.13,122.53,7.22,288.78,135.03,147.09,41.82,152.76,83.74,75.82,39.86,264.36,213.26,43.25,-20.95,260.37,49.19,26.25,-78.04,309.72,53.18,106.46,65.55,124.13,188.3,28.34,81.82,336.66,6.18,83.89,101.42,84.74
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,147.13,122.53,7.22,288.78,135.03,147.09,41.82,152.76,83.74,75.82,39.86,264.36,213.26,43.25,-20.95,260.37,49.19,26.25,-78.04,309.72,53.18,106.46,65.55,124.13,188.3,28.34,81.82,336.66,6.18,83.89,101.42,84.74
Equity Share Capital,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,183.28,91.64,91.64,122.19,122.19
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,4.01,3.34,0.2,7.88,7.37,8.03,2.28,8.33,4.57,4.14,2.17,14.42,11.64,2.36,-1.14,14.21,2.68,1.43,-4.26,16.9,2.9,5.81,3.58,6.77,10.27,1.55,4.46,18.37,0.34,9.15,474.0,--
Diluted EPS,4.01,3.34,0.2,7.88,7.37,8.03,2.28,8.33,4.57,4.14,2.17,14.42,11.64,2.36,-1.14,14.21,2.68,1.43,-4.26,16.9,2.9,5.81,3.58,6.77,10.27,1.55,4.46,18.37,0.34,--,474.0,3.96
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
