Date,Equity Share Capital,Total Share Capital,Revaluation Reserves,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net]
2010-03-31,27.68,27.68,4.19,325.46,329.65,0.0,357.33,0.0,15.87,0.0,0.0,15.87,0.0,57.63,56.14,48.74,162.5,535.7,167.92,14.42,6.82,0.0,189.16,50.13,0.0,0.0,247.07,0.0,93.55,84.99,81.96,28.13,0.0,288.62,535.7,24.55,7.39,11.37,77.64,6.93,23.46,0.0,50.13,0.0,0.0,171.6,0.0,0.0,6.19,7.78
2011-03-31,27.68,27.68,4.02,372.49,376.51,0.0,404.19,0.0,9.08,4.64,15.53,29.24,0.0,56.86,68.1,39.8,164.76,598.2,178.94,7.9,12.53,0.0,199.37,44.6,11.23,1.7,256.91,8.01,124.79,91.32,94.69,16.33,6.15,341.29,598.2,65.13,7.12,17.05,71.08,11.24,23.46,0.0,44.6,0.0,8.01,228.45,0.79,5.61,2.02,0.0
2012-03-31,27.68,27.68,3.86,434.29,438.15,0.0,465.83,0.0,10.8,5.81,15.14,31.75,0.0,71.69,103.16,45.38,220.23,717.8,190.41,6.65,81.56,0.0,278.62,45.34,28.63,3.3,355.9,0.0,159.99,95.46,73.14,25.47,7.85,361.91,717.8,96.69,9.84,17.05,70.58,16.48,23.46,0.76,44.6,0.0,0.0,269.14,1.17,10.01,34.37,0.0
2013-03-31,27.68,27.68,3.69,489.86,493.55,0.0,521.23,0.0,14.98,5.44,14.94,35.37,0.0,58.17,91.5,46.43,196.1,752.7,279.61,6.52,59.64,0.0,345.78,51.18,17.09,0.03,414.08,0.0,153.13,95.33,55.48,22.8,11.88,338.62,752.7,82.36,8.56,18.47,123.72,25.7,23.46,0.81,50.43,0.0,0.0,271.34,3.61,9.87,37.6,0.0
2014-03-31,27.68,27.68,3.52,530.08,533.6,0.0,561.28,0.0,21.57,5.72,15.96,43.24,0.0,72.33,85.81,45.72,203.86,808.38,332.38,5.17,4.19,0.0,341.74,55.49,14.94,0.0,412.17,0.0,178.19,85.75,84.38,33.84,14.05,396.21,808.38,87.77,10.97,18.47,102.78,35.27,23.46,0.77,54.75,0.0,0.0,259.17,4.16,15.4,7.83,0.0
2015-03-31,27.68,27.68,3.52,585.82,589.34,0.0,617.02,0.0,21.46,6.08,14.5,42.04,2.27,85.6,113.59,47.7,249.16,908.22,323.37,3.38,6.69,0.0,333.44,55.49,14.59,0.0,403.52,0.0,212.84,119.58,113.11,43.66,15.52,504.7,908.22,74.9,13.19,18.47,137.55,43.23,23.46,0.82,54.75,0.0,0.0,200.66,4.91,20.13,5.4,0.0
2016-03-31,27.68,27.68,3.35,730.42,733.77,0.0,761.45,0.0,28.32,2.29,10.48,41.09,3.0,84.03,169.47,4.23,260.73,1063.27,319.31,2.99,13.02,0.0,335.32,155.29,2.2,12.1,504.91,0.0,246.75,126.37,123.88,0.97,60.4,558.36,1063.27,77.54,19.93,36.94,130.72,54.47,23.46,0.74,154.54,0.0,0.0,325.14,2.98,4.44,3.05,0.0
2017-03-31,55.36,55.36,0.0,832.56,832.56,0.0,887.92,0.0,27.95,1.98,17.28,47.21,2.72,164.01,77.13,10.33,254.19,1189.32,339.12,2.31,5.56,0.0,346.99,165.84,10.76,4.22,527.81,0.0,235.44,123.42,242.34,1.04,59.27,661.51,1189.32,0.0,0.0,0.0,0.0,0.0,51.14,0.74,165.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,55.36,55.36,0.0,927.48,927.48,0.0,982.84,0.0,25.95,1.56,20.0,47.51,0.0,190.87,76.28,20.73,287.89,1318.23,315.27,1.48,23.43,0.0,340.18,191.14,11.86,13.27,556.46,0.0,263.48,173.24,269.64,0.95,54.47,761.78,1318.23,156.29,0.0,0.0,0.0,0.0,51.14,0.74,190.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,55.36,55.36,0.0,1031.47,1031.47,0.0,1086.83,0.0,27.2,1.26,20.32,48.77,0.0,180.59,90.19,16.23,287.01,1422.61,320.29,0.99,41.99,0.0,363.27,190.85,12.96,14.51,581.6,12.14,320.61,201.98,230.04,1.91,74.33,841.01,1422.61,92.11,515.72,0.0,0.0,292.68,51.14,0.74,190.11,0.0,12.14,0.0,0.0,0.0,0.0,0.0
