Item,Mar 25,Mar 24,Mar 23,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12,Mar 11
EQUITIES AND LIABILITIES,,,,,,,,,,,,,,,
SHAREHOLDER'S FUNDS,,,,,,,,,,,,,,,
Equity Share Capital,9051.4,8680.94,8680.94,8680.94,5875.56,5709.76,4047.2,2618.16,1902.17,1689.71,1658.27,1350.44,1044.58,736.12,404.14
Total Share Capital,9051.4,8680.94,8680.94,8680.94,5875.56,5709.76,4047.2,2618.16,1902.17,1689.71,1658.27,2967.44,2661.58,2353.12,2021.14
Revaluation Reserve,0.0,0.0,0.0,0.0,3792.28,2962.6,0.0,0.0,0.0,3292.35,1814.16,1840.12,1867.58,1896.96,1928.43
Reserves and Surplus,27454.68,23467.03,20427.97,18845.77,12037.25,12757.11,14887.66,15367.38,15365.97,12697.08,13984.48,10981.0,10783.69,8201.45,4898.15
Total Reserves and Surplus,27454.68,23467.03,20427.97,18845.77,15829.53,15719.71,14887.66,15367.38,15365.97,15989.43,15798.64,12821.12,12651.27,10098.41,6826.58
Total ShareHolders Funds,36506.08,32147.97,29108.91,27526.71,21705.09,21429.47,18934.86,17985.53,17268.14,17679.14,17456.91,15788.56,15312.85,12451.53,8847.72
Deposits,412697.14,385011.32,359296.47,342691.94,329972.95,313763.16,299855.44,294838.86,296671.19,266184.19,255572.39,240068.99,226038.31,196173.33,179356.02
Borrowings,21591.95,19805.65,8118.75,7474.36,5468.64,5787.2,5239.06,5706.12,9282.45,9207.89,25974.13,22079.78,18305.51,12919.6,12887.98
Other Liabilities and Provisions,8332.96,9707.75,9641.36,8872.59,7268.32,15456.02,6475.77,7694.77,9497.17,11859.88,12937.06,11558.9,8472.87,8255.29,6639.93
Total Capital and Liabilities,479128.13,446672.69,406165.49,386565.6,369214.99,356435.86,330717.66,326225.28,333401.94,305466.1,311940.5,289496.22,268129.55,229799.74,209757.33
ASSETS,,,,,,,,,,,,,,,
Cash and Balances with Reserve Bank of India,22931.1,22954.69,27432.92,38033.7,32187.84,30021.75,20779.09,35999.91,75086.76,14069.51,14114.85,11926.63,13560.17,13114.18,14081.99
Balances with Banks Money at Call and Short Notice,13265.75,14652.81,16666.73,15060.63,6763.47,6017.29,10420.85,3228.53,3679.78,1471.54,695.43,451.4,532.04,1012.42,1200.81
Investments,141435.25,143923.49,136583.48,140786.95,148582.43,142517.54,125298.07,102631.61,92094.88,88867.54,95473.92,86135.14,72603.79,59243.27,54504.49
Advances,282419.87,243406.28,202984.31,168173.5,156578.65,151100.88,146525.36,156542.18,139398.77,180009.59,188477.53,177315.17,171935.84,147512.85,129725.41
Fixed Assets,5204.28,5335.74,4776.28,4955.04,5132.42,4336.18,4310.24,4343.38,4290.37,4359.29,2833.16,2804.39,2684.75,2473.91,2425.39
Other Assets,13871.88,16399.68,17721.77,19555.78,19970.18,22442.21,23384.06,23479.67,18851.39,16688.64,10345.6,10863.49,6812.95,6443.11,7819.24
Total Assets,479128.13,446672.69,406165.49,386565.6,369214.99,356435.86,330717.66,326225.28,333401.94,305466.1,311940.5,289496.22,268129.55,229799.74,209757.33
OTHER ADDITIONAL INFORMATION,,,,,,,,,,,,,,,
Number of Branches,0.0,0.0,0.0,0.0,4608.0,4651.0,4659.0,4685.0,4714.0,4728.0,4689.0,4573.0,4294.0,4011.0,3728.0
Number of Employees,0.0,0.0,0.0,0.0,32335.0,33481.0,35675.0,36843.0,37044.0,37685.0,39039.0,40661.0,37113.0,35901.0,34015.0
Capital Adequacy Ratios (%),17.02,15.08,14.12,13.84,14.81,11.72,9.61,9.04,10.95,10.41,10.9,11.96,11.49,12.4,11.64
KEY PERFORMANCE INDICATORS,,,,,,,,,,,,,,,
Tier 1 (%),0.0,0.0,0.0,0.0,12.82,9.33,7.49,7.01,8.62,8.2,8.05,8.12,8.09,7.79,6.31
Tier 2 (%),0.0,0.0,0.0,0.0,1.99,2.39,2.12,2.03,2.33,2.2,2.85,3.84,3.4,4.61,5.33
ASSETS QUALITY,,,,,,,,,,,,,,,
Gross NPA,9224.78,11340.34,18386.12,28156.22,29276.96,32589.08,32356.04,0.0,27251.33,22721.0,11873.0,11500.0,8456.0,7273.0,2394.0
Gross NPA (%),3.18,4.5,8.0,15.0,17.0,19.0,19.0,21.0,18.0,12.0,6.0,6.0,5.0,5.0,2.0
Net NPA,1543.26,3001.95,3591.72,6675.17,9036.45,11534.46,11333.24,0.0,14217.83,13242.0,6807.0,6649.0,4988.0,4557.0,847.0
Net NPA (%),0.55,1.23,1.77,3.97,5.77,7.63,7.73,11.1,10.2,7.36,3.61,3.75,2.9,3.09,0.65
Net NPA To Advances (%),0.86,0.63,0.0,0.0,6.0,8.0,8.0,11.0,10.0,7.0,4.0,4.0,3.0,3.0,1.0
"CONTINGENT LIABILITIES, COMMITMENTS",,,,,,,,,,,,,,,
Bills for Collection,0.0,0.0,0.0,0.0,11898.77,14276.74,16247.39,1448606.7,9168.94,23947.97,20257.99,18905.0,18732.82,5677.19,9755.78
Contingent Liabilities,0.0,0.0,0.0,0.0,92139.0,56184.69,86668.2,0.0,0.0,88641.03,101238.27,96224.25,65614.6,65068.5,46927.2
Equity Share Application Money,,,,0.0,4800.0,0.0,212.54,0.0,683.0,535.0,0.0,0.0,0.0,0.0,2025.68
Preference Share Capital,,,,,,,,,,,0.0,1617.0,1617.0,1617.0,1617.0
