Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22
Net Sales/Income from operations,2217.84,1782.15,1810.14,1808.11,1754.07,1633.52,1609.67,1597.31,1454.21,1479.53,1367.24,1235.91
Other Operating Income,--,--,--,--,--,--,--,--,62.31,--,--,--
Total Income From Operations,2217.84,1782.15,1810.14,1808.11,1754.07,1633.52,1609.67,1597.31,1516.52,1479.53,1367.24,1235.91
EXPENDITURE,,,,,,,,,,,,
Consumption of Raw Materials,1549.75,1391.37,1349.95,1545.69,1340.09,1148.08,1257.31,1197.11,1252.33,1109.23,968.1,1040.13
Purchase of Traded Goods,126.01,127.08,130.28,111.96,97.52,102.99,110.73,92.33,97.17,79.11,96.13,96.44
Increase/Decrease in Stocks,107.47,-63.04,41.87,-163.44,-6.25,70.83,-77.92,16.08,-125.71,-7.88,64.75,-94.1
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,79.62,90.76,89.41,88.67,77.99,81.84,80.27,76.77,71.21,63.83,67.94,61.17
Depreciation,19.03,17.8,17.47,16.2,16.32,16.48,16.6,16.09,13.66,16.52,14.96,14.48
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,160.61,125.44,112.84,130.28,129.41,117.24,118.37,102.06,121.13,117.69,105.91,92.29
"P/L Before Other Inc. , Int., Excpt. Items & Tax",175.35,92.74,68.31,78.75,98.98,96.07,104.3,96.86,86.74,101.03,49.44,25.49
Other Income,11.93,13.44,7.22,18.52,19.32,12.24,14.76,16.28,13.84,3.72,9.48,7.39
"P/L Before Int., Excpt. Items & Tax",187.28,106.18,75.53,97.27,118.3,108.32,119.07,113.15,100.58,104.75,58.92,32.88
Interest,15.49,16.16,15.63,11.61,12.82,12.43,14.18,14.42,12.95,11.43,9.63,8.08
P/L Before Exceptional Items & Tax,171.79,90.02,59.89,85.66,105.49,95.89,104.89,98.72,87.63,93.33,49.29,24.81
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,171.79,90.02,59.89,85.66,105.49,95.89,104.89,98.72,87.63,93.33,49.29,24.81
Tax,44.05,21.88,10.14,21.77,27.01,24.96,30.95,25.04,23.0,23.91,12.72,6.48
P/L After Tax from Ordinary Activities,127.74,68.14,49.75,63.89,78.47,70.93,73.94,73.68,64.62,69.41,36.57,18.33
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,127.74,68.14,49.75,63.89,78.47,70.93,73.94,73.68,64.62,69.41,36.57,18.33
Equity Share Capital,56.54,56.53,56.53,56.41,56.41,56.41,56.41,56.41,47.85,56.41,23.92,23.92
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,953.4,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,
Basic EPS,11.31,6.03,4.41,5.66,7.01,6.35,6.65,6.63,6.75,6.25,3.29,3.83
Diluted EPS,11.3,6.03,4.4,5.65,6.99,6.33,6.63,6.62,--,6.23,3.29,--
EPS After Extra Ordinary,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,
Notes,,,,,,,,,,,,
