Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Liabilities [Net]
2004-12-31,32.59,32.59,284.06,284.06,0.0,316.65,0.0,0.0,22.29,60.47,6.4,31.74,98.61,437.55,133.43,0.27,133.7,8.21,0.0,0.0,141.91,47.47,30.9,193.92,23.36,0.0,295.64,437.55,9.6,1.37,13.55,23.73,0.0,67.04,0.0,0.06,22.29
2005-12-31,32.59,32.59,315.63,315.63,0.0,348.21,0.0,0.0,18.82,59.56,7.5,48.76,115.82,482.85,132.67,3.71,136.38,7.13,0.0,0.0,143.51,49.87,34.35,229.66,25.45,0.0,339.34,482.85,20.3,1.6,12.53,15.04,0.0,84.75,0.0,14.11,18.82
2007-06-30,32.59,32.59,327.01,327.01,0.0,359.59,0.0,0.0,15.23,83.35,20.9,47.56,151.82,526.64,102.46,0.59,103.05,8.02,0.0,0.0,111.07,82.68,63.95,172.8,91.32,4.83,415.57,526.64,57.47,5.23,28.73,25.15,0.5,76.22,0.0,4.1,15.23
2008-06-30,32.59,32.59,392.82,392.82,0.0,425.41,0.0,0.0,12.95,106.18,19.79,53.88,179.85,618.2,91.19,3.0,94.19,8.21,0.0,0.0,102.41,103.2,64.35,76.44,271.2,0.6,515.79,618.2,205.06,5.6,10.82,15.6,0.18,102.03,0.0,2.06,12.95
2009-06-30,32.59,32.59,458.3,458.3,0.0,490.89,0.0,0.0,11.8,82.49,15.48,52.67,150.63,653.32,88.52,2.43,90.95,6.94,0.0,0.0,97.89,100.96,60.57,92.62,300.7,0.59,555.43,653.32,194.76,9.77,18.03,33.14,0.3,127.23,0.0,0.38,11.8
2010-06-30,32.59,32.59,538.4,538.4,0.0,570.98,0.0,0.0,13.26,177.48,13.76,64.26,255.51,839.76,120.09,2.63,122.72,6.54,0.0,0.0,129.26,141.36,78.4,205.76,284.42,0.55,710.5,839.76,235.6,12.69,18.07,51.04,1.35,153.27,0.0,28.02,13.26
2011-06-30,32.59,32.59,567.75,567.75,0.0,600.33,0.02,0.4,5.97,136.22,31.19,59.44,226.86,833.15,124.78,34.17,158.96,0.0,91.12,0.0,250.08,193.84,62.23,73.15,240.61,13.24,583.07,833.15,338.18,12.5,22.18,45.01,1.19,174.33,4.87,31.43,5.55
2012-06-30,32.59,32.59,586.67,586.67,0.0,619.26,0.02,0.5,6.89,284.46,72.5,60.27,417.22,1043.37,151.94,37.92,189.85,0.0,94.88,0.0,284.73,210.88,68.67,116.71,346.49,15.88,758.64,1043.37,444.83,18.69,22.24,14.75,0.5,107.53,4.27,32.3,6.37
2013-06-30,32.59,32.59,616.64,616.64,0.0,649.23,0.02,1.5,7.92,219.26,70.18,60.16,349.6,1006.75,170.21,29.78,199.99,0.0,69.2,0.0,269.19,239.73,93.06,166.82,235.66,2.29,737.56,1006.75,286.46,19.86,22.28,18.31,0.75,145.68,7.01,19.71,6.4
2014-06-30,32.59,32.59,610.87,610.87,0.0,643.46,0.02,2.16,4.53,256.05,51.58,98.44,406.07,1054.06,172.63,60.84,233.47,0.0,123.79,0.0,357.26,230.55,92.26,169.61,197.58,6.8,696.8,1054.06,574.96,57.92,21.64,15.18,0.45,140.89,7.76,31.85,2.35
