Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Hybrid/Debt/Other Securities,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Long Term Borrowings,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Inventories,Trade Receivables,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency
2012-03-31,2.02,2.33,1151.62,1151.62,1153.95,0.0,0.0,0.0,0.0,0.0,-0.31,0.0,0.19,31.18,39.54,1193.49,0.0,0.0,0.0,0.0,0.0,586.59,0.0,451.42,67.43,61.82,606.9,1193.49,0.0,144.15,235.57,0.0,0.0,0.31,-0.31,8.17,376.48,210.11,26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,2.02,2.33,1168.14,1168.14,1170.47,0.0,0.0,0.0,0.0,0.0,-0.31,0.0,5.59,8.6,17.26,1187.73,0.0,0.0,0.0,0.0,0.0,822.2,0.0,205.34,15.61,29.17,365.53,1187.73,0.0,205.12,458.45,0.0,0.0,0.31,-0.31,3.07,613.69,208.51,115.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,2.02,2.33,1183.78,1183.78,1186.11,0.0,0.0,0.0,0.0,0.0,-0.31,470.82,0.32,57.81,529.86,1715.97,0.0,0.0,0.0,0.0,0.0,883.71,0.0,153.39,121.13,29.04,832.26,1715.97,0.0,174.01,508.61,0.0,0.0,0.31,-0.31,0.91,631.31,252.4,513.54,15.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,2.02,2.33,1255.78,1255.78,1258.11,0.0,0.0,0.0,0.0,0.0,-0.31,2121.39,0.55,156.7,2294.21,3552.32,0.0,0.0,0.0,0.0,0.0,798.3,0.0,201.38,122.61,60.69,2754.02,3552.32,0.0,17.91,450.22,0.0,0.0,0.31,-0.31,15.57,464.55,333.75,2369.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,2.02,2.33,1313.98,1313.98,1316.31,0.0,0.0,0.0,0.0,0.0,-0.31,3024.5,74.01,287.43,3387.01,4703.32,0.0,0.0,0.0,0.0,0.0,476.42,0.0,351.37,220.68,262.44,4226.9,4703.32,0.0,41.14,391.6,0.0,0.0,0.31,-0.31,1.07,441.45,34.97,3167.24,225.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,2.02,2.33,1643.95,1643.95,1646.28,0.0,0.0,0.0,0.0,0.0,0.0,1559.6,0.0,266.67,1833.82,3480.1,0.0,0.0,0.0,0.0,0.0,289.48,0.0,352.36,150.45,381.47,3190.62,3480.1,0.0,48.14,224.62,0.0,0.0,0.31,0.0,7.55,274.47,15.01,2268.55,37.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,2.02,2.33,1922.37,1922.37,1924.7,0.0,0.0,0.0,0.0,0.0,0.0,1737.3,0.0,0.29,1737.72,3662.42,0.0,0.0,0.0,0.0,0.0,800.12,0.0,1.68,25.0,15.47,2862.3,3662.42,0.0,744.67,0.0,0.0,0.0,0.31,0.0,0.13,726.73,73.39,2779.83,40.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,2.02,2.02,1704.97,1704.97,1706.99,0.0,0.0,53.78,16.63,0.0,70.41,2321.42,0.86,0.47,2322.79,4100.19,0.0,0.0,0.0,0.0,70.48,78.13,3143.81,1.05,751.0,95.12,4022.06,4100.19,0.82,874.34,0.0,0.0,0.0,0.0,0.0,0.04,0.0,7.65,0.0,31.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,2.02,2.02,1934.91,1934.91,1936.93,0.0,0.0,4.77,344.84,17.65,367.26,2420.25,0.04,58.96,2479.25,4783.44,0.0,0.0,0.0,0.0,0.0,0.0,206.09,0.49,4400.15,169.06,4783.44,4783.44,7.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,2.02,2.02,2057.97,2057.97,2059.99,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.17,0.17,2060.23,0.0,0.0,0.0,3.94,47.34,51.28,57.49,0.36,1951.09,0.01,2008.95,2060.23,6.67,0.0,0.0,0.0,57.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
