Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,786.83,878.5,1011.0,1153.27,1154.86,996.18,972.45,1041.3,1213.41,1212.78,1245.36,1163.27,723.31,758.82,722.96,626.94,577.4,592.21,599.04,905.47,809.19,861.06,610.81,589.7,749.48,736.46,558.94,569.98,551.78,574.28,440.6,458.57,460.62,389.87,412.52,400.95,434.99,507.65,533.04,466.47,458.83,451.6,416.84,381.05,397.43,367.95,326.21,358.13,422.21,459.06
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.94,6.6,10.06,11.81,12.75,10.14,6.66,6.25,7.82,8.06,14.46,8.5,6.79,7.81,8.14,7.01,8.13,3.95,9.65,4.03,5.49,29.95,3.41,4.01,5.78,6.46
Total Income From Operations,786.83,878.5,1011.0,1153.27,1154.86,996.18,972.45,1041.3,1213.41,1212.78,1245.36,1163.27,723.31,758.82,722.96,626.94,577.4,592.21,599.04,905.47,809.19,861.06,610.81,589.7,757.42,743.06,569.0,581.79,564.53,584.42,447.26,464.82,468.44,397.93,426.98,409.45,441.78,515.46,541.18,473.48,466.96,455.55,426.49,385.08,402.92,397.9,329.62,362.14,427.99,465.52
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,87.11,--,71.85,99.98,189.54,131.46,125.95,129.0,154.54,166.45,134.41,127.98,98.55,88.59,66.47,67.82,62.24,43.46,41.27,29.75,46.02,71.51,74.07,71.99,105.05,120.58,114.5,113.56,97.91,92.96,80.25,93.28,78.72,120.04
Employees Cost,143.24,154.31,159.1,159.99,149.46,143.19,149.66,142.74,133.73,120.81,124.92,125.88,123.1,116.43,113.41,125.1,112.63,116.38,109.66,119.02,110.82,110.53,110.22,111.45,129.6,118.26,112.45,108.05,126.3,104.08,103.48,101.56,83.58,77.5,77.64,73.74,53.57,68.55,76.32,57.56,63.7,60.59,63.09,53.55,56.47,50.59,49.14,49.59,53.39,50.2
Depreciation,133.54,132.64,133.24,127.17,98.2,125.19,118.64,113.27,103.78,117.46,114.68,114.17,85.85,117.38,117.66,115.05,102.7,111.43,108.56,115.96,104.79,121.49,126.59,123.87,123.39,131.48,127.97,126.61,119.96,135.12,120.53,115.88,103.54,95.02,92.84,82.2,82.55,69.06,69.64,66.4,78.69,85.45,82.21,77.08,85.99,91.24,92.11,90.67,86.26,95.63
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,330.07,197.29,323.96,288.33,278.72,281.0,308.99,220.34,326.64,344.12,398.8,423.4,258.91,226.35,213.32,261.98,113.71,189.39,46.36,148.48,423.51,163.81,228.81,225.79,153.56,190.28,204.61,455.37,197.78,212.91,139.67,143.76,124.32,108.79,133.64,142.97,142.23,123.24,112.27,123.86,150.89,124.45,127.83,108.47,115.99,114.54,89.29,108.56,205.24,152.41
"P/L Before Other Inc. , Int., Excpt. Items & Tax",179.98,394.26,394.7,577.78,628.48,446.8,395.16,564.95,649.26,630.39,606.96,499.82,255.45,298.66,278.57,124.81,161.25,175.01,262.61,422.03,-19.47,333.77,19.24,-0.41,196.33,136.59,-10.44,-236.22,21.94,43.72,17.11,35.8,94.76,73.16,81.59,80.79,117.41,183.1,208.88,153.67,68.63,64.48,38.86,32.42,46.56,48.57,18.83,20.04,4.38,47.24
Other Income,136.28,348.36,241.87,157.18,167.98,114.09,209.07,67.66,54.55,48.48,156.71,1.62,17.12,14.77,65.15,52.31,49.27,104.21,24.54,119.62,107.48,80.82,74.2,41.42,27.59,68.95,49.17,95.48,51.23,92.56,110.7,122.33,149.15,170.06,152.2,86.65,19.9,64.85,54.69,18.15,24.92,56.97,122.28,108.94,-11.32,17.53,95.4,186.06,60.42,82.03
"P/L Before Int., Excpt. Items & Tax",316.26,742.62,636.57,734.96,796.46,560.89,604.23,632.61,703.81,678.87,763.67,501.44,272.57,313.43,343.72,177.12,210.52,279.22,287.15,541.65,88.01,414.59,93.44,41.01,223.92,205.54,38.73,-140.74,73.17,136.28,127.81,158.13,243.91,243.22,233.79,167.44,137.31,247.95,263.57,171.82,93.55,121.45,161.14,141.36,35.24,66.1,114.23,206.1,64.8,129.27
Interest,35.1,44.39,44.22,44.29,44.79,50.3,53.17,49.34,57.33,63.83,66.56,71.48,80.78,59.86,61.53,74.12,62.79,63.9,63.01,62.97,78.72,72.89,85.69,80.22,84.31,92.01,93.19,92.13,82.61,80.26,86.55,78.78,70.58,66.26,57.76,52.38,45.4,45.75,48.19,44.03,45.08,48.38,47.99,47.13,47.98,52.97,57.9,54.14,48.1,53.14
P/L Before Exceptional Items & Tax,281.16,698.23,592.35,690.67,751.67,510.59,551.06,583.27,646.48,615.04,697.11,429.96,191.79,253.57,282.19,103.0,147.73,215.32,224.14,478.68,9.29,341.7,7.75,-39.21,139.61,113.53,-54.46,-232.87,-9.44,56.02,41.26,79.35,173.33,176.96,176.03,115.06,91.91,202.2,215.38,127.79,48.47,73.07,113.15,94.23,-12.74,13.13,56.33,151.96,16.7,76.13
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,159.48,-131.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.38,--,--,--,--,--,--
P/L Before Tax,281.16,698.23,592.35,690.67,751.67,510.59,551.06,583.27,646.48,615.04,697.11,429.96,191.79,253.57,282.19,103.0,147.73,215.32,224.14,478.68,9.29,341.7,7.75,-39.21,139.61,273.01,-186.22,-232.87,-9.44,56.02,41.26,79.35,173.33,176.96,176.03,115.06,91.91,202.2,215.38,127.79,48.47,73.07,113.15,98.61,-12.74,13.13,56.33,151.96,16.7,76.13
Tax,26.77,19.6,27.38,22.41,24.94,22.82,15.51,16.98,14.16,11.36,9.47,1.59,5.41,0.79,8.94,3.74,3.24,10.91,8.18,13.41,21.84,3.0,3.0,11.0,4.0,9.0,--,--,4.0,1.0,-5.0,7.0,18.0,5.0,5.5,11.5,18.0,1.0,-5.0,5.0,-4.0,4.0,5.0,11.0,--,--,-6.0,10.0,7.0,1.0
P/L After Tax from Ordinary Activities,254.39,678.63,564.97,668.26,726.73,487.77,535.55,566.29,632.32,603.68,687.64,428.37,186.38,252.78,273.25,99.26,144.49,204.41,215.96,465.27,-12.55,338.7,4.75,-50.21,135.61,264.01,-186.22,-232.87,-13.44,55.02,46.26,72.35,155.33,171.96,170.53,103.56,73.91,201.2,220.38,122.79,52.47,69.07,108.15,87.61,-12.74,13.13,62.33,141.96,9.7,75.13
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,254.39,678.63,564.97,668.26,726.73,487.77,535.55,566.29,632.32,603.68,687.64,428.37,186.38,252.78,273.25,99.26,144.49,204.41,215.96,465.27,-12.55,338.7,4.75,-50.21,135.61,264.01,-186.22,-232.87,-13.44,55.02,46.26,72.35,155.33,171.96,170.53,103.56,73.91,201.2,220.38,122.79,52.47,69.07,108.15,87.61,-12.74,13.13,62.33,141.96,9.7,75.13
Equity Share Capital,142.77,142.77,142.77,142.77,142.77,142.77,142.77,142.77,142.77,142.77,142.77,142.77,142.77,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,146.97,147.9,150.26,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.78,150.81,150.95,152.32,152.32,152.32
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,17.82,47.53,39.57,46.81,50.9,34.17,37.51,39.67,44.29,42.28,48.16,30.0,12.86,17.2,18.59,6.75,9.83,13.91,14.69,31.66,-0.85,22.98,0.32,-3.33,8.99,17.51,-12.35,-15.44,-0.89,3.65,3.07,4.8,10.3,11.4,11.31,6.87,4.9,13.34,14.62,8.14,3.48,4.58,7.17,5.81,-0.84,0.87,4.09,9.32,0.64,4.93
