Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Hybrid/Debt/Other Securities,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],"Stores, Spares And Loose Tools",Trade/Other Goods
2013-03-31,17.89,17.89,114.05,114.05,0.0,131.94,146.42,11.26,0.08,0.96,158.71,90.91,203.19,100.56,2.33,396.99,687.64,217.73,13.62,13.62,10.31,0.0,255.28,41.75,15.68,9.86,322.58,0.0,144.35,159.34,36.7,21.59,3.08,365.06,687.64,59.36,2.92,0.0,0.0,12.53,0.0,41.75,0.0,0.0,0.0,52.01,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,21.7,21.7,184.35,184.35,0.0,206.05,117.45,17.59,1.2,1.34,137.57,112.42,178.21,155.32,4.33,450.28,793.91,263.16,32.4,50.09,0.0,0.0,345.65,41.75,28.0,5.21,420.61,0.0,159.2,141.16,49.3,20.56,3.08,373.29,793.91,95.38,1.83,0.0,0.0,12.53,0.0,41.75,0.0,0.0,0.0,73.82,12.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,21.7,21.7,210.18,210.18,0.0,231.89,145.01,24.87,27.1,1.53,198.5,133.21,215.48,153.63,4.11,506.42,936.81,325.8,31.85,40.03,9.21,0.0,406.89,50.3,30.21,2.6,490.0,0.0,175.31,208.42,28.54,32.77,1.77,446.81,936.81,103.12,1.83,4.65,0.0,12.53,0.0,50.3,0.0,0.0,0.0,100.47,17.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,21.7,21.7,230.61,230.61,0.0,252.31,161.42,30.85,44.72,2.12,239.12,128.07,273.06,152.0,1.08,554.21,1045.63,397.65,40.9,7.87,19.83,0.0,466.25,50.3,41.2,1.94,559.7,0.0,208.44,233.23,16.26,27.6,0.41,485.94,1045.63,117.86,0.46,4.77,0.0,12.53,0.0,50.3,0.0,0.0,0.0,139.94,14.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,23.81,23.81,295.5,295.5,0.0,319.31,219.54,4.99,2.88,2.43,229.85,132.43,410.95,47.78,0.53,591.69,1174.83,427.66,54.64,4.9,11.99,4.32,503.52,50.3,4.87,14.46,573.15,0.0,246.58,292.87,33.44,9.32,19.48,601.68,1174.83,57.66,0.0,0.0,0.0,12.53,0.0,50.3,0.0,0.0,33.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,31.45,31.45,851.53,851.53,0.0,882.97,9.7,21.08,2.61,2.68,36.07,30.66,478.47,67.27,0.86,577.26,1496.3,460.37,60.89,4.4,15.21,4.32,545.19,111.94,5.47,9.07,671.66,0.0,327.9,335.83,120.5,12.77,27.63,824.64,1496.3,79.22,448.91,0.0,4.64,12.53,0.0,111.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,31.45,31.45,943.79,943.79,0.0,975.24,102.09,32.49,2.9,3.97,141.45,54.03,820.99,91.72,0.38,967.12,2083.81,502.84,67.07,7.52,17.58,4.32,599.34,111.16,10.13,23.91,744.54,0.0,483.69,731.93,42.12,12.76,68.76,1339.26,2083.81,99.01,524.04,0.0,6.0,12.53,0.0,111.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,31.45,31.45,1049.31,1049.31,0.0,1080.75,112.61,20.63,70.47,3.67,207.38,160.31,978.67,92.83,1.03,1232.83,2520.96,564.86,88.25,2.13,0.0,4.32,659.57,338.46,8.69,19.1,1025.82,0.0,560.4,776.36,91.67,11.95,54.75,1495.13,2520.96,122.55,796.11,0.0,4.0,12.53,0.0,338.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,33.69,33.69,1492.28,1492.28,0.0,1525.97,120.83,32.68,10.46,4.02,167.98,164.48,1181.36,115.88,1.1,1462.82,3156.77,593.24,92.56,19.05,5.54,0.0,710.39,393.59,31.95,120.42,1256.35,52.94,611.08,920.74,268.19,17.94,29.52,1900.42,3156.77,205.43,663.45,0.0,5.88,12.53,55.13,338.46,0.0,52.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,33.69,33.69,1560.75,1560.75,0.0,1594.45,236.53,43.66,38.14,5.1,323.43,630.23,1474.13,162.33,1.59,2268.28,4186.16,815.21,98.04,52.04,12.84,0.0,978.13,501.41,57.67,152.5,1689.71,119.77,667.07,1126.48,485.91,1.42,95.8,2496.45,4186.16,320.33,1308.97,0.0,12.7,12.53,103.39,398.02,0.0,119.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
