Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14
Net Sales/Income from operations,22152.0,22110.7,16969.6,19570.7,17825.27,19452.15,14943.88,16683.05,14160.6,14932.97,12497.59,12855.29,8020.75,9294.77,5608.5,3006.91,6222.95,4909.98,2740.96,766.74,8299.06,9931.69,8105.19,9420.06,7883.27,7916.22,6185.31,6511.97,5799.11,6177.88,5290.98,5752.91,4848.22,4943.11,4149.3,4545.19,4060.69,4273.4,3519.52,4188.88,3874.01,3838.09
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43.39,17.63,33.66,29.98,24.36,20.41,22.67,-50.74,19.26
Total Income From Operations,22152.0,22110.7,16969.6,19570.7,17825.27,19452.15,14943.88,16683.05,14160.6,14932.97,12497.59,12855.29,8020.75,9294.77,5608.5,3006.91,6222.95,4909.98,2740.96,766.74,8299.06,9931.69,8105.19,9420.06,7883.27,7916.22,6185.31,6511.97,5799.11,6177.88,5290.98,5752.91,4848.22,4986.5,4166.93,4578.85,4090.68,4297.76,3539.93,4211.55,3823.27,3857.35
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,107.8,110.6,81.3,83.7,86.84,96.02,81.78,72.23,72.99,80.6,61.02,72.63,55.52,38.81,16.33,7.48,31.86,19.66,2.41,0.39,48.84,47.27,40.87,43.93,35.1,39.29,33.51,31.89,30.8,31.87,29.44,31.77,22.63,34.73,31.73,34.74,32.53,33.4,25.66,23.19,23.87,21.55
Increase/Decrease in Stocks,-0.4,-1.6,-0.1,1.9,0.21,2.46,0.27,2.47,0.21,-1.82,1.51,-1.15,-1.94,-1.67,0.95,0.99,-2.34,-1.64,1.7,3.45,1.94,-2.28,-0.65,-2.07,0.43,-0.97,-0.63,0.51,-0.84,-1.33,1.44,2.0,0.26,-1.86,1.63,-0.32,-0.01,-1.92,1.01,-0.22,-1.3,-0.99
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,646.42,127.49,2860.36,3341.94,3115.43,3136.06,2781.28,3410.37,3035.5,2715.65,2337.71,2016.01,1647.25,1759.17,1750.51,1671.2,1552.39,1367.41,1023.61,1165.86,1242.13,1347.73,-4548.19,1453.52
Employees Cost,1750.9,1725.6,1667.7,1585.9,1617.6,1532.84,1373.25,1314.05,1171.17,1163.5,1040.78,949.21,837.44,788.38,726.05,799.81,735.21,735.91,678.59,876.49,1050.89,1164.54,1131.1,1048.84,876.61,834.74,772.88,653.57,656.64,613.7,600.41,584.28,533.92,527.34,507.99,478.95,493.2,466.97,447.24,382.51,341.95,313.69
Depreciation,2477.1,2215.4,2077.6,1866.5,1795.47,1660.35,1545.46,1404.34,1352.49,1341.88,1237.26,1169.62,1269.29,1233.59,1247.89,1317.08,1319.45,1156.46,1126.4,1096.38,1006.27,1037.69,1028.74,900.91,218.52,203.83,181.97,155.27,128.64,107.38,102.53,98.34,105.17,118.39,118.87,114.82,124.19,130.65,128.27,119.97,81.9,80.72
