Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Equity Share Application Money,Long Term Loans And Advances,Short Term Loans And Advances,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Raw Materials
2009-09-30,25.68,25.68,1149.39,1149.58,1175.25,972.03,261.63,0.0,0.0,1233.66,0.0,119.81,35.67,200.12,355.61,2764.53,1770.05,0.05,7.61,1777.71,126.57,0.53,1962.57,0.0,343.43,17.1,32.97,0.0,801.95,2764.53,139.29,29.51,1.97,7.69,0.0,15.55,123.35,0.18,0.0,0.0,408.45,0.0,0.0,57.76,80.76
2011-03-31,25.63,25.63,1263.55,1263.73,1289.36,354.3,224.85,1.88,26.52,607.54,1290.02,100.57,501.0,23.3,1914.89,3811.79,1709.89,0.04,6.09,1716.02,3.61,1.38,1781.62,0.0,1491.31,89.88,156.16,126.47,2030.17,3811.79,40.47,20.59,12.4,49.41,0.0,15.55,3.61,0.18,0.0,60.61,166.35,0.22,0.0,0.0,147.28
2012-03-31,24.43,24.43,1193.5,1193.68,1218.12,494.66,224.47,2.93,10.96,733.02,1221.22,617.09,416.89,2.21,2257.41,4208.54,1611.67,0.81,0.43,1612.91,44.25,0.85,1720.09,0.0,1997.79,146.96,11.47,173.11,2488.45,4208.54,14.99,9.8,3.87,0.0,0.84,14.83,44.25,0.18,0.0,62.09,159.12,0.28,0.0,0.0,0.0
2013-03-31,24.43,24.43,1298.44,1298.62,1323.05,226.4,230.6,3.96,9.79,470.75,1260.2,712.01,400.41,59.79,2432.41,4226.21,1520.4,0.74,5.11,1526.24,43.23,171.08,1806.75,0.0,1886.57,181.38,191.19,4.32,2419.47,4226.21,46.73,4.73,0.0,0.0,0.14,14.83,43.23,0.18,0.0,66.19,156.01,0.41,0.0,0.0,0.0
2014-03-31,24.48,24.48,1193.84,1194.03,1218.51,491.09,264.5,5.03,2.35,762.98,856.91,1015.39,300.38,3.02,2175.7,4157.19,1521.81,0.56,0.3,1522.67,40.87,171.08,1805.72,0.0,2092.29,64.06,143.44,23.38,2351.47,4157.19,15.36,2.04,8.59,0.0,0.0,14.83,40.87,0.18,0.0,71.1,28.29,1.2,0.0,0.0,0.0
2015-03-31,24.49,24.49,1104.78,1104.96,1129.45,429.79,229.24,6.1,2.66,667.79,1182.83,736.17,182.87,3.42,2105.28,3902.52,1371.85,3.32,7.56,1382.74,40.87,171.52,1684.18,0.0,1669.25,158.61,82.18,277.76,2218.34,3902.52,45.41,1.45,0.0,0.0,0.0,14.83,40.87,0.18,0.0,89.06,30.53,0.16,0.11,0.0,0.0
2016-03-31,24.5,24.5,1207.02,1207.02,1231.51,496.44,159.42,14.58,2.59,673.03,994.42,423.35,371.33,3.04,1792.14,3696.68,1335.77,2.81,86.47,1425.05,47.83,43.43,1516.31,0.0,1864.89,199.28,6.56,100.14,2180.38,3696.68,81.22,0.38,0.0,0.0,0.0,14.83,40.85,0.0,0.0,0.0,9.51,0.0,0.0,0.0,0.0
2017-03-31,23.5,23.5,1517.75,1517.75,1541.25,124.31,143.4,6.39,3.18,277.28,1577.44,295.34,300.85,3.28,2176.91,3995.44,1409.5,2.8,6.13,1418.43,45.02,11.99,1475.44,0.0,2313.75,162.77,4.49,29.42,2520.0,3995.44,38.67,1.02,0.0,0.0,0.0,14.83,45.02,0.0,0.0,0.0,9.57,0.0,0.0,0.0,0.0
2018-03-31,22.84,22.84,1564.26,1564.26,1587.1,10.67,183.46,4.82,4.33,203.28,865.52,785.29,217.11,3.71,1871.63,3662.05,1445.01,2.04,11.25,1458.31,83.16,55.11,1596.58,0.0,1802.32,182.21,8.71,72.11,2065.48,3662.05,19.98,2.1,0.0,0.0,0.0,14.83,83.16,0.0,0.05,0.0,0.13,0.0,0.0,0.0,0.0
2019-03-31,22.84,22.84,2059.86,2059.86,2082.7,279.25,78.32,26.39,5.28,389.24,1394.66,618.5,165.64,5.72,2184.53,4656.47,1420.02,1.54,45.83,1467.38,120.06,85.98,1673.42,0.0,2316.07,450.03,4.93,212.02,2983.05,4656.47,201.27,0.1,0.0,0.0,0.0,14.83,120.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,22.0,22.0,2348.41,2348.41,2370.41,340.26,24.14,14.68,6.72,385.8,1058.69,677.95,234.78,20.23,1991.66,4747.87,1623.16,0.89,12.4,1636.44,179.79,15.28,1831.51,5.65,2295.1,239.29,4.66,371.68,2916.37,4747.87,13.01,1.02,0.0,0.0,168.43,14.28,179.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,21.0,21.0,2542.85,2542.85,2563.85,243.28,47.28,7.18,8.21,305.94,891.36,596.45,198.95,5.36,1692.12,4561.91,1597.75,0.83,14.48,1613.06,177.13,17.34,1807.53,0.0,2378.52,245.46,2.8,127.6,2754.38,4561.91,27.11,1.26,0.0,0.0,0.0,13.28,177.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,20.4,20.4,2737.76,2737.76,2758.16,144.2,72.0,3.14,9.57,228.91,1065.43,308.29,109.34,6.74,1489.8,4476.87,1632.67,0.97,204.3,1837.95,157.5,104.9,2100.35,0.0,2200.7,136.72,3.28,35.82,2376.52,4476.87,585.6,2.28,0.0,0.0,0.0,13.28,157.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
