Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Share Capital Suspense,Deferred Tax Assets [Net],Trade/Other Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,6.54,6.54,49.68,49.68,56.22,4.32,0.0,0.0,10.88,8.01,4.87,9.09,36.21,103.3,26.7,0.55,0.18,27.44,18.54,0.0,0.0,45.99,0.0,25.09,11.11,10.19,10.93,0.0,57.31,103.3,1.28,0.03,0.0,42.6,0.0,0.0,16.94,1.62,0.0,0.0,6.56,14.24,32.3,0.0,0.98,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,6.54,6.54,57.24,57.24,63.78,4.16,0.0,0.0,12.46,7.71,6.33,14.36,52.19,128.43,25.16,0.55,2.01,27.73,16.74,0.0,0.0,44.49,0.0,37.55,17.52,10.93,17.95,0.0,83.94,128.43,14.27,0.08,0.0,50.46,0.0,0.0,3.12,13.62,0.0,0.0,8.3,23.78,33.1,0.0,0.27,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,6.54,6.54,63.97,63.97,70.51,4.78,0.0,0.0,42.09,3.4,6.94,1.73,24.16,136.77,38.04,0.39,0.36,38.8,25.93,0.0,0.0,67.68,0.0,21.04,18.46,8.03,21.56,0.0,69.09,136.77,0.69,0.23,0.0,69.24,0.0,0.0,0.04,25.92,0.0,0.0,37.32,12.09,26.16,0.0,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,6.54,6.54,64.49,64.49,71.03,1.75,0.0,0.0,56.0,0.0,11.97,0.0,11.97,139.0,36.82,0.0,0.24,37.06,29.11,0.0,0.0,66.17,0.0,36.01,15.5,7.32,13.84,0.16,72.83,139.0,2.65,0.19,0.0,51.06,0.0,0.0,0.04,29.09,0.0,0.0,54.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,6.54,6.54,64.61,64.61,71.15,2.74,0.0,0.0,29.39,1.74,3.1,3.43,20.98,121.51,33.43,0.0,0.14,33.57,28.67,0.0,0.0,63.22,0.0,26.7,13.54,3.98,14.09,0.0,58.3,121.51,0.0,0.24,0.0,36.83,0.0,0.0,0.05,28.66,0.0,0.0,26.65,12.71,11.1,0.0,0.15,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,8.0,8.0,61.96,61.96,69.96,2.39,0.0,0.0,23.08,6.52,2.96,2.48,27.99,121.03,30.05,0.0,0.0,30.05,28.5,0.0,0.0,62.17,0.0,20.38,15.42,8.99,14.05,0.0,58.85,121.03,0.0,0.11,0.0,26.94,0.0,0.0,0.04,28.48,0.0,0.0,20.68,16.03,4.29,0.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,8.0,8.0,60.76,60.76,68.76,2.09,0.0,0.0,17.58,9.27,3.29,2.58,31.38,117.72,27.86,0.0,0.0,27.86,32.33,0.0,0.0,64.58,0.0,27.27,8.93,3.41,13.52,0.0,53.14,117.72,0.29,0.18,0.0,35.56,0.0,0.0,0.08,32.32,0.0,0.0,15.49,16.24,7.87,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,8.0,8.0,63.25,63.25,71.25,0.0,1.2,1.38,10.47,10.15,10.17,0.93,60.9,142.61,26.62,0.0,0.0,26.62,32.48,0.49,1.57,62.48,7.0,39.05,22.81,4.1,1.7,5.47,80.13,142.61,0.37,0.9,0.0,62.75,0.0,0.0,0.12,32.47,0.0,7.0,7.89,39.65,15.04,0.73,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,8.0,8.0,87.49,87.49,95.49,0.99,1.2,1.78,18.59,12.25,16.45,6.86,68.34,183.5,44.76,0.0,0.0,44.76,28.49,0.67,1.86,75.77,17.28,42.15,15.51,22.04,5.22,5.53,107.73,183.5,0.6,1.86,0.12,108.07,0.0,0.0,0.07,27.47,0.0,17.28,14.62,32.78,10.56,1.79,3.16,1.08,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,9.08,9.08,110.78,110.78,119.86,1.0,1.55,1.46,15.93,19.79,29.53,10.57,106.17,241.97,50.71,0.14,1.59,52.43,28.49,4.98,0.94,86.84,0.25,97.16,39.73,8.58,3.12,6.29,155.13,241.97,9.75,5.98,1.48,129.88,0.0,0.0,0.07,28.47,0.0,0.25,11.93,46.28,14.65,2.71,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,9.08,9.08,164.59,164.59,173.67,1.43,2.75,2.92,18.06,81.93,57.71,18.96,200.71,392.44,77.39,0.12,4.81,82.32,28.49,3.13,1.13,115.07,5.02,199.15,45.02,13.71,5.53,8.94,277.37,392.44,31.22,7.26,1.48,250.4,0.0,0.0,0.08,28.47,0.0,5.02,10.95,42.12,17.0,3.4,9.79,0.0,0.0,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,9.08,9.08,250.97,250.97,260.05,5.99,3.75,3.04,16.95,91.18,24.27,32.29,198.32,475.33,89.48,0.09,0.0,89.57,28.49,5.6,0.97,124.62,76.46,222.02,33.56,6.16,5.58,6.93,350.7,475.33,31.21,14.16,3.43,244.33,0.0,0.0,0.07,28.47,0.0,76.46,4.18,50.59,31.93,4.89,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
