Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Provisions,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2013-03-31,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,50.1,50.1,471.47,471.47,521.57,0.0,10.75,0.0,13.45,0.0,98.62,58.97,6.26,163.85,698.86,101.83,1.57,44.8,0.0,0.0,148.21,142.38,0.0,15.47,17.19,323.25,151.42,95.85,34.98,20.41,72.95,375.62,698.86,6.48,140.97,361.5,10.85,131.91,0.0,151.42,2.7,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,50.39,50.39,507.42,507.42,557.81,0.0,0.0,0.0,0.0,15.1,121.75,55.67,11.5,204.02,761.83,144.56,2.27,41.38,0.0,0.0,188.2,157.4,0.0,28.12,23.08,396.79,29.4,170.54,9.82,35.78,119.5,365.04,761.83,13.45,59.66,387.74,0.0,0.0,0.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,50.87,50.87,473.76,473.76,524.62,56.33,0.0,0.0,56.33,171.85,55.37,87.13,12.13,326.48,907.43,161.12,4.24,4.72,66.74,0.0,236.83,154.03,4.06,3.8,44.83,443.54,37.08,166.57,55.13,4.89,200.22,463.88,907.43,6.94,98.15,470.09,0.0,154.03,0.0,18.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,62.76,62.76,639.6,639.6,702.36,90.5,0.0,0.0,90.5,38.2,73.56,150.84,22.05,284.66,1077.51,146.5,53.7,4.29,104.01,0.0,308.51,92.56,11.25,7.28,102.46,522.05,36.09,259.98,92.56,5.17,161.66,555.46,1077.51,41.05,129.83,470.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,65.89,65.89,864.33,864.33,930.22,63.55,0.0,2.42,65.96,36.32,120.29,192.27,26.61,375.49,1371.67,138.94,93.29,4.3,139.78,0.0,376.31,93.41,39.67,6.86,117.95,634.2,31.05,216.68,25.37,5.68,458.68,737.46,1371.67,42.69,181.67,771.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,66.17,66.17,826.91,826.91,893.08,34.71,0.0,29.96,64.67,185.22,166.74,179.6,33.33,564.89,1522.63,143.53,83.75,4.3,210.22,0.0,441.8,93.41,28.15,7.11,111.76,682.23,16.57,445.54,42.52,4.9,330.87,840.4,1522.63,53.0,76.26,573.89,0.01,0.31,0.0,16.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,66.49,66.49,1119.6,1119.6,1186.09,7.56,0.0,6.5,14.06,0.0,174.31,317.98,44.65,536.94,1737.08,122.07,138.39,4.3,196.09,0.0,460.85,93.63,64.23,3.91,107.88,730.5,96.29,367.04,52.13,3.77,487.35,1006.58,1737.08,60.82,46.31,758.45,0.01,0.31,0.0,96.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,67.28,67.28,1388.12,1388.12,1455.4,0.0,0.0,3.12,3.12,0.0,293.91,356.33,52.25,702.5,2161.01,112.15,166.29,4.34,207.63,1.97,492.37,132.05,35.26,2.8,107.78,770.27,363.83,289.99,79.55,2.95,654.43,1390.75,2161.01,132.93,101.8,760.7,0.01,0.31,0.0,363.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
