Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16
Net Sales/Income from operations,1085.67,1030.46,1986.16,1298.61,1388.4,1441.47,2072.58,1508.95,1667.31,1532.81,2293.4,1503.88,1669.72,2089.51,2194.22,1530.96,1839.01,1896.93,1472.88,465.78,762.9,808.8,1164.39,935.4,724.28,617.32,664.15,520.02,534.16,541.24,736.31,395.68,421.3,460.37,457.64,305.14
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,1085.67,1030.46,1986.16,1298.61,1388.4,1441.47,2072.58,1508.95,1667.31,1532.81,2293.4,1503.88,1669.72,2089.51,2194.22,1530.96,1839.01,1896.93,1472.88,465.78,762.9,808.8,1164.39,935.4,724.28,617.32,664.15,520.02,534.16,541.24,736.31,395.68,421.3,460.37,457.64,305.14
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,853.64,818.98,1761.45,1155.04,1207.99,1151.95,1929.3,1362.91,1420.77,1289.61,2048.49,1392.09,1367.16,1986.13,1984.82,1457.74,1696.54,1705.75,1298.61,359.81,678.47,689.98,1050.13,793.53,652.16,487.26,583.98,447.84,450.48,474.85,626.75,349.74,355.12,389.71,394.76,273.05
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,53.1,33.44,-31.94,-46.4,8.95,117.35,-75.26,-42.17,23.32,53.37,11.44,-59.83,116.37,-82.66,-3.48,-43.03,-46.44,1.4,-2.7,48.93,-37.98,3.46,-21.1,24.04,-23.89,41.37,-12.69,-9.79,-6.28,-16.21,18.77,-25.96,-5.72,-3.45,2.72,-12.72
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,48.96,75.63,74.22,65.61,40.75,47.89,54.41,45.3,44.46,47.41,52.35,39.6,40.36,43.82,47.34,30.7,39.7,34.37,33.06,18.35,28.52,26.95,28.34,24.93,25.99,17.92,17.86,17.23,19.02,18.61,16.81,14.54,15.03,16.81,13.59,13.43
Depreciation,19.97,16.57,17.43,16.68,16.68,16.27,15.27,15.76,17.37,13.73,14.37,12.14,15.37,12.27,11.74,11.34,10.72,9.99,9.68,8.06,9.42,8.76,7.05,6.56,6.34,5.34,4.74,4.37,4.16,3.81,3.69,2.69,3.05,2.19,2.4,2.39
