Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Intangible Assets Under Development,Government/Other Grants,Other Assets,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,13.31,13.31,17.71,17.71,0.0,31.03,0.0,30.23,3.49,0.0,0.0,33.73,0.0,0.0,8.71,0.26,8.97,73.72,36.89,0.28,11.68,48.85,0.5,0.0,0.0,1.07,50.43,0.0,0.31,2.6,2.62,17.71,0.07,23.3,73.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,17.1,17.1,36.14,36.14,0.0,53.24,0.0,45.44,4.48,0.0,0.0,49.92,1.07,11.71,2.85,1.06,16.69,119.85,66.95,0.29,17.53,84.77,1.21,0.26,0.0,0.54,86.78,0.0,0.68,2.46,9.49,20.44,0.0,33.07,119.85,56.44,0.0,0.0,0.62,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,22.88,42.88,149.96,149.96,0.0,192.83,0.0,61.33,4.9,0.0,0.0,66.23,0.04,19.17,3.23,7.1,29.53,288.6,78.22,0.36,58.11,136.69,30.93,0.22,0.0,0.0,167.84,0.0,0.92,3.11,62.85,53.87,0.0,120.76,288.6,9.25,0.0,3.35,1.38,0.0,0.2,28.41,2.71,0.0,0.0,0.0,0.0,0.05,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,23.01,43.01,157.36,157.36,0.0,200.37,0.0,59.5,6.87,0.0,0.0,66.37,0.57,22.18,3.02,6.84,32.61,299.35,134.91,0.61,18.23,153.74,62.9,0.41,0.0,0.0,217.06,0.0,1.76,5.53,7.01,67.99,0.0,82.29,299.35,34.54,0.0,1.47,0.68,0.0,0.0,40.85,22.06,0.0,0.0,0.0,0.0,0.28,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,23.01,33.01,174.87,174.87,0.0,207.88,2.58,93.55,8.28,0.0,0.0,101.83,1.94,34.08,3.72,4.65,44.38,356.67,159.58,0.87,22.82,183.26,78.53,1.32,0.0,0.0,263.1,0.0,2.09,13.09,11.12,67.28,0.0,93.57,356.67,47.79,0.0,0.27,0.33,0.0,0.05,26.47,52.06,0.0,0.0,0.0,0.0,0.03,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,23.01,23.01,187.33,187.33,0.0,210.34,0.0,95.25,22.52,0.0,0.0,117.78,1.55,40.47,10.55,4.09,56.67,384.78,180.52,1.35,7.09,188.96,66.99,1.7,0.0,0.0,257.65,0.0,2.73,13.49,5.72,105.2,0.0,127.13,384.78,55.94,0.0,3.13,0.67,0.0,0.0,9.06,57.93,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,25.62,25.62,221.64,221.64,0.0,247.26,0.0,128.43,28.7,0.0,0.0,157.12,6.27,34.79,10.14,4.79,55.99,462.45,187.6,1.77,34.32,223.69,111.43,8.1,0.0,0.0,343.22,0.0,3.15,10.47,8.58,97.01,0.02,119.23,462.45,55.35,0.0,2.09,0.52,0.0,0.0,6.39,47.56,0.0,0.0,2.08,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,27.15,27.15,260.6,260.6,0.0,287.75,0.0,131.8,27.27,1.52,1.5,162.1,0.18,23.32,51.98,3.87,79.35,529.2,238.21,2.18,19.0,273.22,49.98,0.0,77.53,0.27,401.0,0.0,4.48,16.53,35.12,69.09,2.98,128.2,529.2,75.73,0.0,4.43,1.01,0.0,0.0,0.0,49.98,0.0,0.0,0.0,13.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,25.9,25.9,247.47,247.47,0.0,273.37,0.0,168.54,9.5,2.69,2.74,183.47,0.16,45.48,57.87,6.87,110.38,567.23,238.56,3.2,60.64,338.69,28.72,0.0,140.98,0.87,509.27,0.06,6.65,20.34,11.99,17.45,1.47,57.96,567.23,117.26,0.0,9.07,2.25,0.0,0.16,0.0,28.72,0.06,11.3,0.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,39.62,39.62,603.6,603.6,0.0,643.21,0.0,331.41,0.0,7.35,3.83,342.59,0.0,62.89,96.97,6.04,165.9,1151.7,356.36,7.53,141.98,505.86,413.64,0.0,149.44,2.91,1071.86,0.05,7.65,24.27,20.63,26.85,0.39,79.84,1151.7,93.5,0.0,13.51,2.69,0.0,0.25,0.0,413.64,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,41.11,41.11,350.16,350.16,0.0,391.27,0.0,470.07,0.0,3.05,6.24,479.36,32.05,149.27,162.48,16.94,360.74,1231.37,616.8,101.87,101.2,819.87,43.06,0.0,252.84,20.81,1136.58,0.28,9.06,45.26,17.12,22.15,0.92,94.79,1231.37,103.22,0.0,4.74,1.99,0.0,0.0,0.0,43.34,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
