Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,1373.29,1141.34,1444.52,1647.78,1586.06,1452.62,1633.31,1728.87,1488.53,1302.65,1551.0,1497.64,1193.41,1118.22,1231.51,1321.99,1192.8,1044.77,825.15,1061.19,1004.95,935.48,1041.88,1172.46,935.0,851.44,923.44,896.95,837.41,776.65,901.14,806.72,670.89,655.57,777.23,735.09,648.28,645.73,590.75,578.15,555.91,572.58,600.42,648.23,502.58,448.87,456.92,535.77,493.62,490.16
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.12,--,0.06,1.25
Total Income From Operations,1373.29,1141.34,1444.52,1647.78,1586.06,1452.62,1633.31,1728.87,1488.53,1302.65,1551.0,1497.64,1193.41,1118.22,1231.51,1321.99,1192.8,1044.77,825.15,1061.19,1004.95,935.48,1041.88,1172.46,935.0,851.44,923.44,896.95,837.41,776.65,901.14,806.72,670.89,655.57,777.23,735.09,648.28,645.73,590.75,578.15,555.91,572.58,600.42,648.23,502.58,448.87,457.04,535.77,493.68,491.41
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,240.23,226.93,230.25,265.98,261.76,219.63,240.86,235.07,246.14,217.46,227.02,209.93,198.4,177.54,221.1,217.39,195.49,166.52,92.44,156.0,180.86,169.69,205.86,232.33,167.37,157.81,157.48,159.8,147.58,132.86,143.91,149.44,126.9,112.97,135.63,141.93,126.91,116.13,112.75,101.6,101.37,97.35,98.37,98.44,90.13,83.9,89.17,89.03,82.27,82.1
Purchase of Traded Goods,172.77,149.95,178.57,225.59,198.26,194.43,209.45,205.31,159.83,169.82,154.29,149.12,120.56,108.0,100.44,102.69,110.57,89.46,52.89,81.23,86.25,75.31,69.22,49.61,41.38,38.57,40.23,56.24,52.93,52.07,80.96,57.16,47.79,52.11,67.2,58.02,50.03,57.08,47.34,56.31,54.49,56.99,61.08,64.35,45.3,40.74,35.47,42.11,34.0,26.16
Increase/Decrease in Stocks,22.12,-36.88,43.57,-35.79,-22.97,-24.47,34.74,73.36,-73.63,-34.18,1.25,40.38,-48.39,-7.3,-31.49,-2.1,-4.2,-5.53,68.27,-1.13,-8.35,-24.14,-38.41,57.27,11.78,-8.04,22.92,-20.85,-14.76,-19.95,7.59,21.38,-21.73,2.67,10.44,-11.83,-12.38,14.2,-7.55,-19.9,-11.39,1.31,-12.53,31.37,4.55,-8.94,-24.29,24.68,7.65,-14.55
Power & Fuel,235.6,246.26,265.92,319.98,327.2,--,--,--,--,333.2,365.95,305.35,--,--,--,227.1,215.31,--,--,200.46,211.09,208.97,223.33,256.33,223.27,225.17,215.04,219.4,204.93,179.53,192.01,168.2,150.98,116.48,131.29,142.07,137.42,131.15,135.65,130.35,126.83,115.77,121.81,114.1,104.39,100.14,103.39,88.4,91.11,110.2
Employees Cost,101.45,95.9,87.45,84.93,97.67,93.7,97.56,85.96,87.7,83.3,92.17,72.13,86.76,84.51,83.04,79.22,87.04,79.92,80.8,75.97,75.7,74.19,77.27,65.37,65.54,65.8,63.15,60.68,55.03,60.14,59.1,48.8,54.17,51.64,53.78,48.34,50.09,49.64,48.9,39.23,34.94,34.58,37.36,32.68,30.28,30.01,29.98,26.28,30.08,29.13
Depreciation,50.81,49.8,46.89,49.18,51.17,47.6,47.02,50.12,48.02,48.07,47.33,50.69,46.79,47.04,46.0,47.81,48.65,49.33,48.4,50.97,48.45,43.66,45.27,44.62,45.05,45.16,44.56,45.91,44.8,44.68,43.88,45.68,44.31,41.19,41.19,40.1,41.92,41.66,39.2,27.0,28.08,28.5,28.32,30.99,34.73,33.95,35.5,49.43,34.1,32.47
