Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19
Net Sales/Income from operations,413.33,404.82,371.99,335.51,311.67,295.65,272.17,253.37,226.4,204.96,189.0,169.35,156.08,151.69,143.48,138.14,131.83,107.63,103.25,134.41,100.62,113.33
Other Operating Income,1.33,1.13,0.92,0.91,1.09,0.65,1.16,1.68,0.44,0.44,0.4,--,--,--,2.66,--,--,0.53,3.15,-3.68,--,1.44
Total Income From Operations,414.67,405.95,372.92,336.42,312.76,296.31,273.33,255.05,226.84,205.4,189.4,169.35,156.08,151.69,146.14,138.14,131.83,108.16,106.4,130.73,100.62,114.77
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,51.79,50.79,50.26,41.57,36.56,39.01,36.87,35.91,27.49,27.37,26.57,25.58,22.94,20.12,19.15,18.55,18.94,17.39,15.23,14.57,15.58,15.33
Depreciation,4.33,4.12,3.62,3.46,3.23,3.01,2.85,2.65,2.48,2.33,2.24,2.02,1.85,1.88,1.91,1.88,1.83,1.89,1.94,1.96,2.08,1.92
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,7.7,9.79,5.73,5.55,2.74,7.01,8.0,7.69,6.96,5.99,4.97,3.62,2.68,5.97,3.33,--,--,7.39,11.95,12.81,--,0.84
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,24.17,20.31,18.71,20.45,18.6,19.03,16.81,16.77,17.5,14.56,15.29,11.13,11.58,9.35,9.03,20.78,17.77,8.2,6.28,-3.19,20.81,10.94
"P/L Before Other Inc. , Int., Excpt. Items & Tax",326.68,320.95,294.6,265.39,251.63,228.25,208.8,192.04,172.42,155.15,140.32,127.0,117.02,114.37,112.72,96.93,93.29,73.29,71.0,104.58,62.14,85.74
Other Income,1.53,1.5,1.32,4.91,4.99,4.7,4.65,4.76,4.46,0.15,0.01,--,0.01,0.02,--,3.88,3.7,2.3,3.25,2.8,5.17,5.96
"P/L Before Int., Excpt. Items & Tax",328.2,322.45,295.92,270.29,256.61,232.96,213.45,196.8,176.88,155.3,140.33,127.0,117.03,114.39,112.72,100.8,96.98,75.59,74.24,107.38,67.31,91.71
