Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15
Net Sales/Income from operations,1650.01,1265.19,1184.85,1116.93,1414.52,1132.19,1158.03,1107.65,1279.34,1500.7,1498.16,1495.25,1377.66,932.58,1176.2,1220.6,1398.74,1272.27,1127.3,970.41,829.23,720.99,705.86,541.26,617.64,512.78,574.63,531.1,546.55,473.77,533.48,473.05,466.65,493.32,517.51,409.22,480.21,445.06
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.13,7.91,5.87,-9.7,5.04
Total Income From Operations,1650.01,1265.19,1184.85,1116.93,1414.52,1132.19,1158.03,1107.65,1279.34,1500.7,1498.16,1495.25,1377.66,932.58,1176.2,1220.6,1398.74,1272.27,1127.3,970.41,829.23,720.99,705.86,541.26,617.64,512.78,574.63,531.1,546.55,473.77,533.48,473.05,466.65,505.45,525.42,415.08,470.51,450.1
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,604.44,628.75,581.24,556.95,579.97,627.97,657.56,531.45,446.49,566.56,740.5,762.39,532.93,421.94,586.79,739.71,714.6,667.49,555.19,438.07,417.04,369.15,474.56,344.01,322.41,291.21,318.0,283.86,250.77,264.97,309.68,229.08,219.62,273.02,302.76,220.29,205.34,278.84
Purchase of Traded Goods,22.31,34.79,25.59,22.67,40.76,17.54,26.29,26.33,4.87,51.8,44.1,54.94,56.41,33.32,40.43,15.65,37.26,21.67,14.01,23.29,1.24,1.95,9.53,3.15,8.68,5.17,5.83,2.7,6.91,7.52,7.8,4.78,2.82,2.61,6.41,1.12,3.49,5.35
Increase/Decrease in Stocks,154.7,-62.6,-45.99,-59.66,95.65,-109.76,-120.58,32.21,211.04,101.64,-112.48,-159.38,102.01,-30.35,-82.88,-207.4,-113.03,-101.77,-67.12,-14.53,-3.68,-13.69,-124.18,-76.54,0.28,-22.31,-15.01,8.13,26.94,-27.74,-36.28,11.98,-4.21,4.33,-26.85,-9.36,45.4,-43.7
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,148.77,161.7,148.94,149.23,138.0,133.59,143.19,137.43,112.1,127.21,126.48,130.78,111.06,108.16,112.4,113.52,103.58,93.33,102.37,102.6,83.49,82.33,82.88,75.31,69.08,64.06,67.88,68.7,63.02,60.08,58.2,55.79,58.93,54.0,53.27,51.49,48.02,41.84
Depreciation,88.19,88.66,90.94,91.0,88.9,86.84,85.4,83.87,80.55,78.48,75.55,66.0,60.94,59.72,59.33,55.49,50.73,49.46,48.79,47.66,45.19,46.72,47.0,44.95,42.56,41.78,38.9,37.29,33.54,29.92,28.37,28.16,26.69,26.35,25.33,24.59,30.56,23.63
