Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21
Net Sales/Income from operations,17487.44,16490.55,13994.39,13750.04,12703.64,12440.39,11719.72,12378.83,13121.89,14713.94,13409.92,14024.23,14273.26,13763.47,13012.32,11311.96,10672.34
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,17487.44,16490.55,13994.39,13750.04,12703.64,12440.39,11719.72,12378.83,13121.89,14713.94,13409.92,14024.23,14273.26,13763.47,13012.32,11311.96,10672.34
EXPENDITURE,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,14952.74,13798.84,11936.73,11202.73,10554.67,10347.9,10406.58,10463.27,11194.89,11723.82,11491.95,11156.38,13088.88,11993.59,11623.54,9923.08,9751.88
Purchase of Traded Goods,729.61,1011.64,589.3,1035.46,392.61,533.34,590.38,443.43,834.34,851.88,493.19,557.0,664.59,606.22,690.19,289.45,217.13
Increase/Decrease in Stocks,161.64,-509.36,-265.72,-243.74,58.43,61.27,-459.31,358.68,-262.63,455.25,131.32,920.17,-913.7,-180.09,-654.06,-21.11,-486.87
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,132.8,177.98,103.62,107.24,102.72,89.3,90.63,91.52,93.96,82.58,69.98,96.96,123.61,73.61,95.61,64.8,93.99
Depreciation,87.59,98.34,82.53,86.16,68.65,84.87,85.2,82.87,80.96,80.57,80.64,77.13,75.27,73.14,68.54,67.79,66.37
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,1109.67,1229.46,1056.01,1039.75,1262.54,878.72,935.13,900.02,921.93,977.81,965.59,897.43,895.5,763.1,831.83,676.98,743.72
"P/L Before Other Inc. , Int., Excpt. Items & Tax",313.39,683.65,491.92,522.44,264.02,444.99,71.11,39.04,258.44,542.03,177.25,319.16,339.11,433.9,356.67,310.97,286.12
Other Income,61.09,64.81,103.81,60.08,103.29,58.64,63.36,64.66,71.21,75.96,58.46,51.07,60.87,26.23,24.42,57.42,26.03
"P/L Before Int., Excpt. Items & Tax",374.48,748.46,595.73,582.52,367.31,503.63,134.47,103.7,329.65,617.99,235.71,370.23,399.98,460.13,381.09,368.39,312.15
Interest,166.07,188.87,157.94,148.26,155.78,170.18,195.5,152.91,197.28,237.25,150.73,143.67,100.92,137.79,144.2,142.3,110.54
P/L Before Exceptional Items & Tax,208.41,559.59,437.79,434.26,211.53,333.45,-61.03,-49.21,132.37,380.74,84.98,226.56,299.06,322.34,236.89,226.09,201.61
Exceptional Items,--,--,--,--,--,--,-53.51,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,208.41,559.59,437.79,434.26,211.53,333.45,-114.54,-49.21,132.37,380.74,84.98,226.56,299.06,322.34,236.89,226.09,201.61
Tax,51.41,150.24,112.06,110.71,55.21,86.12,-27.49,-10.77,34.67,103.67,22.83,56.25,75.97,81.68,60.44,58.35,-93.39
P/L After Tax from Ordinary Activities,157.0,409.35,325.73,323.55,156.32,247.33,-87.05,-38.44,97.7,277.07,62.15,170.31,223.09,240.66,176.45,167.74,295.0
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,157.0,409.35,325.73,323.55,156.32,247.33,-87.05,-38.44,97.7,277.07,62.15,170.31,223.09,240.66,176.45,167.74,295.0
Equity Share Capital,129.53,129.97,129.97,129.97,129.97,129.97,129.97,129.97,129.97,129.97,129.97,129.97,129.97,114.29,114.29,114.29,114.29
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,
Basic EPS,1.21,3.15,2.51,2.49,1.2,1.9,-0.67,-0.3,0.75,2.13,0.48,1.31,1.91,2.11,1.54,1.47,2.58
Diluted EPS,1.21,3.15,2.51,2.49,1.2,1.9,-0.67,-0.3,0.75,2.13,0.48,1.31,1.91,2.11,--,1.47,2.58
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
